Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
14,2019-01-02,14,Casaco Liso,2,255,510,Bourbon Shopping SP
99,2019-01-02,14,Sapato Xadrez,2,368,736,Bourbon Shopping SP
99,2019-01-02,14,Short Liso,5,108,540,Bourbon Shopping SP
99,2019-01-02,14,Cinto Listrado,4,214,856,Bourbon Shopping SP
110,2019-01-02,14,Polo Estampa,2,138,276,Bourbon Shopping SP
246,2019-01-03,14,Tênis Estampa,2,256,512,Bourbon Shopping SP
257,2019-01-03,14,Chinelo,3,60,180,Bourbon Shopping SP
257,2019-01-03,14,Pulseira Liso,5,87,435,Bourbon Shopping SP
257,2019-01-03,14,Casaco Xadrez,2,259,518,Bourbon Shopping SP
264,2019-01-03,14,Cueca Estampa,1,66,66,Bourbon Shopping SP
264,2019-01-03,14,Camiseta Xadrez,1,200,200,Bourbon Shopping SP
280,2019-01-03,14,Chinelo Liso,1,71,71,Bourbon Shopping SP
280,2019-01-03,14,Relógio Xadrez,1,214,214,Bourbon Shopping SP
281,2019-01-03,14,Camisa Gola V Xadrez,1,107,107,Bourbon Shopping SP
286,2019-01-03,14,Terno Linho,3,750,2250,Bourbon Shopping SP
286,2019-01-03,14,Camiseta Liso,2,187,374,Bourbon Shopping SP
286,2019-01-03,14,Bermuda Liso,1,157,157,Bourbon Shopping SP
293,2019-01-03,14,Camisa Linho,2,141,282,Bourbon Shopping SP
293,2019-01-03,14,Camiseta Liso,1,187,187,Bourbon Shopping SP
298,2019-01-03,14,Cueca Estampa,4,66,264,Bourbon Shopping SP
396,2019-01-04,14,Camisa Gola V,2,100,200,Bourbon Shopping SP
396,2019-01-04,14,Relógio Listrado,2,218,436,Bourbon Shopping SP
396,2019-01-04,14,Casaco,1,250,250,Bourbon Shopping SP
437,2019-01-04,14,Meia Listrado,1,37,37,Bourbon Shopping SP
462,2019-01-04,14,Tênis,1,250,250,Bourbon Shopping SP
491,2019-01-04,14,Short Linho,2,133,266,Bourbon Shopping SP
535,2019-01-04,14,Gorro Estampa,2,93,186,Bourbon Shopping SP
567,2019-01-04,14,Gorro Xadrez,1,85,85,Bourbon Shopping SP
597,2019-01-05,14,Pulseira Xadrez,1,87,87,Bourbon Shopping SP
597,2019-01-05,14,Cueca Xadrez,2,60,120,Bourbon Shopping SP
597,2019-01-05,14,Calça,1,170,170,Bourbon Shopping SP
597,2019-01-05,14,Relógio Estampa,1,219,219,Bourbon Shopping SP
626,2019-01-05,14,Cinto Liso,2,209,418,Bourbon Shopping SP
626,2019-01-05,14,Pulseira Linho,1,114,114,Bourbon Shopping SP
626,2019-01-05,14,Tênis Linho,3,294,882,Bourbon Shopping SP
644,2019-01-05,14,Sunga Xadrez,5,116,580,Bourbon Shopping SP
658,2019-01-05,14,Camiseta Liso,1,187,187,Bourbon Shopping SP
684,2019-01-05,14,Sunga Liso,2,114,228,Bourbon Shopping SP
689,2019-01-05,14,Cinto Linho,1,248,248,Bourbon Shopping SP
689,2019-01-05,14,Gorro Xadrez,2,85,170,Bourbon Shopping SP
689,2019-01-05,14,Camiseta Listrado,3,197,591,Bourbon Shopping SP
689,2019-01-05,14,Cinto Estampa,1,209,209,Bourbon Shopping SP
689,2019-01-05,14,Terno Xadrez,5,709,3545,Bourbon Shopping SP
700,2019-01-05,14,Casaco Listrado,3,269,807,Bourbon Shopping SP
700,2019-01-05,14,Short Liso,1,108,108,Bourbon Shopping SP
700,2019-01-05,14,Sunga Listrado,4,114,456,Bourbon Shopping SP
700,2019-01-05,14,Short Liso,5,108,540,Bourbon Shopping SP
861,2019-01-06,14,Sapato Estampa,5,358,1790,Bourbon Shopping SP
861,2019-01-06,14,Tênis Xadrez,2,259,518,Bourbon Shopping SP
861,2019-01-06,14,Camiseta Linho,1,223,223,Bourbon Shopping SP
861,2019-01-06,14,Camiseta Xadrez,1,200,200,Bourbon Shopping SP
882,2019-01-06,14,Polo Linho,1,176,176,Bourbon Shopping SP
945,2019-01-07,14,Meia Listrado,2,37,74,Bourbon Shopping SP
945,2019-01-07,14,Camisa Listrado,1,108,108,Bourbon Shopping SP
967,2019-01-07,14,Short Xadrez,2,100,200,Bourbon Shopping SP
1000,2019-01-07,14,Mochila,1,270,270,Bourbon Shopping SP
1000,2019-01-07,14,Camisa Gola V Liso,2,118,236,Bourbon Shopping SP
1054,2019-01-07,14,Meia Estampa,2,50,100,Bourbon Shopping SP
1070,2019-01-07,14,Camisa Gola V Liso,1,118,118,Bourbon Shopping SP
1076,2019-01-07,14,Sunga Estampa,5,120,600,Bourbon Shopping SP
1076,2019-01-07,14,Sunga Liso,2,114,228,Bourbon Shopping SP
1079,2019-01-07,14,Short Estampa,2,96,192,Bourbon Shopping SP
1079,2019-01-07,14,Cinto Liso,2,209,418,Bourbon Shopping SP
1079,2019-01-07,14,Sunga Xadrez,1,116,116,Bourbon Shopping SP
1137,2019-01-08,14,Cinto Listrado,1,214,214,Bourbon Shopping SP
1165,2019-01-08,14,Meia Listrado,1,37,37,Bourbon Shopping SP
1176,2019-01-08,14,Short Estampa,3,96,288,Bourbon Shopping SP
1176,2019-01-08,14,Polo Xadrez,1,142,142,Bourbon Shopping SP
1255,2019-01-08,14,Chinelo Listrado,4,73,292,Bourbon Shopping SP
1255,2019-01-08,14,Camisa Xadrez,1,105,105,Bourbon Shopping SP
1255,2019-01-08,14,Pulseira Linho,3,114,342,Bourbon Shopping SP
1257,2019-01-08,14,Terno Listrado,3,709,2127,Bourbon Shopping SP
1257,2019-01-08,14,Camisa Gola V Xadrez,3,107,321,Bourbon Shopping SP
1257,2019-01-08,14,Short Estampa,2,96,192,Bourbon Shopping SP
1258,2019-01-08,14,Chinelo Estampa,5,74,370,Bourbon Shopping SP
1258,2019-01-08,14,Casaco Liso,2,255,510,Bourbon Shopping SP
1315,2019-01-08,14,Tênis Estampa,1,256,256,Bourbon Shopping SP
1315,2019-01-08,14,Sunga,4,100,400,Bourbon Shopping SP
1333,2019-01-09,14,Gorro Liso,2,92,184,Bourbon Shopping SP
1333,2019-01-09,14,Meia,3,30,90,Bourbon Shopping SP
1333,2019-01-09,14,Bermuda Listrado,3,163,489,Bourbon Shopping SP
1333,2019-01-09,14,Tênis Estampa,1,256,256,Bourbon Shopping SP
1333,2019-01-09,14,Polo Listrado,2,149,298,Bourbon Shopping SP
1343,2019-01-09,14,Cinto Liso,2,209,418,Bourbon Shopping SP
1347,2019-01-09,14,Relógio Linho,1,240,240,Bourbon Shopping SP
1347,2019-01-09,14,Gorro Listrado,1,97,97,Bourbon Shopping SP
1347,2019-01-09,14,Relógio,1,200,200,Bourbon Shopping SP
1351,2019-01-09,14,Gorro Listrado,1,97,97,Bourbon Shopping SP
1351,2019-01-09,14,Mochila,5,270,1350,Bourbon Shopping SP
1351,2019-01-09,14,Sapato Estampa,1,358,358,Bourbon Shopping SP
1371,2019-01-09,14,Short Linho,1,133,133,Bourbon Shopping SP
1371,2019-01-09,14,Cueca Linho,5,93,465,Bourbon Shopping SP
1371,2019-01-09,14,Relógio Listrado,2,218,436,Bourbon Shopping SP
1400,2019-01-09,14,Calça Listrado,2,181,362,Bourbon Shopping SP
1403,2019-01-09,14,Cinto Liso,2,209,418,Bourbon Shopping SP
1423,2019-01-09,14,Camisa Gola V,3,100,300,Bourbon Shopping SP
1423,2019-01-09,14,Mochila Listrado,1,275,275,Bourbon Shopping SP
1581,2019-01-10,14,Sunga Listrado,1,114,114,Bourbon Shopping SP
1581,2019-01-10,14,Meia Liso,5,38,190,Bourbon Shopping SP
1596,2019-01-10,14,Tênis Listrado,1,262,262,Bourbon Shopping SP
1602,2019-01-10,14,Cinto Linho,1,248,248,Bourbon Shopping SP
1602,2019-01-10,14,Pulseira Linho,5,114,570,Bourbon Shopping SP
1602,2019-01-10,14,Tênis Linho,3,294,882,Bourbon Shopping SP
1611,2019-01-10,14,Pulseira Listrado,2,79,158,Bourbon Shopping SP
1611,2019-01-10,14,Pulseira,4,70,280,Bourbon Shopping SP
1620,2019-01-10,14,Sapato Liso,2,368,736,Bourbon Shopping SP
1620,2019-01-10,14,Camisa Gola V,3,100,300,Bourbon Shopping SP
1620,2019-01-10,14,Meia Xadrez,4,41,164,Bourbon Shopping SP
1620,2019-01-10,14,Chinelo Liso,1,71,71,Bourbon Shopping SP
1620,2019-01-10,14,Bermuda Listrado,1,163,163,Bourbon Shopping SP
1620,2019-01-10,14,Pulseira Xadrez,1,87,87,Bourbon Shopping SP
1620,2019-01-10,14,Mochila Linho,2,311,622,Bourbon Shopping SP
1643,2019-01-10,14,Sunga Listrado,3,114,342,Bourbon Shopping SP
1705,2019-01-11,14,Bermuda Liso,1,157,157,Bourbon Shopping SP
1734,2019-01-11,14,Casaco Listrado,2,269,538,Bourbon Shopping SP
1734,2019-01-11,14,Chinelo Liso,3,71,213,Bourbon Shopping SP
1736,2019-01-11,14,Cueca,3,50,150,Bourbon Shopping SP
1747,2019-01-11,14,Camiseta,2,180,360,Bourbon Shopping SP
1747,2019-01-11,14,Bermuda Xadrez,5,155,775,Bourbon Shopping SP
1747,2019-01-11,14,Camisa Gola V,1,100,100,Bourbon Shopping SP
1787,2019-01-11,14,Sunga Xadrez,2,116,232,Bourbon Shopping SP
1825,2019-01-11,14,Camisa,1,100,100,Bourbon Shopping SP
1837,2019-01-11,14,Polo,1,130,130,Bourbon Shopping SP
1837,2019-01-11,14,Relógio,1,200,200,Bourbon Shopping SP
1837,2019-01-11,14,Bermuda,2,150,300,Bourbon Shopping SP
1837,2019-01-11,14,Camisa Xadrez,4,105,420,Bourbon Shopping SP
1912,2019-01-12,14,Meia Listrado,3,37,111,Bourbon Shopping SP
1994,2019-01-12,14,Tênis Xadrez,1,259,259,Bourbon Shopping SP
1994,2019-01-12,14,Calça Estampa,2,177,354,Bourbon Shopping SP
2121,2019-01-13,14,Sapato Estampa,2,358,716,Bourbon Shopping SP
2121,2019-01-13,14,Sunga Linho,1,149,149,Bourbon Shopping SP
2121,2019-01-13,14,Camisa Gola V Listrado,2,116,232,Bourbon Shopping SP
2232,2019-01-13,14,Cinto Xadrez,1,215,215,Bourbon Shopping SP
2232,2019-01-13,14,Camisa Listrado,2,108,216,Bourbon Shopping SP
2250,2019-01-13,14,Casaco Linho,3,299,897,Bourbon Shopping SP
2267,2019-01-13,14,Cueca Liso,2,69,138,Bourbon Shopping SP
2267,2019-01-13,14,Gorro Xadrez,1,85,85,Bourbon Shopping SP
2267,2019-01-13,14,Pulseira Listrado,3,79,237,Bourbon Shopping SP
2267,2019-01-13,14,Pulseira Listrado,1,79,79,Bourbon Shopping SP
2277,2019-01-13,14,Tênis Liso,1,266,266,Bourbon Shopping SP
2301,2019-01-14,14,Tênis Linho,2,294,588,Bourbon Shopping SP
2325,2019-01-14,14,Camisa,1,100,100,Bourbon Shopping SP
2353,2019-01-14,14,Camisa Listrado,2,108,216,Bourbon Shopping SP
2384,2019-01-14,14,Pulseira Listrado,3,79,237,Bourbon Shopping SP
2384,2019-01-14,14,Short Linho,2,133,266,Bourbon Shopping SP
2401,2019-01-14,14,Calça Linho,1,211,211,Bourbon Shopping SP
2407,2019-01-14,14,Cinto,1,200,200,Bourbon Shopping SP
2407,2019-01-14,14,Short Estampa,2,96,192,Bourbon Shopping SP
2407,2019-01-14,14,Camisa Gola V Estampa,5,118,590,Bourbon Shopping SP
2514,2019-01-15,14,Calça Liso,2,190,380,Bourbon Shopping SP
2514,2019-01-15,14,Tênis Liso,1,266,266,Bourbon Shopping SP
2514,2019-01-15,14,Terno,5,700,3500,Bourbon Shopping SP
2518,2019-01-15,14,Chinelo Xadrez,1,66,66,Bourbon Shopping SP
2607,2019-01-15,14,Camisa Estampa,2,113,226,Bourbon Shopping SP
2607,2019-01-15,14,Camiseta Estampa,4,196,784,Bourbon Shopping SP
2607,2019-01-15,14,Camisa Gola V Linho,3,145,435,Bourbon Shopping SP
2607,2019-01-15,14,Chinelo Xadrez,4,66,264,Bourbon Shopping SP
2654,2019-01-15,14,Casaco Listrado,2,269,538,Bourbon Shopping SP
2737,2019-01-16,14,Relógio Linho,2,240,480,Bourbon Shopping SP
2757,2019-01-16,14,Bermuda Liso,2,157,314,Bourbon Shopping SP
2757,2019-01-16,14,Chinelo Liso,2,71,142,Bourbon Shopping SP
2808,2019-01-16,14,Chinelo Liso,1,71,71,Bourbon Shopping SP
2818,2019-01-16,14,Tênis Linho,2,294,588,Bourbon Shopping SP
2818,2019-01-16,14,Camisa,1,100,100,Bourbon Shopping SP
2818,2019-01-16,14,Meia Estampa,1,50,50,Bourbon Shopping SP
2856,2019-01-16,14,Bermuda Liso,2,157,314,Bourbon Shopping SP
2856,2019-01-16,14,Camisa Gola V Liso,1,118,118,Bourbon Shopping SP
2913,2019-01-17,14,Casaco Xadrez,1,259,259,Bourbon Shopping SP
2913,2019-01-17,14,Bermuda Linho,5,195,975,Bourbon Shopping SP
2913,2019-01-17,14,Cinto Estampa,4,209,836,Bourbon Shopping SP
2913,2019-01-17,14,Polo,3,130,390,Bourbon Shopping SP
2913,2019-01-17,14,Cinto Listrado,2,214,428,Bourbon Shopping SP
2913,2019-01-17,14,Cueca Liso,4,69,276,Bourbon Shopping SP
2936,2019-01-17,14,Meia,1,30,30,Bourbon Shopping SP
2936,2019-01-17,14,Camisa Estampa,2,113,226,Bourbon Shopping SP
2936,2019-01-17,14,Camiseta Linho,2,223,446,Bourbon Shopping SP
2936,2019-01-17,14,Tênis Listrado,2,262,524,Bourbon Shopping SP
2936,2019-01-17,14,Gorro,1,80,80,Bourbon Shopping SP
2951,2019-01-17,14,Tênis Liso,5,266,1330,Bourbon Shopping SP
2968,2019-01-17,14,Camisa Gola V Listrado,4,116,464,Bourbon Shopping SP
2968,2019-01-17,14,Calça Linho,1,211,211,Bourbon Shopping SP
2968,2019-01-17,14,Camisa Estampa,2,113,226,Bourbon Shopping SP
2995,2019-01-17,14,Sunga,2,100,200,Bourbon Shopping SP
3037,2019-01-17,14,Short Estampa,2,96,192,Bourbon Shopping SP
3037,2019-01-17,14,Camisa Gola V Liso,1,118,118,Bourbon Shopping SP
3062,2019-01-17,14,Meia,3,30,90,Bourbon Shopping SP
3070,2019-01-17,14,Short Linho,2,133,266,Bourbon Shopping SP
3094,2019-01-18,14,Cinto Liso,3,209,627,Bourbon Shopping SP
3094,2019-01-18,14,Tênis,1,250,250,Bourbon Shopping SP
3094,2019-01-18,14,Camisa Xadrez,2,105,210,Bourbon Shopping SP
3094,2019-01-18,14,Short Estampa,1,96,96,Bourbon Shopping SP
3133,2019-01-18,14,Gorro Xadrez,5,85,425,Bourbon Shopping SP
3164,2019-01-18,14,Calça,2,170,340,Bourbon Shopping SP
3165,2019-01-18,14,Cueca Xadrez,2,60,120,Bourbon Shopping SP
3165,2019-01-18,14,Terno,2,700,1400,Bourbon Shopping SP
3165,2019-01-18,14,Gorro Xadrez,2,85,170,Bourbon Shopping SP
3165,2019-01-18,14,Cinto Linho,1,248,248,Bourbon Shopping SP
3194,2019-01-18,14,Bermuda,2,150,300,Bourbon Shopping SP
3194,2019-01-18,14,Camiseta Linho,2,223,446,Bourbon Shopping SP
3194,2019-01-18,14,Cinto Linho,5,248,1240,Bourbon Shopping SP
3199,2019-01-18,14,Polo,2,130,260,Bourbon Shopping SP
3200,2019-01-18,14,Relógio Linho,5,240,1200,Bourbon Shopping SP
3200,2019-01-18,14,Camisa Gola V,1,100,100,Bourbon Shopping SP
3200,2019-01-18,14,Mochila Liso,1,276,276,Bourbon Shopping SP
3213,2019-01-18,14,Camisa Gola V Listrado,4,116,464,Bourbon Shopping SP
3213,2019-01-18,14,Chinelo Estampa,1,74,74,Bourbon Shopping SP
3213,2019-01-18,14,Meia,4,30,120,Bourbon Shopping SP
3249,2019-01-18,14,Short Linho,2,133,266,Bourbon Shopping SP
3249,2019-01-18,14,Calça Linho,1,211,211,Bourbon Shopping SP
3249,2019-01-18,14,Sunga,4,100,400,Bourbon Shopping SP
3268,2019-01-18,14,Camisa Xadrez,2,105,210,Bourbon Shopping SP
3319,2019-01-19,14,Meia Linho,1,78,78,Bourbon Shopping SP
3384,2019-01-19,14,Camisa Gola V,3,100,300,Bourbon Shopping SP
3384,2019-01-19,14,Polo,2,130,260,Bourbon Shopping SP
3384,2019-01-19,14,Cueca Xadrez,1,60,60,Bourbon Shopping SP
3384,2019-01-19,14,Camisa Linho,1,141,141,Bourbon Shopping SP
3424,2019-01-19,14,Camisa Linho,1,141,141,Bourbon Shopping SP
