Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
23,2019-01-02,17,Bermuda Estampa,3,169,507,Center Shopping Uberlândia
23,2019-01-02,17,Chinelo Liso,3,71,213,Center Shopping Uberlândia
65,2019-01-02,17,Gorro Listrado,1,97,97,Center Shopping Uberlândia
65,2019-01-02,17,Gorro Xadrez,1,85,85,Center Shopping Uberlândia
80,2019-01-02,17,Meia Linho,3,78,234,Center Shopping Uberlândia
80,2019-01-02,17,Meia Linho,3,78,234,Center Shopping Uberlândia
139,2019-01-02,17,Camisa Gola V Listrado,5,116,580,Center Shopping Uberlândia
139,2019-01-02,17,Casaco Linho,2,299,598,Center Shopping Uberlândia
221,2019-01-03,17,Camisa Gola V Linho,1,145,145,Center Shopping Uberlândia
221,2019-01-03,17,Short Listrado,1,102,102,Center Shopping Uberlândia
221,2019-01-03,17,Chinelo Linho,2,105,210,Center Shopping Uberlândia
240,2019-01-03,17,Gorro Listrado,3,97,291,Center Shopping Uberlândia
270,2019-01-03,17,Terno Linho,3,750,2250,Center Shopping Uberlândia
270,2019-01-03,17,Meia Listrado,5,37,185,Center Shopping Uberlândia
276,2019-01-03,17,Cueca,1,50,50,Center Shopping Uberlândia
276,2019-01-03,17,Gorro Listrado,3,97,291,Center Shopping Uberlândia
353,2019-01-03,17,Pulseira Linho,2,114,228,Center Shopping Uberlândia
353,2019-01-03,17,Sunga Listrado,2,114,228,Center Shopping Uberlândia
379,2019-01-03,17,Camisa Listrado,3,108,324,Center Shopping Uberlândia
379,2019-01-03,17,Camiseta,4,180,720,Center Shopping Uberlândia
418,2019-01-04,17,Bermuda Estampa,1,169,169,Center Shopping Uberlândia
424,2019-01-04,17,Tênis Linho,3,294,882,Center Shopping Uberlândia
424,2019-01-04,17,Calça,1,170,170,Center Shopping Uberlândia
440,2019-01-04,17,Cinto Linho,2,248,496,Center Shopping Uberlândia
440,2019-01-04,17,Casaco Xadrez,1,259,259,Center Shopping Uberlândia
444,2019-01-04,17,Bermuda Xadrez,1,155,155,Center Shopping Uberlândia
513,2019-01-04,17,Sapato Listrado,4,363,1452,Center Shopping Uberlândia
540,2019-01-04,17,Cueca Listrado,1,67,67,Center Shopping Uberlândia
595,2019-01-05,17,Mochila Linho,2,311,622,Center Shopping Uberlândia
603,2019-01-05,17,Mochila,2,270,540,Center Shopping Uberlândia
605,2019-01-05,17,Tênis Liso,3,266,798,Center Shopping Uberlândia
605,2019-01-05,17,Camiseta Liso,4,187,748,Center Shopping Uberlândia
635,2019-01-05,17,Relógio Xadrez,2,214,428,Center Shopping Uberlândia
