Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
8,2019-01-02,24,Terno Estampa,5,706,3530,Iguatemi Campinas
17,2019-01-02,24,Chinelo Liso,1,71,71,Iguatemi Campinas
143,2019-01-02,24,Pulseira,3,70,210,Iguatemi Campinas
166,2019-01-02,24,Cinto Xadrez,1,215,215,Iguatemi Campinas
176,2019-01-02,24,Cinto Listrado,1,214,214,Iguatemi Campinas
205,2019-01-02,24,Sapato Xadrez,2,368,736,Iguatemi Campinas
205,2019-01-02,24,Terno Listrado,3,709,2127,Iguatemi Campinas
205,2019-01-02,24,Meia Linho,1,78,78,Iguatemi Campinas
273,2019-01-03,24,Pulseira Linho,1,114,114,Iguatemi Campinas
331,2019-01-03,24,Chinelo,1,60,60,Iguatemi Campinas
361,2019-01-03,24,Sapato Estampa,4,358,1432,Iguatemi Campinas
393,2019-01-04,24,Camiseta Estampa,1,196,196,Iguatemi Campinas
393,2019-01-04,24,Casaco Liso,1,255,255,Iguatemi Campinas
398,2019-01-04,24,Cueca Linho,1,93,93,Iguatemi Campinas
398,2019-01-04,24,Gorro Liso,2,92,184,Iguatemi Campinas
398,2019-01-04,24,Polo Xadrez,1,142,142,Iguatemi Campinas
408,2019-01-04,24,Bermuda Estampa,1,169,169,Iguatemi Campinas
408,2019-01-04,24,Chinelo Estampa,2,74,148,Iguatemi Campinas
408,2019-01-04,24,Chinelo Estampa,5,74,370,Iguatemi Campinas
408,2019-01-04,24,Cinto Listrado,3,214,642,Iguatemi Campinas
408,2019-01-04,24,Short Linho,2,133,266,Iguatemi Campinas
429,2019-01-04,24,Casaco Listrado,1,269,269,Iguatemi Campinas
429,2019-01-04,24,Polo Estampa,2,138,276,Iguatemi Campinas
475,2019-01-04,24,Tênis Estampa,1,256,256,Iguatemi Campinas
501,2019-01-04,24,Mochila,1,270,270,Iguatemi Campinas
501,2019-01-04,24,Cinto Estampa,2,209,418,Iguatemi Campinas
548,2019-01-04,24,Pulseira Liso,1,87,87,Iguatemi Campinas
548,2019-01-04,24,Terno Xadrez,1,709,709,Iguatemi Campinas
633,2019-01-05,24,Camisa Listrado,1,108,108,Iguatemi Campinas
633,2019-01-05,24,Bermuda Liso,1,157,157,Iguatemi Campinas
704,2019-01-05,24,Chinelo,4,60,240,Iguatemi Campinas
704,2019-01-05,24,Pulseira Listrado,1,79,79,Iguatemi Campinas
715,2019-01-05,24,Camisa Estampa,2,113,226,Iguatemi Campinas
715,2019-01-05,24,Camisa Gola V Liso,5,118,590,Iguatemi Campinas
715,2019-01-05,24,Mochila Xadrez,1,283,283,Iguatemi Campinas
734,2019-01-05,24,Mochila Estampa,3,277,831,Iguatemi Campinas
837,2019-01-06,24,Camisa Listrado,4,108,432,Iguatemi Campinas
837,2019-01-06,24,Camisa Gola V,1,100,100,Iguatemi Campinas
843,2019-01-06,24,Cueca Liso,1,69,69,Iguatemi Campinas
843,2019-01-06,24,Polo Estampa,5,138,690,Iguatemi Campinas
843,2019-01-06,24,Relógio Linho,2,240,480,Iguatemi Campinas
843,2019-01-06,24,Camisa Gola V,5,100,500,Iguatemi Campinas
843,2019-01-06,24,Pulseira Liso,1,87,87,Iguatemi Campinas
843,2019-01-06,24,Bermuda Liso,4,157,628,Iguatemi Campinas
898,2019-01-06,24,Camisa Gola V Xadrez,1,107,107,Iguatemi Campinas
908,2019-01-06,24,Mochila Estampa,1,277,277,Iguatemi Campinas
908,2019-01-06,24,Bermuda Estampa,2,169,338,Iguatemi Campinas
908,2019-01-06,24,Tênis,3,250,750,Iguatemi Campinas
910,2019-01-06,24,Camisa Gola V Listrado,3,116,348,Iguatemi Campinas
910,2019-01-06,24,Relógio Xadrez,1,214,214,Iguatemi Campinas
913,2019-01-06,24,Terno Xadrez,2,709,1418,Iguatemi Campinas
974,2019-01-07,24,Relógio Estampa,1,219,219,Iguatemi Campinas
1025,2019-01-07,24,Sapato,1,350,350,Iguatemi Campinas
1025,2019-01-07,24,Bermuda Listrado,2,163,326,Iguatemi Campinas
1025,2019-01-07,24,Gorro Estampa,1,93,93,Iguatemi Campinas
1025,2019-01-07,24,Cinto,1,200,200,Iguatemi Campinas
1071,2019-01-07,24,Relógio Xadrez,3,214,642,Iguatemi Campinas
1071,2019-01-07,24,Camisa Gola V Liso,1,118,118,Iguatemi Campinas
1071,2019-01-07,24,Bermuda Liso,1,157,157,Iguatemi Campinas
1071,2019-01-07,24,Tênis Listrado,4,262,1048,Iguatemi Campinas
1156,2019-01-08,24,Camisa Liso,1,105,105,Iguatemi Campinas
1189,2019-01-08,24,Camisa,2,100,200,Iguatemi Campinas
1251,2019-01-08,24,Calça Listrado,1,181,181,Iguatemi Campinas
1251,2019-01-08,24,Calça Linho,4,211,844,Iguatemi Campinas
1295,2019-01-08,24,Short Estampa,5,96,480,Iguatemi Campinas
1399,2019-01-09,24,Pulseira,2,70,140,Iguatemi Campinas
1399,2019-01-09,24,Gorro Liso,1,92,92,Iguatemi Campinas
1399,2019-01-09,24,Sapato Estampa,3,358,1074,Iguatemi Campinas
1399,2019-01-09,24,Camiseta,1,180,180,Iguatemi Campinas
1466,2019-01-09,24,Calça Xadrez,1,185,185,Iguatemi Campinas
1466,2019-01-09,24,Gorro,1,80,80,Iguatemi Campinas
1466,2019-01-09,24,Relógio Listrado,2,218,436,Iguatemi Campinas
1498,2019-01-10,24,Polo Xadrez,1,142,142,Iguatemi Campinas
1499,2019-01-10,24,Sunga Linho,3,149,447,Iguatemi Campinas
1499,2019-01-10,24,Bermuda Estampa,2,169,338,Iguatemi Campinas
1499,2019-01-10,24,Tênis Linho,4,294,1176,Iguatemi Campinas
1499,2019-01-10,24,Sapato Liso,1,368,368,Iguatemi Campinas
1499,2019-01-10,24,Cinto Listrado,4,214,856,Iguatemi Campinas
1532,2019-01-10,24,Calça Xadrez,1,185,185,Iguatemi Campinas
1532,2019-01-10,24,Bermuda Linho,1,195,195,Iguatemi Campinas
1536,2019-01-10,24,Camisa Xadrez,1,105,105,Iguatemi Campinas
1540,2019-01-10,24,Mochila,1,270,270,Iguatemi Campinas
1604,2019-01-10,24,Cinto Estampa,2,209,418,Iguatemi Campinas
1621,2019-01-10,24,Cinto,2,200,400,Iguatemi Campinas
1621,2019-01-10,24,Cinto Linho,4,248,992,Iguatemi Campinas
1621,2019-01-10,24,Meia,1,30,30,Iguatemi Campinas
1658,2019-01-10,24,Short,3,90,270,Iguatemi Campinas
1658,2019-01-10,24,Camisa Xadrez,2,105,210,Iguatemi Campinas
1658,2019-01-10,24,Cinto Estampa,1,209,209,Iguatemi Campinas
1710,2019-01-11,24,Camiseta Xadrez,1,200,200,Iguatemi Campinas
1758,2019-01-11,24,Camisa Gola V Estampa,3,118,354,Iguatemi Campinas
1775,2019-01-11,24,Sunga Xadrez,5,116,580,Iguatemi Campinas
1860,2019-01-11,24,Camiseta Linho,1,223,223,Iguatemi Campinas
1893,2019-01-12,24,Meia Listrado,1,37,37,Iguatemi Campinas
1978,2019-01-12,24,Sunga Listrado,1,114,114,Iguatemi Campinas
1978,2019-01-12,24,Meia Liso,2,38,76,Iguatemi Campinas
1995,2019-01-12,24,Terno Liso,2,720,1440,Iguatemi Campinas
2018,2019-01-12,24,Calça,1,170,170,Iguatemi Campinas
2018,2019-01-12,24,Calça Xadrez,3,185,555,Iguatemi Campinas
2018,2019-01-12,24,Camiseta,1,180,180,Iguatemi Campinas
2040,2019-01-12,24,Relógio Listrado,1,218,218,Iguatemi Campinas
2049,2019-01-12,24,Pulseira Linho,5,114,570,Iguatemi Campinas
2067,2019-01-12,24,Sapato Estampa,1,358,358,Iguatemi Campinas
2067,2019-01-12,24,Sapato,1,350,350,Iguatemi Campinas
2067,2019-01-12,24,Casaco Estampa,1,256,256,Iguatemi Campinas
2086,2019-01-12,24,Camisa Gola V Linho,1,145,145,Iguatemi Campinas
2091,2019-01-13,24,Meia Estampa,3,50,150,Iguatemi Campinas
2091,2019-01-13,24,Sunga Liso,2,114,228,Iguatemi Campinas
2138,2019-01-13,24,Pulseira Estampa,2,87,174,Iguatemi Campinas
2138,2019-01-13,24,Relógio,2,200,400,Iguatemi Campinas
2167,2019-01-13,24,Relógio Liso,1,216,216,Iguatemi Campinas
2168,2019-01-13,24,Bermuda Xadrez,3,155,465,Iguatemi Campinas
2168,2019-01-13,24,Mochila Listrado,2,275,550,Iguatemi Campinas
2168,2019-01-13,24,Meia Listrado,1,37,37,Iguatemi Campinas
2196,2019-01-13,24,Chinelo Linho,4,105,420,Iguatemi Campinas
2196,2019-01-13,24,Sunga,3,100,300,Iguatemi Campinas
2273,2019-01-13,24,Meia Liso,2,38,76,Iguatemi Campinas
2286,2019-01-14,24,Sunga,2,100,200,Iguatemi Campinas
2324,2019-01-14,24,Meia Liso,3,38,114,Iguatemi Campinas
2324,2019-01-14,24,Chinelo Estampa,2,74,148,Iguatemi Campinas
2329,2019-01-14,24,Polo Xadrez,3,142,426,Iguatemi Campinas
2329,2019-01-14,24,Terno Listrado,2,709,1418,Iguatemi Campinas
2351,2019-01-14,24,Tênis,1,250,250,Iguatemi Campinas
2366,2019-01-14,24,Camiseta Liso,1,187,187,Iguatemi Campinas
2366,2019-01-14,24,Relógio Xadrez,1,214,214,Iguatemi Campinas
