Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
1,2019-01-01,1,Sapato Estampa,1,358,358,Iguatemi Esplanada
1,2019-01-01,1,Camiseta,2,180,360,Iguatemi Esplanada
1,2019-01-01,1,Sapato Xadrez,1,368,368,Iguatemi Esplanada
21,2019-01-02,1,Camisa Gola V Listrado,2,116,232,Iguatemi Esplanada
34,2019-01-02,1,Sapato Listrado,1,363,363,Iguatemi Esplanada
34,2019-01-02,1,Camisa Gola V Liso,2,118,236,Iguatemi Esplanada
49,2019-01-02,1,Terno Xadrez,3,709,2127,Iguatemi Esplanada
49,2019-01-02,1,Sapato Liso,1,368,368,Iguatemi Esplanada
63,2019-01-02,1,Sunga,3,100,300,Iguatemi Esplanada
63,2019-01-02,1,Camisa Gola V Liso,4,118,472,Iguatemi Esplanada
116,2019-01-02,1,Sapato,5,350,1750,Iguatemi Esplanada
116,2019-01-02,1,Calça Xadrez,1,185,185,Iguatemi Esplanada
123,2019-01-02,1,Bermuda Listrado,1,163,163,Iguatemi Esplanada
151,2019-01-02,1,Meia Listrado,3,37,111,Iguatemi Esplanada
184,2019-01-02,1,Polo Linho,2,176,352,Iguatemi Esplanada
184,2019-01-02,1,Camisa Listrado,2,108,216,Iguatemi Esplanada
184,2019-01-02,1,Sapato Linho,2,391,782,Iguatemi Esplanada
184,2019-01-02,1,Sapato Estampa,1,358,358,Iguatemi Esplanada
262,2019-01-03,1,Mochila Xadrez,1,283,283,Iguatemi Esplanada
262,2019-01-03,1,Sapato Linho,1,391,391,Iguatemi Esplanada
268,2019-01-03,1,Gorro Estampa,2,93,186,Iguatemi Esplanada
325,2019-01-03,1,Tênis Xadrez,1,259,259,Iguatemi Esplanada
325,2019-01-03,1,Gorro,2,80,160,Iguatemi Esplanada
325,2019-01-03,1,Tênis Xadrez,2,259,518,Iguatemi Esplanada
325,2019-01-03,1,Calça,2,170,340,Iguatemi Esplanada
365,2019-01-03,1,Cinto Xadrez,3,215,645,Iguatemi Esplanada
365,2019-01-03,1,Terno Linho,2,750,1500,Iguatemi Esplanada
365,2019-01-03,1,Relógio,1,200,200,Iguatemi Esplanada
365,2019-01-03,1,Sapato Linho,1,391,391,Iguatemi Esplanada
369,2019-01-03,1,Gorro Listrado,4,97,388,Iguatemi Esplanada
372,2019-01-03,1,Camisa Listrado,3,108,324,Iguatemi Esplanada
372,2019-01-03,1,Cueca,3,50,150,Iguatemi Esplanada
430,2019-01-04,1,Chinelo Linho,3,105,315,Iguatemi Esplanada
448,2019-01-04,1,Polo Xadrez,3,142,426,Iguatemi Esplanada
448,2019-01-04,1,Cinto Liso,3,209,627,Iguatemi Esplanada
448,2019-01-04,1,Sunga Xadrez,3,116,348,Iguatemi Esplanada
448,2019-01-04,1,Gorro,1,80,80,Iguatemi Esplanada
448,2019-01-04,1,Bermuda Listrado,2,163,326,Iguatemi Esplanada
503,2019-01-04,1,Mochila Xadrez,4,283,1132,Iguatemi Esplanada
503,2019-01-04,1,Tênis Listrado,2,262,524,Iguatemi Esplanada
508,2019-01-04,1,Mochila Xadrez,4,283,1132,Iguatemi Esplanada
508,2019-01-04,1,Chinelo Estampa,1,74,74,Iguatemi Esplanada
508,2019-01-04,1,Relógio,2,200,400,Iguatemi Esplanada
533,2019-01-04,1,Relógio Xadrez,2,214,428,Iguatemi Esplanada
533,2019-01-04,1,Bermuda Xadrez,4,155,620,Iguatemi Esplanada
551,2019-01-04,1,Camisa Linho,2,141,282,Iguatemi Esplanada
564,2019-01-04,1,Terno Listrado,2,709,1418,Iguatemi Esplanada
564,2019-01-04,1,Camisa Estampa,1,113,113,Iguatemi Esplanada
564,2019-01-04,1,Gorro Liso,2,92,184,Iguatemi Esplanada
564,2019-01-04,1,Calça,3,170,510,Iguatemi Esplanada
564,2019-01-04,1,Calça Liso,1,190,190,Iguatemi Esplanada
591,2019-01-05,1,Chinelo,2,60,120,Iguatemi Esplanada
591,2019-01-05,1,Cinto,1,200,200,Iguatemi Esplanada
638,2019-01-05,1,Terno,3,700,2100,Iguatemi Esplanada
694,2019-01-05,1,Mochila Listrado,1,275,275,Iguatemi Esplanada
694,2019-01-05,1,Pulseira,1,70,70,Iguatemi Esplanada
713,2019-01-05,1,Terno,2,700,1400,Iguatemi Esplanada
713,2019-01-05,1,Tênis Listrado,4,262,1048,Iguatemi Esplanada
781,2019-01-06,1,Sunga,2,100,200,Iguatemi Esplanada
822,2019-01-06,1,Casaco Estampa,1,256,256,Iguatemi Esplanada
905,2019-01-06,1,Bermuda Listrado,2,163,326,Iguatemi Esplanada
905,2019-01-06,1,Calça Liso,2,190,380,Iguatemi Esplanada
905,2019-01-06,1,Meia Listrado,3,37,111,Iguatemi Esplanada
947,2019-01-07,1,Relógio Linho,2,240,480,Iguatemi Esplanada
947,2019-01-07,1,Camisa Gola V Linho,1,145,145,Iguatemi Esplanada
947,2019-01-07,1,Relógio Liso,1,216,216,Iguatemi Esplanada
962,2019-01-07,1,Gorro Listrado,3,97,291,Iguatemi Esplanada
962,2019-01-07,1,Meia Listrado,1,37,37,Iguatemi Esplanada
979,2019-01-07,1,Relógio,1,200,200,Iguatemi Esplanada
979,2019-01-07,1,Polo Xadrez,1,142,142,Iguatemi Esplanada
1073,2019-01-07,1,Relógio Estampa,1,219,219,Iguatemi Esplanada
1073,2019-01-07,1,Camisa Gola V,3,100,300,Iguatemi Esplanada
1093,2019-01-07,1,Camiseta Listrado,1,197,197,Iguatemi Esplanada
1093,2019-01-07,1,Tênis,2,250,500,Iguatemi Esplanada
1098,2019-01-07,1,Calça Liso,2,190,380,Iguatemi Esplanada
1098,2019-01-07,1,Tênis Listrado,2,262,524,Iguatemi Esplanada
1098,2019-01-07,1,Mochila Listrado,2,275,550,Iguatemi Esplanada
1120,2019-01-07,1,Sapato Liso,4,368,1472,Iguatemi Esplanada
1120,2019-01-07,1,Gorro Estampa,1,93,93,Iguatemi Esplanada
1238,2019-01-08,1,Sapato Xadrez,3,368,1104,Iguatemi Esplanada
1238,2019-01-08,1,Short Linho,2,133,266,Iguatemi Esplanada
1241,2019-01-08,1,Cinto Linho,2,248,496,Iguatemi Esplanada
1247,2019-01-08,1,Cinto,1,200,200,Iguatemi Esplanada
1345,2019-01-09,1,Relógio Linho,2,240,480,Iguatemi Esplanada
1345,2019-01-09,1,Meia,2,30,60,Iguatemi Esplanada
1346,2019-01-09,1,Tênis Liso,1,266,266,Iguatemi Esplanada
1346,2019-01-09,1,Gorro Liso,3,92,276,Iguatemi Esplanada
1430,2019-01-09,1,Chinelo Estampa,1,74,74,Iguatemi Esplanada
1437,2019-01-09,1,Gorro,1,80,80,Iguatemi Esplanada
1437,2019-01-09,1,Tênis Liso,2,266,532,Iguatemi Esplanada
1749,2019-01-11,1,Pulseira Liso,1,87,87,Iguatemi Esplanada
1749,2019-01-11,1,Sunga Estampa,2,120,240,Iguatemi Esplanada
1885,2019-01-12,1,Cueca,2,50,100,Iguatemi Esplanada
1885,2019-01-12,1,Calça Xadrez,1,185,185,Iguatemi Esplanada
1914,2019-01-12,1,Polo Listrado,2,149,298,Iguatemi Esplanada
1940,2019-01-12,1,Sapato Liso,5,368,1840,Iguatemi Esplanada
1950,2019-01-12,1,Pulseira Liso,1,87,87,Iguatemi Esplanada
1950,2019-01-12,1,Chinelo Xadrez,2,66,132,Iguatemi Esplanada
1973,2019-01-12,1,Chinelo Estampa,2,74,148,Iguatemi Esplanada
2017,2019-01-12,1,Pulseira Estampa,1,87,87,Iguatemi Esplanada
2017,2019-01-12,1,Mochila Linho,3,311,933,Iguatemi Esplanada
2057,2019-01-12,1,Gorro Estampa,4,93,372,Iguatemi Esplanada
2092,2019-01-13,1,Tênis Liso,2,266,532,Iguatemi Esplanada
2100,2019-01-13,1,Cinto Xadrez,3,215,645,Iguatemi Esplanada
2142,2019-01-13,1,Chinelo,3,60,180,Iguatemi Esplanada
2194,2019-01-13,1,Chinelo Listrado,2,73,146,Iguatemi Esplanada
2201,2019-01-13,1,Mochila Xadrez,1,283,283,Iguatemi Esplanada
2201,2019-01-13,1,Terno Estampa,2,706,1412,Iguatemi Esplanada
2201,2019-01-13,1,Bermuda Liso,1,157,157,Iguatemi Esplanada
2220,2019-01-13,1,Cinto Xadrez,3,215,645,Iguatemi Esplanada
2239,2019-01-13,1,Cinto Linho,2,248,496,Iguatemi Esplanada
2270,2019-01-13,1,Calça Estampa,2,177,354,Iguatemi Esplanada
2270,2019-01-13,1,Chinelo Estampa,3,74,222,Iguatemi Esplanada
2355,2019-01-14,1,Terno Listrado,2,709,1418,Iguatemi Esplanada
2355,2019-01-14,1,Relógio Linho,3,240,720,Iguatemi Esplanada
2369,2019-01-14,1,Cinto Estampa,1,209,209,Iguatemi Esplanada
2369,2019-01-14,1,Sapato Xadrez,2,368,736,Iguatemi Esplanada
2379,2019-01-14,1,Bermuda Linho,2,195,390,Iguatemi Esplanada
2379,2019-01-14,1,Camisa Gola V Liso,1,118,118,Iguatemi Esplanada
2379,2019-01-14,1,Camisa Liso,2,105,210,Iguatemi Esplanada
2380,2019-01-14,1,Terno Linho,3,750,2250,Iguatemi Esplanada
2380,2019-01-14,1,Tênis Linho,1,294,294,Iguatemi Esplanada
2380,2019-01-14,1,Camisa Xadrez,2,105,210,Iguatemi Esplanada
2380,2019-01-14,1,Bermuda,1,150,150,Iguatemi Esplanada
2386,2019-01-14,1,Cueca Linho,2,93,186,Iguatemi Esplanada
2404,2019-01-14,1,Short Xadrez,1,100,100,Iguatemi Esplanada
2404,2019-01-14,1,Bermuda Xadrez,3,155,465,Iguatemi Esplanada
2444,2019-01-14,1,Cueca Liso,1,69,69,Iguatemi Esplanada
2444,2019-01-14,1,Bermuda,2,150,300,Iguatemi Esplanada
2467,2019-01-14,1,Gorro Estampa,1,93,93,Iguatemi Esplanada
2468,2019-01-14,1,Camisa,2,100,200,Iguatemi Esplanada
2468,2019-01-14,1,Camiseta Listrado,2,197,394,Iguatemi Esplanada
2468,2019-01-14,1,Cinto Liso,5,209,1045,Iguatemi Esplanada
2481,2019-01-14,1,Camisa Liso,1,105,105,Iguatemi Esplanada
2481,2019-01-14,1,Sunga Listrado,1,114,114,Iguatemi Esplanada
2491,2019-01-15,1,Gorro Listrado,3,97,291,Iguatemi Esplanada
2526,2019-01-15,1,Chinelo Liso,1,71,71,Iguatemi Esplanada
2526,2019-01-15,1,Chinelo Xadrez,2,66,132,Iguatemi Esplanada
2536,2019-01-15,1,Cueca Liso,3,69,207,Iguatemi Esplanada
2536,2019-01-15,1,Cueca Linho,1,93,93,Iguatemi Esplanada
2553,2019-01-15,1,Cueca Listrado,1,67,67,Iguatemi Esplanada
2553,2019-01-15,1,Polo Listrado,1,149,149,Iguatemi Esplanada
2553,2019-01-15,1,Bermuda,1,150,150,Iguatemi Esplanada
2563,2019-01-15,1,Terno Listrado,1,709,709,Iguatemi Esplanada
2566,2019-01-15,1,Calça Estampa,1,177,177,Iguatemi Esplanada
2566,2019-01-15,1,Calça Linho,1,211,211,Iguatemi Esplanada
2566,2019-01-15,1,Mochila Xadrez,4,283,1132,Iguatemi Esplanada
2566,2019-01-15,1,Gorro Liso,1,92,92,Iguatemi Esplanada
2572,2019-01-15,1,Cueca Listrado,1,67,67,Iguatemi Esplanada
2572,2019-01-15,1,Mochila Xadrez,1,283,283,Iguatemi Esplanada
2685,2019-01-15,1,Relógio Estampa,4,219,876,Iguatemi Esplanada
2837,2019-01-16,1,Bermuda Estampa,2,169,338,Iguatemi Esplanada
2839,2019-01-16,1,Polo Estampa,1,138,138,Iguatemi Esplanada
2839,2019-01-16,1,Camisa Gola V Listrado,5,116,580,Iguatemi Esplanada
2839,2019-01-16,1,Relógio Xadrez,1,214,214,Iguatemi Esplanada
2839,2019-01-16,1,Casaco Liso,1,255,255,Iguatemi Esplanada
2840,2019-01-16,1,Camiseta Xadrez,1,200,200,Iguatemi Esplanada
2840,2019-01-16,1,Short Linho,2,133,266,Iguatemi Esplanada
2902,2019-01-17,1,Bermuda Linho,1,195,195,Iguatemi Esplanada
2902,2019-01-17,1,Calça Listrado,2,181,362,Iguatemi Esplanada
2902,2019-01-17,1,Calça,1,170,170,Iguatemi Esplanada
2902,2019-01-17,1,Sapato Liso,2,368,736,Iguatemi Esplanada
2928,2019-01-17,1,Relógio Linho,5,240,1200,Iguatemi Esplanada
2937,2019-01-17,1,Tênis,3,250,750,Iguatemi Esplanada
2937,2019-01-17,1,Pulseira Listrado,3,79,237,Iguatemi Esplanada
2993,2019-01-17,1,Meia Estampa,2,50,100,Iguatemi Esplanada
2993,2019-01-17,1,Bermuda Linho,2,195,390,Iguatemi Esplanada
2993,2019-01-17,1,Calça Xadrez,1,185,185,Iguatemi Esplanada
3012,2019-01-17,1,Sapato Xadrez,2,368,736,Iguatemi Esplanada
3012,2019-01-17,1,Relógio Listrado,1,218,218,Iguatemi Esplanada
3012,2019-01-17,1,Chinelo Listrado,1,73,73,Iguatemi Esplanada
3013,2019-01-17,1,Meia Xadrez,5,41,205,Iguatemi Esplanada
3013,2019-01-17,1,Sapato Listrado,2,363,726,Iguatemi Esplanada
3013,2019-01-17,1,Camisa Xadrez,4,105,420,Iguatemi Esplanada
3018,2019-01-17,1,Camiseta,1,180,180,Iguatemi Esplanada
3018,2019-01-17,1,Bermuda Listrado,2,163,326,Iguatemi Esplanada
3018,2019-01-17,1,Terno Liso,2,720,1440,Iguatemi Esplanada
3067,2019-01-17,1,Camiseta,2,180,360,Iguatemi Esplanada
