Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
2,2019-01-02,3,Relógio,3,200,600,Norte Shopping
2,2019-01-02,3,Chinelo Liso,1,71,71,Norte Shopping
7,2019-01-02,3,Camisa Gola V Listrado,1,116,116,Norte Shopping
7,2019-01-02,3,Camisa Liso,1,105,105,Norte Shopping
73,2019-01-02,3,Cueca Xadrez,5,60,300,Norte Shopping
73,2019-01-02,3,Cueca Listrado,1,67,67,Norte Shopping
137,2019-01-02,3,Cueca,2,50,100,Norte Shopping
147,2019-01-02,3,Camisa Xadrez,2,105,210,Norte Shopping
147,2019-01-02,3,Cueca,3,50,150,Norte Shopping
147,2019-01-02,3,Gorro Liso,2,92,184,Norte Shopping
195,2019-01-02,3,Cinto,1,200,200,Norte Shopping
195,2019-01-02,3,Relógio Liso,3,216,648,Norte Shopping
196,2019-01-02,3,Cueca Xadrez,2,60,120,Norte Shopping
201,2019-01-02,3,Relógio,2,200,400,Norte Shopping
201,2019-01-02,3,Mochila Estampa,3,277,831,Norte Shopping
244,2019-01-03,3,Pulseira Liso,1,87,87,Norte Shopping
247,2019-01-03,3,Camisa Gola V Listrado,2,116,232,Norte Shopping
247,2019-01-03,3,Polo Xadrez,1,142,142,Norte Shopping
317,2019-01-03,3,Chinelo Liso,1,71,71,Norte Shopping
317,2019-01-03,3,Meia Listrado,1,37,37,Norte Shopping
380,2019-01-03,3,Mochila Estampa,1,277,277,Norte Shopping
402,2019-01-04,3,Camiseta Xadrez,1,200,200,Norte Shopping
402,2019-01-04,3,Meia Xadrez,1,41,41,Norte Shopping
402,2019-01-04,3,Polo,5,130,650,Norte Shopping
439,2019-01-04,3,Pulseira Estampa,4,87,348,Norte Shopping
466,2019-01-04,3,Camisa Listrado,1,108,108,Norte Shopping
466,2019-01-04,3,Meia Xadrez,1,41,41,Norte Shopping
555,2019-01-04,3,Gorro Liso,1,92,92,Norte Shopping
555,2019-01-04,3,Cueca Linho,1,93,93,Norte Shopping
555,2019-01-04,3,Casaco Liso,1,255,255,Norte Shopping
561,2019-01-04,3,Calça Xadrez,2,185,370,Norte Shopping
561,2019-01-04,3,Camiseta Linho,1,223,223,Norte Shopping
636,2019-01-05,3,Cinto,4,200,800,Norte Shopping
636,2019-01-05,3,Mochila Listrado,3,275,825,Norte Shopping
672,2019-01-05,3,Camiseta Linho,1,223,223,Norte Shopping
720,2019-01-05,3,Cueca Xadrez,2,60,120,Norte Shopping
748,2019-01-06,3,Camisa Gola V,2,100,200,Norte Shopping
748,2019-01-06,3,Tênis Liso,2,266,532,Norte Shopping
756,2019-01-06,3,Polo Listrado,3,149,447,Norte Shopping
756,2019-01-06,3,Calça Linho,2,211,422,Norte Shopping
756,2019-01-06,3,Sunga Linho,1,149,149,Norte Shopping
785,2019-01-06,3,Pulseira Listrado,2,79,158,Norte Shopping
