Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
41,2019-01-02,23,Gorro,1,80,80,Novo Shopping Ribeirão Preto
41,2019-01-02,23,Short Xadrez,4,100,400,Novo Shopping Ribeirão Preto
61,2019-01-02,23,Camisa Gola V Listrado,1,116,116,Novo Shopping Ribeirão Preto
61,2019-01-02,23,Camisa Estampa,2,113,226,Novo Shopping Ribeirão Preto
93,2019-01-02,23,Camiseta Liso,1,187,187,Novo Shopping Ribeirão Preto
93,2019-01-02,23,Camiseta,1,180,180,Novo Shopping Ribeirão Preto
129,2019-01-02,23,Meia Linho,2,78,156,Novo Shopping Ribeirão Preto
141,2019-01-02,23,Camisa Linho,2,141,282,Novo Shopping Ribeirão Preto
141,2019-01-02,23,Camisa,3,100,300,Novo Shopping Ribeirão Preto
141,2019-01-02,23,Chinelo Estampa,2,74,148,Novo Shopping Ribeirão Preto
159,2019-01-02,23,Mochila Liso,2,276,552,Novo Shopping Ribeirão Preto
159,2019-01-02,23,Meia Listrado,2,37,74,Novo Shopping Ribeirão Preto
159,2019-01-02,23,Bermuda Listrado,1,163,163,Novo Shopping Ribeirão Preto
279,2019-01-03,23,Sapato Xadrez,2,368,736,Novo Shopping Ribeirão Preto
279,2019-01-03,23,Bermuda Liso,1,157,157,Novo Shopping Ribeirão Preto
288,2019-01-03,23,Short Liso,2,108,216,Novo Shopping Ribeirão Preto
288,2019-01-03,23,Meia Listrado,2,37,74,Novo Shopping Ribeirão Preto
288,2019-01-03,23,Cueca Liso,2,69,138,Novo Shopping Ribeirão Preto
288,2019-01-03,23,Cueca Listrado,3,67,201,Novo Shopping Ribeirão Preto
329,2019-01-03,23,Camisa Gola V Xadrez,1,107,107,Novo Shopping Ribeirão Preto
329,2019-01-03,23,Casaco Estampa,1,256,256,Novo Shopping Ribeirão Preto
342,2019-01-03,23,Pulseira,2,70,140,Novo Shopping Ribeirão Preto
342,2019-01-03,23,Bermuda,2,150,300,Novo Shopping Ribeirão Preto
410,2019-01-04,23,Sunga Listrado,3,114,342,Novo Shopping Ribeirão Preto
410,2019-01-04,23,Bermuda,5,150,750,Novo Shopping Ribeirão Preto
410,2019-01-04,23,Casaco Listrado,2,269,538,Novo Shopping Ribeirão Preto
421,2019-01-04,23,Camisa Liso,1,105,105,Novo Shopping Ribeirão Preto
421,2019-01-04,23,Pulseira Estampa,1,87,87,Novo Shopping Ribeirão Preto
