Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
47,2019-01-02,15,Short,1,90,90,Palladium Shopping Curitiba
59,2019-01-02,15,Calça,2,170,340,Palladium Shopping Curitiba
66,2019-01-02,15,Casaco,4,250,1000,Palladium Shopping Curitiba
66,2019-01-02,15,Camiseta Linho,1,223,223,Palladium Shopping Curitiba
94,2019-01-02,15,Relógio Estampa,4,219,876,Palladium Shopping Curitiba
145,2019-01-02,15,Sapato Linho,2,391,782,Palladium Shopping Curitiba
152,2019-01-02,15,Camiseta Liso,1,187,187,Palladium Shopping Curitiba
175,2019-01-02,15,Cinto Estampa,3,209,627,Palladium Shopping Curitiba
175,2019-01-02,15,Relógio Estampa,5,219,1095,Palladium Shopping Curitiba
185,2019-01-02,15,Camisa Gola V,4,100,400,Palladium Shopping Curitiba
210,2019-01-03,15,Sapato Xadrez,5,368,1840,Palladium Shopping Curitiba
210,2019-01-03,15,Camisa Linho,1,141,141,Palladium Shopping Curitiba
210,2019-01-03,15,Calça,5,170,850,Palladium Shopping Curitiba
210,2019-01-03,15,Terno,5,700,3500,Palladium Shopping Curitiba
228,2019-01-03,15,Tênis Estampa,2,256,512,Palladium Shopping Curitiba
241,2019-01-03,15,Terno Estampa,3,706,2118,Palladium Shopping Curitiba
340,2019-01-03,15,Terno Xadrez,5,709,3545,Palladium Shopping Curitiba
349,2019-01-03,15,Cueca Estampa,2,66,132,Palladium Shopping Curitiba
355,2019-01-03,15,Camiseta Listrado,2,197,394,Palladium Shopping Curitiba
355,2019-01-03,15,Calça Estampa,3,177,531,Palladium Shopping Curitiba
376,2019-01-03,15,Tênis Estampa,2,256,512,Palladium Shopping Curitiba
385,2019-01-03,15,Cinto Estampa,1,209,209,Palladium Shopping Curitiba
409,2019-01-04,15,Terno Xadrez,4,709,2836,Palladium Shopping Curitiba
409,2019-01-04,15,Calça Liso,1,190,190,Palladium Shopping Curitiba
409,2019-01-04,15,Camisa,2,100,200,Palladium Shopping Curitiba
449,2019-01-04,15,Cueca Listrado,1,67,67,Palladium Shopping Curitiba
478,2019-01-04,15,Relógio,1,200,200,Palladium Shopping Curitiba
478,2019-01-04,15,Cinto Liso,2,209,418,Palladium Shopping Curitiba
478,2019-01-04,15,Cueca Linho,2,93,186,Palladium Shopping Curitiba
479,2019-01-04,15,Gorro Estampa,2,93,186,Palladium Shopping Curitiba
485,2019-01-04,15,Polo Estampa,1,138,138,Palladium Shopping Curitiba
485,2019-01-04,15,Terno Xadrez,3,709,2127,Palladium Shopping Curitiba
494,2019-01-04,15,Tênis Liso,2,266,532,Palladium Shopping Curitiba
500,2019-01-04,15,Cinto Listrado,4,214,856,Palladium Shopping Curitiba
500,2019-01-04,15,Relógio Estampa,5,219,1095,Palladium Shopping Curitiba
500,2019-01-04,15,Calça Estampa,3,177,531,Palladium Shopping Curitiba
528,2019-01-04,15,Gorro Xadrez,1,85,85,Palladium Shopping Curitiba
569,2019-01-05,15,Mochila Xadrez,4,283,1132,Palladium Shopping Curitiba
569,2019-01-05,15,Gorro Linho,2,124,248,Palladium Shopping Curitiba
620,2019-01-05,15,Pulseira,1,70,70,Palladium Shopping Curitiba
627,2019-01-05,15,Calça Estampa,2,177,354,Palladium Shopping Curitiba
722,2019-01-05,15,Relógio Estampa,2,219,438,Palladium Shopping Curitiba
