Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
22,2019-01-02,13,Meia,1,30,30,Parque Dom Pedro Shopping
22,2019-01-02,13,Meia Linho,2,78,156,Parque Dom Pedro Shopping
22,2019-01-02,13,Calça Liso,2,190,380,Parque Dom Pedro Shopping
35,2019-01-02,13,Relógio,2,200,400,Parque Dom Pedro Shopping
35,2019-01-02,13,Sapato,2,350,700,Parque Dom Pedro Shopping
51,2019-01-02,13,Cinto Listrado,1,214,214,Parque Dom Pedro Shopping
86,2019-01-02,13,Polo,1,130,130,Parque Dom Pedro Shopping
106,2019-01-02,13,Pulseira Liso,4,87,348,Parque Dom Pedro Shopping
108,2019-01-02,13,Polo Listrado,4,149,596,Parque Dom Pedro Shopping
117,2019-01-02,13,Camisa Xadrez,3,105,315,Parque Dom Pedro Shopping
117,2019-01-02,13,Mochila Estampa,1,277,277,Parque Dom Pedro Shopping
161,2019-01-02,13,Bermuda Listrado,2,163,326,Parque Dom Pedro Shopping
167,2019-01-02,13,Chinelo Liso,1,71,71,Parque Dom Pedro Shopping
167,2019-01-02,13,Cueca Listrado,1,67,67,Parque Dom Pedro Shopping
168,2019-01-02,13,Mochila Estampa,1,277,277,Parque Dom Pedro Shopping
170,2019-01-02,13,Tênis Xadrez,3,259,777,Parque Dom Pedro Shopping
186,2019-01-02,13,Relógio,4,200,800,Parque Dom Pedro Shopping
191,2019-01-02,13,Calça,2,170,340,Parque Dom Pedro Shopping
191,2019-01-02,13,Casaco Xadrez,4,259,1036,Parque Dom Pedro Shopping
218,2019-01-03,13,Camisa Xadrez,3,105,315,Parque Dom Pedro Shopping
218,2019-01-03,13,Mochila,5,270,1350,Parque Dom Pedro Shopping
218,2019-01-03,13,Meia Listrado,3,37,111,Parque Dom Pedro Shopping
263,2019-01-03,13,Sapato Liso,1,368,368,Parque Dom Pedro Shopping
263,2019-01-03,13,Sapato Xadrez,4,368,1472,Parque Dom Pedro Shopping
263,2019-01-03,13,Camiseta Estampa,1,196,196,Parque Dom Pedro Shopping
263,2019-01-03,13,Gorro,3,80,240,Parque Dom Pedro Shopping
272,2019-01-03,13,Chinelo Liso,4,71,284,Parque Dom Pedro Shopping
285,2019-01-03,13,Casaco Liso,5,255,1275,Parque Dom Pedro Shopping
285,2019-01-03,13,Polo Xadrez,2,142,284,Parque Dom Pedro Shopping
302,2019-01-03,13,Relógio Listrado,2,218,436,Parque Dom Pedro Shopping
305,2019-01-03,13,Calça Estampa,4,177,708,Parque Dom Pedro Shopping
354,2019-01-03,13,Camisa Gola V Xadrez,1,107,107,Parque Dom Pedro Shopping
358,2019-01-03,13,Camisa Linho,2,141,282,Parque Dom Pedro Shopping
358,2019-01-03,13,Tênis Xadrez,4,259,1036,Parque Dom Pedro Shopping
386,2019-01-03,13,Camisa,3,100,300,Parque Dom Pedro Shopping
386,2019-01-03,13,Calça,2,170,340,Parque Dom Pedro Shopping
394,2019-01-04,13,Camisa,2,100,200,Parque Dom Pedro Shopping
407,2019-01-04,13,Sunga Liso,4,114,456,Parque Dom Pedro Shopping
417,2019-01-04,13,Cueca Linho,2,93,186,Parque Dom Pedro Shopping
459,2019-01-04,13,Camisa Linho,1,141,141,Parque Dom Pedro Shopping
511,2019-01-04,13,Meia Estampa,1,50,50,Parque Dom Pedro Shopping
521,2019-01-04,13,Camisa Estampa,5,113,565,Parque Dom Pedro Shopping
521,2019-01-04,13,Terno,3,700,2100,Parque Dom Pedro Shopping
568,2019-01-04,13,Mochila,1,270,270,Parque Dom Pedro Shopping
568,2019-01-04,13,Polo Linho,3,176,528,Parque Dom Pedro Shopping
577,2019-01-05,13,Short Estampa,2,96,192,Parque Dom Pedro Shopping
577,2019-01-05,13,Short Xadrez,2,100,200,Parque Dom Pedro Shopping
589,2019-01-05,13,Polo Xadrez,2,142,284,Parque Dom Pedro Shopping
589,2019-01-05,13,Sapato Estampa,5,358,1790,Parque Dom Pedro Shopping
613,2019-01-05,13,Casaco,5,250,1250,Parque Dom Pedro Shopping
613,2019-01-05,13,Short Linho,4,133,532,Parque Dom Pedro Shopping
835,2019-01-06,13,Chinelo Listrado,1,73,73,Parque Dom Pedro Shopping
862,2019-01-06,13,Cinto Estampa,5,209,1045,Parque Dom Pedro Shopping
878,2019-01-06,13,Gorro Xadrez,1,85,85,Parque Dom Pedro Shopping
878,2019-01-06,13,Short Estampa,1,96,96,Parque Dom Pedro Shopping
924,2019-01-06,13,Camisa Liso,1,105,105,Parque Dom Pedro Shopping
996,2019-01-07,13,Bermuda Listrado,1,163,163,Parque Dom Pedro Shopping
1075,2019-01-07,13,Camisa Listrado,2,108,216,Parque Dom Pedro Shopping
1109,2019-01-07,13,Camisa Estampa,2,113,226,Parque Dom Pedro Shopping
1123,2019-01-07,13,Terno Liso,2,720,1440,Parque Dom Pedro Shopping
1249,2019-01-08,13,Tênis Estampa,1,256,256,Parque Dom Pedro Shopping
1262,2019-01-08,13,Cueca Listrado,2,67,134,Parque Dom Pedro Shopping
1262,2019-01-08,13,Tênis Xadrez,1,259,259,Parque Dom Pedro Shopping
1292,2019-01-08,13,Calça Listrado,1,181,181,Parque Dom Pedro Shopping
1292,2019-01-08,13,Gorro Linho,2,124,248,Parque Dom Pedro Shopping
1292,2019-01-08,13,Mochila,1,270,270,Parque Dom Pedro Shopping
1292,2019-01-08,13,Mochila,1,270,270,Parque Dom Pedro Shopping
1294,2019-01-08,13,Gorro Listrado,2,97,194,Parque Dom Pedro Shopping
1294,2019-01-08,13,Camiseta Liso,1,187,187,Parque Dom Pedro Shopping
1324,2019-01-09,13,Cueca Liso,2,69,138,Parque Dom Pedro Shopping
1324,2019-01-09,13,Camiseta Listrado,2,197,394,Parque Dom Pedro Shopping
1340,2019-01-09,13,Cueca Liso,1,69,69,Parque Dom Pedro Shopping
1340,2019-01-09,13,Sunga Linho,1,149,149,Parque Dom Pedro Shopping
1365,2019-01-09,13,Camiseta Linho,1,223,223,Parque Dom Pedro Shopping
1408,2019-01-09,13,Camiseta Listrado,5,197,985,Parque Dom Pedro Shopping
1408,2019-01-09,13,Camisa Gola V Estampa,2,118,236,Parque Dom Pedro Shopping
1408,2019-01-09,13,Bermuda Estampa,3,169,507,Parque Dom Pedro Shopping
1408,2019-01-09,13,Pulseira Linho,3,114,342,Parque Dom Pedro Shopping
1477,2019-01-09,13,Sunga Listrado,4,114,456,Parque Dom Pedro Shopping
1477,2019-01-09,13,Sapato Listrado,4,363,1452,Parque Dom Pedro Shopping
1477,2019-01-09,13,Gorro,5,80,400,Parque Dom Pedro Shopping
1486,2019-01-09,13,Sapato Liso,2,368,736,Parque Dom Pedro Shopping
1486,2019-01-09,13,Meia Liso,3,38,114,Parque Dom Pedro Shopping
1486,2019-01-09,13,Pulseira Liso,4,87,348,Parque Dom Pedro Shopping
1486,2019-01-09,13,Relógio Linho,1,240,240,Parque Dom Pedro Shopping
1530,2019-01-10,13,Mochila Listrado,5,275,1375,Parque Dom Pedro Shopping
1530,2019-01-10,13,Casaco Xadrez,1,259,259,Parque Dom Pedro Shopping
1564,2019-01-10,13,Polo Xadrez,3,142,426,Parque Dom Pedro Shopping
1564,2019-01-10,13,Sunga,4,100,400,Parque Dom Pedro Shopping
1564,2019-01-10,13,Camiseta Xadrez,5,200,1000,Parque Dom Pedro Shopping
1593,2019-01-10,13,Sapato,2,350,700,Parque Dom Pedro Shopping
1599,2019-01-10,13,Calça Listrado,1,181,181,Parque Dom Pedro Shopping
1599,2019-01-10,13,Calça Linho,1,211,211,Parque Dom Pedro Shopping
1653,2019-01-10,13,Mochila Estampa,2,277,554,Parque Dom Pedro Shopping
1653,2019-01-10,13,Tênis Linho,2,294,588,Parque Dom Pedro Shopping
1659,2019-01-10,13,Sapato Estampa,2,358,716,Parque Dom Pedro Shopping
1669,2019-01-10,13,Cueca Xadrez,3,60,180,Parque Dom Pedro Shopping
1672,2019-01-10,13,Casaco Xadrez,3,259,777,Parque Dom Pedro Shopping
1672,2019-01-10,13,Casaco Estampa,1,256,256,Parque Dom Pedro Shopping
1680,2019-01-11,13,Cueca Listrado,1,67,67,Parque Dom Pedro Shopping
1688,2019-01-11,13,Camisa Gola V Listrado,1,116,116,Parque Dom Pedro Shopping
1688,2019-01-11,13,Chinelo Linho,3,105,315,Parque Dom Pedro Shopping
1688,2019-01-11,13,Tênis Linho,2,294,588,Parque Dom Pedro Shopping
1688,2019-01-11,13,Sunga,1,100,100,Parque Dom Pedro Shopping
1708,2019-01-11,13,Polo,1,130,130,Parque Dom Pedro Shopping
1708,2019-01-11,13,Calça,2,170,340,Parque Dom Pedro Shopping
1807,2019-01-11,13,Sunga Estampa,1,120,120,Parque Dom Pedro Shopping
1807,2019-01-11,13,Terno Linho,1,750,750,Parque Dom Pedro Shopping
1811,2019-01-11,13,Chinelo Liso,3,71,213,Parque Dom Pedro Shopping
1811,2019-01-11,13,Tênis Listrado,3,262,786,Parque Dom Pedro Shopping
1819,2019-01-11,13,Cueca Liso,1,69,69,Parque Dom Pedro Shopping
1948,2019-01-12,13,Camiseta Linho,1,223,223,Parque Dom Pedro Shopping
1948,2019-01-12,13,Tênis Liso,4,266,1064,Parque Dom Pedro Shopping
2008,2019-01-12,13,Bermuda Estampa,2,169,338,Parque Dom Pedro Shopping
2025,2019-01-12,13,Meia,2,30,60,Parque Dom Pedro Shopping
2025,2019-01-12,13,Polo Listrado,5,149,745,Parque Dom Pedro Shopping
2025,2019-01-12,13,Terno Xadrez,3,709,2127,Parque Dom Pedro Shopping
2025,2019-01-12,13,Bermuda Listrado,1,163,163,Parque Dom Pedro Shopping
2025,2019-01-12,13,Camisa Gola V Xadrez,2,107,214,Parque Dom Pedro Shopping
2025,2019-01-12,13,Polo Listrado,5,149,745,Parque Dom Pedro Shopping
2068,2019-01-12,13,Camiseta,3,180,540,Parque Dom Pedro Shopping
2068,2019-01-12,13,Camisa Gola V Liso,1,118,118,Parque Dom Pedro Shopping
2261,2019-01-13,13,Pulseira Linho,5,114,570,Parque Dom Pedro Shopping
2261,2019-01-13,13,Relógio,1,200,200,Parque Dom Pedro Shopping
2261,2019-01-13,13,Cinto Liso,2,209,418,Parque Dom Pedro Shopping
2289,2019-01-14,13,Casaco,1,250,250,Parque Dom Pedro Shopping
2297,2019-01-14,13,Mochila Estampa,1,277,277,Parque Dom Pedro Shopping
2297,2019-01-14,13,Pulseira Liso,1,87,87,Parque Dom Pedro Shopping
2297,2019-01-14,13,Mochila Listrado,3,275,825,Parque Dom Pedro Shopping
2318,2019-01-14,13,Bermuda,1,150,150,Parque Dom Pedro Shopping
2318,2019-01-14,13,Camiseta Liso,2,187,374,Parque Dom Pedro Shopping
2334,2019-01-14,13,Relógio Estampa,4,219,876,Parque Dom Pedro Shopping
2358,2019-01-14,13,Casaco Xadrez,1,259,259,Parque Dom Pedro Shopping
2358,2019-01-14,13,Short Xadrez,1,100,100,Parque Dom Pedro Shopping
2399,2019-01-14,13,Pulseira Liso,2,87,174,Parque Dom Pedro Shopping
2437,2019-01-14,13,Polo Estampa,2,138,276,Parque Dom Pedro Shopping
2437,2019-01-14,13,Terno Linho,4,750,3000,Parque Dom Pedro Shopping
2449,2019-01-14,13,Gorro,1,80,80,Parque Dom Pedro Shopping
2455,2019-01-14,13,Polo Linho,1,176,176,Parque Dom Pedro Shopping
2573,2019-01-15,13,Calça Liso,3,190,570,Parque Dom Pedro Shopping
2573,2019-01-15,13,Cueca Liso,3,69,207,Parque Dom Pedro Shopping
2593,2019-01-15,13,Camisa Gola V Listrado,1,116,116,Parque Dom Pedro Shopping
2593,2019-01-15,13,Sapato Linho,4,391,1564,Parque Dom Pedro Shopping
2623,2019-01-15,13,Camisa Gola V Xadrez,1,107,107,Parque Dom Pedro Shopping
2625,2019-01-15,13,Bermuda Xadrez,1,155,155,Parque Dom Pedro Shopping
2625,2019-01-15,13,Polo Linho,2,176,352,Parque Dom Pedro Shopping
2625,2019-01-15,13,Short,1,90,90,Parque Dom Pedro Shopping
2625,2019-01-15,13,Polo Xadrez,1,142,142,Parque Dom Pedro Shopping
2759,2019-01-16,13,Sapato Listrado,1,363,363,Parque Dom Pedro Shopping
2779,2019-01-16,13,Sunga Linho,2,149,298,Parque Dom Pedro Shopping
2779,2019-01-16,13,Short Estampa,5,96,480,Parque Dom Pedro Shopping
2779,2019-01-16,13,Polo Liso,1,137,137,Parque Dom Pedro Shopping
2779,2019-01-16,13,Sunga Liso,2,114,228,Parque Dom Pedro Shopping
2827,2019-01-16,13,Sapato Listrado,1,363,363,Parque Dom Pedro Shopping
2827,2019-01-16,13,Short Linho,2,133,266,Parque Dom Pedro Shopping
2830,2019-01-16,13,Cinto Linho,4,248,992,Parque Dom Pedro Shopping
2830,2019-01-16,13,Sunga Linho,1,149,149,Parque Dom Pedro Shopping
2888,2019-01-16,13,Calça Estampa,3,177,531,Parque Dom Pedro Shopping
2931,2019-01-17,13,Chinelo,1,60,60,Parque Dom Pedro Shopping
2931,2019-01-17,13,Pulseira Listrado,1,79,79,Parque Dom Pedro Shopping
2931,2019-01-17,13,Camiseta Listrado,1,197,197,Parque Dom Pedro Shopping
2970,2019-01-17,13,Camisa Gola V Estampa,1,118,118,Parque Dom Pedro Shopping
2970,2019-01-17,13,Cinto Linho,1,248,248,Parque Dom Pedro Shopping
2970,2019-01-17,13,Meia Linho,1,78,78,Parque Dom Pedro Shopping
2970,2019-01-17,13,Polo,2,130,260,Parque Dom Pedro Shopping
2975,2019-01-17,13,Tênis,1,250,250,Parque Dom Pedro Shopping
2975,2019-01-17,13,Calça Estampa,3,177,531,Parque Dom Pedro Shopping
2975,2019-01-17,13,Sapato,1,350,350,Parque Dom Pedro Shopping
2975,2019-01-17,13,Pulseira,2,70,140,Parque Dom Pedro Shopping
2975,2019-01-17,13,Sunga Listrado,1,114,114,Parque Dom Pedro Shopping
3054,2019-01-17,13,Short Estampa,5,96,480,Parque Dom Pedro Shopping
3054,2019-01-17,13,Cinto,4,200,800,Parque Dom Pedro Shopping
3054,2019-01-17,13,Camisa Gola V Estampa,1,118,118,Parque Dom Pedro Shopping
3063,2019-01-17,13,Tênis Linho,4,294,1176,Parque Dom Pedro Shopping
3063,2019-01-17,13,Sunga Liso,2,114,228,Parque Dom Pedro Shopping
3069,2019-01-17,13,Cinto Xadrez,1,215,215,Parque Dom Pedro Shopping
3076,2019-01-17,13,Tênis Linho,4,294,1176,Parque Dom Pedro Shopping
3156,2019-01-18,13,Cinto Liso,5,209,1045,Parque Dom Pedro Shopping
3156,2019-01-18,13,Sapato Estampa,3,358,1074,Parque Dom Pedro Shopping
3191,2019-01-18,13,Cinto Estampa,3,209,627,Parque Dom Pedro Shopping
3191,2019-01-18,13,Terno,1,700,700,Parque Dom Pedro Shopping
3191,2019-01-18,13,Relógio Liso,3,216,648,Parque Dom Pedro Shopping
3229,2019-01-18,13,Sapato Listrado,1,363,363,Parque Dom Pedro Shopping
3229,2019-01-18,13,Camiseta Linho,1,223,223,Parque Dom Pedro Shopping
3238,2019-01-18,13,Gorro Listrado,1,97,97,Parque Dom Pedro Shopping
3254,2019-01-18,13,Sunga Listrado,3,114,342,Parque Dom Pedro Shopping
3254,2019-01-18,13,Calça Xadrez,2,185,370,Parque Dom Pedro Shopping
3254,2019-01-18,13,Calça Listrado,1,181,181,Parque Dom Pedro Shopping
3254,2019-01-18,13,Meia Liso,2,38,76,Parque Dom Pedro Shopping
3254,2019-01-18,13,Camiseta Liso,2,187,374,Parque Dom Pedro Shopping
3322,2019-01-19,13,Sapato Listrado,4,363,1452,Parque Dom Pedro Shopping
3322,2019-01-19,13,Sapato Estampa,2,358,716,Parque Dom Pedro Shopping
3328,2019-01-19,13,Camisa Liso,5,105,525,Parque Dom Pedro Shopping
3357,2019-01-19,13,Camisa Estampa,1,113,113,Parque Dom Pedro Shopping
3357,2019-01-19,13,Cinto Linho,1,248,248,Parque Dom Pedro Shopping
3395,2019-01-19,13,Cueca Estampa,1,66,66,Parque Dom Pedro Shopping
3435,2019-01-19,13,Tênis Liso,1,266,266,Parque Dom Pedro Shopping
3492,2019-01-20,13,Camiseta Estampa,3,196,588,Parque Dom Pedro Shopping
3531,2019-01-20,13,Camisa Gola V Listrado,2,116,232,Parque Dom Pedro Shopping
3531,2019-01-20,13,Sunga Linho,4,149,596,Parque Dom Pedro Shopping
3545,2019-01-20,13,Camiseta Liso,1,187,187,Parque Dom Pedro Shopping
3545,2019-01-20,13,Pulseira Xadrez,1,87,87,Parque Dom Pedro Shopping
3620,2019-01-20,13,Tênis Estampa,3,256,768,Parque Dom Pedro Shopping
3653,2019-01-21,13,Calça,1,170,170,Parque Dom Pedro Shopping
3685,2019-01-21,13,Relógio,1,200,200,Parque Dom Pedro Shopping
3685,2019-01-21,13,Calça Linho,5,211,1055,Parque Dom Pedro Shopping
3690,2019-01-21,13,Camisa Estampa,3,113,339,Parque Dom Pedro Shopping
3690,2019-01-21,13,Sapato,2,350,700,Parque Dom Pedro Shopping
3690,2019-01-21,13,Gorro Liso,1,92,92,Parque Dom Pedro Shopping
3690,2019-01-21,13,Mochila Liso,2,276,552,Parque Dom Pedro Shopping
3760,2019-01-21,13,Camiseta Estampa,2,196,392,Parque Dom Pedro Shopping
3776,2019-01-21,13,Cueca Listrado,1,67,67,Parque Dom Pedro Shopping
3813,2019-01-21,13,Mochila Liso,1,276,276,Parque Dom Pedro Shopping
3813,2019-01-21,13,Calça Liso,2,190,380,Parque Dom Pedro Shopping
3868,2019-01-22,13,Cueca Listrado,3,67,201,Parque Dom Pedro Shopping
3904,2019-01-22,13,Camisa Gola V Liso,4,118,472,Parque Dom Pedro Shopping
3936,2019-01-22,13,Chinelo,3,60,180,Parque Dom Pedro Shopping
3936,2019-01-22,13,Tênis Liso,3,266,798,Parque Dom Pedro Shopping
4048,2019-01-23,13,Cinto Liso,2,209,418,Parque Dom Pedro Shopping
4048,2019-01-23,13,Gorro,1,80,80,Parque Dom Pedro Shopping
4048,2019-01-23,13,Bermuda Estampa,1,169,169,Parque Dom Pedro Shopping
4048,2019-01-23,13,Bermuda Linho,2,195,390,Parque Dom Pedro Shopping
4048,2019-01-23,13,Bermuda Xadrez,1,155,155,Parque Dom Pedro Shopping
4048,2019-01-23,13,Relógio Liso,2,216,432,Parque Dom Pedro Shopping
4088,2019-01-23,13,Tênis Liso,3,266,798,Parque Dom Pedro Shopping
4106,2019-01-23,13,Sunga Liso,3,114,342,Parque Dom Pedro Shopping
4106,2019-01-23,13,Casaco Estampa,2,256,512,Parque Dom Pedro Shopping
