Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
62,2019-01-02,11,Camisa Gola V Estampa,1,118,118,Ribeirão Shopping
62,2019-01-02,11,Chinelo Estampa,2,74,148,Ribeirão Shopping
84,2019-01-02,11,Pulseira Xadrez,5,87,435,Ribeirão Shopping
84,2019-01-02,11,Sapato Liso,3,368,1104,Ribeirão Shopping
84,2019-01-02,11,Calça,1,170,170,Ribeirão Shopping
98,2019-01-02,11,Sunga Liso,3,114,342,Ribeirão Shopping
127,2019-01-02,11,Camisa Estampa,2,113,226,Ribeirão Shopping
127,2019-01-02,11,Short,1,90,90,Ribeirão Shopping
131,2019-01-02,11,Bermuda Liso,4,157,628,Ribeirão Shopping
163,2019-01-02,11,Mochila Estampa,5,277,1385,Ribeirão Shopping
225,2019-01-03,11,Mochila Liso,3,276,828,Ribeirão Shopping
225,2019-01-03,11,Polo Listrado,4,149,596,Ribeirão Shopping
229,2019-01-03,11,Terno Xadrez,2,709,1418,Ribeirão Shopping
229,2019-01-03,11,Sapato Estampa,4,358,1432,Ribeirão Shopping
229,2019-01-03,11,Bermuda Liso,1,157,157,Ribeirão Shopping
312,2019-01-03,11,Casaco Estampa,3,256,768,Ribeirão Shopping
312,2019-01-03,11,Pulseira Xadrez,1,87,87,Ribeirão Shopping
312,2019-01-03,11,Casaco Estampa,3,256,768,Ribeirão Shopping
316,2019-01-03,11,Camiseta Xadrez,1,200,200,Ribeirão Shopping
323,2019-01-03,11,Short,4,90,360,Ribeirão Shopping
357,2019-01-03,11,Camisa Gola V Liso,2,118,236,Ribeirão Shopping
357,2019-01-03,11,Cueca,4,50,200,Ribeirão Shopping
363,2019-01-03,11,Polo Linho,4,176,704,Ribeirão Shopping
363,2019-01-03,11,Relógio Estampa,5,219,1095,Ribeirão Shopping
363,2019-01-03,11,Chinelo Listrado,2,73,146,Ribeirão Shopping
363,2019-01-03,11,Polo Linho,5,176,880,Ribeirão Shopping
363,2019-01-03,11,Sapato Linho,1,391,391,Ribeirão Shopping
363,2019-01-03,11,Bermuda Listrado,1,163,163,Ribeirão Shopping
363,2019-01-03,11,Camiseta Linho,1,223,223,Ribeirão Shopping
364,2019-01-03,11,Bermuda Xadrez,3,155,465,Ribeirão Shopping
364,2019-01-03,11,Gorro Xadrez,1,85,85,Ribeirão Shopping
382,2019-01-03,11,Camisa,2,100,200,Ribeirão Shopping
382,2019-01-03,11,Terno Estampa,1,706,706,Ribeirão Shopping
422,2019-01-04,11,Chinelo,1,60,60,Ribeirão Shopping
425,2019-01-04,11,Casaco Liso,2,255,510,Ribeirão Shopping
454,2019-01-04,11,Terno Liso,1,720,720,Ribeirão Shopping
467,2019-01-04,11,Cueca Linho,2,93,186,Ribeirão Shopping
473,2019-01-04,11,Cueca,2,50,100,Ribeirão Shopping
473,2019-01-04,11,Calça Listrado,1,181,181,Ribeirão Shopping
