Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
46,2019-01-02,7,Camisa,1,100,100,Rio Mar Recife
46,2019-01-02,7,Calça Liso,2,190,380,Rio Mar Recife
46,2019-01-02,7,Cinto,1,200,200,Rio Mar Recife
87,2019-01-02,7,Camisa Estampa,1,113,113,Rio Mar Recife
109,2019-01-02,7,Camisa Gola V Listrado,3,116,348,Rio Mar Recife
113,2019-01-02,7,Sapato,2,350,700,Rio Mar Recife
296,2019-01-03,7,Camisa Xadrez,1,105,105,Rio Mar Recife
310,2019-01-03,7,Terno Linho,2,750,1500,Rio Mar Recife
313,2019-01-03,7,Bermuda Xadrez,2,155,310,Rio Mar Recife
318,2019-01-03,7,Camiseta Liso,1,187,187,Rio Mar Recife
360,2019-01-03,7,Short Xadrez,2,100,200,Rio Mar Recife
367,2019-01-03,7,Calça Estampa,1,177,177,Rio Mar Recife
367,2019-01-03,7,Camiseta Xadrez,3,200,600,Rio Mar Recife
395,2019-01-04,7,Mochila Estampa,1,277,277,Rio Mar Recife
395,2019-01-04,7,Pulseira Linho,2,114,228,Rio Mar Recife
468,2019-01-04,7,Terno,1,700,700,Rio Mar Recife
468,2019-01-04,7,Terno Xadrez,4,709,2836,Rio Mar Recife
468,2019-01-04,7,Camisa Gola V Listrado,5,116,580,Rio Mar Recife
468,2019-01-04,7,Sunga Listrado,1,114,114,Rio Mar Recife
487,2019-01-04,7,Sapato Liso,1,368,368,Rio Mar Recife
504,2019-01-04,7,Pulseira Listrado,2,79,158,Rio Mar Recife
616,2019-01-05,7,Cueca Linho,1,93,93,Rio Mar Recife
676,2019-01-05,7,Relógio Listrado,2,218,436,Rio Mar Recife
676,2019-01-05,7,Sapato Liso,3,368,1104,Rio Mar Recife
702,2019-01-05,7,Mochila Xadrez,1,283,283,Rio Mar Recife
702,2019-01-05,7,Sunga Xadrez,2,116,232,Rio Mar Recife
709,2019-01-05,7,Short Xadrez,1,100,100,Rio Mar Recife
717,2019-01-05,7,Relógio Linho,1,240,240,Rio Mar Recife
725,2019-01-05,7,Pulseira Liso,3,87,261,Rio Mar Recife
725,2019-01-05,7,Calça Linho,1,211,211,Rio Mar Recife
725,2019-01-05,7,Sapato Estampa,3,358,1074,Rio Mar Recife
737,2019-01-05,7,Camisa Xadrez,4,105,420,Rio Mar Recife
767,2019-01-06,7,Sunga Liso,2,114,228,Rio Mar Recife
767,2019-01-06,7,Polo Linho,3,176,528,Rio Mar Recife
767,2019-01-06,7,Camiseta Liso,1,187,187,Rio Mar Recife
907,2019-01-06,7,Camiseta Liso,1,187,187,Rio Mar Recife
907,2019-01-06,7,Sapato Linho,3,391,1173,Rio Mar Recife
907,2019-01-06,7,Sapato Estampa,2,358,716,Rio Mar Recife
961,2019-01-07,7,Short,1,90,90,Rio Mar Recife
961,2019-01-07,7,Calça Xadrez,4,185,740,Rio Mar Recife
971,2019-01-07,7,Calça Xadrez,2,185,370,Rio Mar Recife
971,2019-01-07,7,Sunga Estampa,2,120,240,Rio Mar Recife
971,2019-01-07,7,Tênis Linho,1,294,294,Rio Mar Recife
1022,2019-01-07,7,Cueca Xadrez,2,60,120,Rio Mar Recife
1022,2019-01-07,7,Short,1,90,90,Rio Mar Recife
1031,2019-01-07,7,Camisa Gola V Liso,3,118,354,Rio Mar Recife
1031,2019-01-07,7,Mochila Linho,1,311,311,Rio Mar Recife
1047,2019-01-07,7,Tênis Listrado,1,262,262,Rio Mar Recife
1049,2019-01-07,7,Cueca Xadrez,2,60,120,Rio Mar Recife
1062,2019-01-07,7,Sunga Liso,1,114,114,Rio Mar Recife
1114,2019-01-07,7,Relógio,2,200,400,Rio Mar Recife
1114,2019-01-07,7,Camisa Gola V Listrado,1,116,116,Rio Mar Recife
1114,2019-01-07,7,Casaco Linho,5,299,1495,Rio Mar Recife
1114,2019-01-07,7,Polo Listrado,2,149,298,Rio Mar Recife
1141,2019-01-08,7,Chinelo Listrado,2,73,146,Rio Mar Recife
1141,2019-01-08,7,Casaco Listrado,2,269,538,Rio Mar Recife
1153,2019-01-08,7,Sapato,1,350,350,Rio Mar Recife
1185,2019-01-08,7,Cueca Listrado,2,67,134,Rio Mar Recife
1185,2019-01-08,7,Bermuda Xadrez,1,155,155,Rio Mar Recife
1213,2019-01-08,7,Bermuda Estampa,2,169,338,Rio Mar Recife
1219,2019-01-08,7,Camisa Listrado,1,108,108,Rio Mar Recife
1219,2019-01-08,7,Sapato Estampa,1,358,358,Rio Mar Recife
1235,2019-01-08,7,Casaco,1,250,250,Rio Mar Recife
1259,2019-01-08,7,Casaco,2,250,500,Rio Mar Recife
1259,2019-01-08,7,Gorro Listrado,2,97,194,Rio Mar Recife
1260,2019-01-08,7,Camisa Gola V,1,100,100,Rio Mar Recife
1260,2019-01-08,7,Relógio Listrado,4,218,872,Rio Mar Recife
1266,2019-01-08,7,Mochila,1,270,270,Rio Mar Recife
1266,2019-01-08,7,Camisa Linho,1,141,141,Rio Mar Recife
1266,2019-01-08,7,Short Liso,5,108,540,Rio Mar Recife
1314,2019-01-08,7,Short Estampa,5,96,480,Rio Mar Recife
1356,2019-01-09,7,Relógio Estampa,1,219,219,Rio Mar Recife
1356,2019-01-09,7,Pulseira Linho,1,114,114,Rio Mar Recife
1358,2019-01-09,7,Camisa Gola V Xadrez,1,107,107,Rio Mar Recife
1411,2019-01-09,7,Cueca Xadrez,5,60,300,Rio Mar Recife
1440,2019-01-09,7,Mochila Estampa,1,277,277,Rio Mar Recife
1440,2019-01-09,7,Camisa,1,100,100,Rio Mar Recife
1440,2019-01-09,7,Camisa Gola V Linho,5,145,725,Rio Mar Recife
1440,2019-01-09,7,Pulseira Estampa,3,87,261,Rio Mar Recife
1449,2019-01-09,7,Terno Listrado,1,709,709,Rio Mar Recife
1449,2019-01-09,7,Chinelo Liso,3,71,213,Rio Mar Recife
1449,2019-01-09,7,Tênis Linho,4,294,1176,Rio Mar Recife
1454,2019-01-09,7,Cueca Estampa,2,66,132,Rio Mar Recife
1463,2019-01-09,7,Cueca Estampa,2,66,132,Rio Mar Recife
1514,2019-01-10,7,Sapato Xadrez,2,368,736,Rio Mar Recife
1514,2019-01-10,7,Sunga Xadrez,1,116,116,Rio Mar Recife
1555,2019-01-10,7,Short Xadrez,1,100,100,Rio Mar Recife
1555,2019-01-10,7,Sapato Liso,3,368,1104,Rio Mar Recife
1589,2019-01-10,7,Tênis Linho,1,294,294,Rio Mar Recife
1589,2019-01-10,7,Polo,1,130,130,Rio Mar Recife
1609,2019-01-10,7,Camisa,1,100,100,Rio Mar Recife
1609,2019-01-10,7,Mochila,3,270,810,Rio Mar Recife
1612,2019-01-10,7,Short Linho,1,133,133,Rio Mar Recife
1612,2019-01-10,7,Camisa Estampa,2,113,226,Rio Mar Recife
1616,2019-01-10,7,Chinelo Liso,1,71,71,Rio Mar Recife
1616,2019-01-10,7,Cueca,4,50,200,Rio Mar Recife
1627,2019-01-10,7,Camisa Listrado,4,108,432,Rio Mar Recife
1627,2019-01-10,7,Tênis,1,250,250,Rio Mar Recife
1644,2019-01-10,7,Mochila,3,270,810,Rio Mar Recife
1661,2019-01-10,7,Sapato,2,350,700,Rio Mar Recife
1671,2019-01-10,7,Cinto Liso,2,209,418,Rio Mar Recife
1671,2019-01-10,7,Chinelo,2,60,120,Rio Mar Recife
1671,2019-01-10,7,Meia Xadrez,1,41,41,Rio Mar Recife
1697,2019-01-11,7,Cueca Listrado,2,67,134,Rio Mar Recife
1697,2019-01-11,7,Cueca,3,50,150,Rio Mar Recife
1697,2019-01-11,7,Camiseta,1,180,180,Rio Mar Recife
1727,2019-01-11,7,Cueca Liso,5,69,345,Rio Mar Recife
1750,2019-01-11,7,Bermuda Xadrez,2,155,310,Rio Mar Recife
1750,2019-01-11,7,Terno Estampa,1,706,706,Rio Mar Recife
1750,2019-01-11,7,Terno,3,700,2100,Rio Mar Recife
1834,2019-01-11,7,Sapato,1,350,350,Rio Mar Recife
1865,2019-01-11,7,Gorro Linho,1,124,124,Rio Mar Recife
1865,2019-01-11,7,Sapato,1,350,350,Rio Mar Recife
1892,2019-01-12,7,Polo Xadrez,1,142,142,Rio Mar Recife
1917,2019-01-12,7,Bermuda Linho,5,195,975,Rio Mar Recife
1921,2019-01-12,7,Camisa Gola V Xadrez,1,107,107,Rio Mar Recife
1921,2019-01-12,7,Mochila Linho,2,311,622,Rio Mar Recife
1958,2019-01-12,7,Tênis Liso,2,266,532,Rio Mar Recife
1992,2019-01-12,7,Calça,5,170,850,Rio Mar Recife
1992,2019-01-12,7,Sunga Liso,5,114,570,Rio Mar Recife
1992,2019-01-12,7,Bermuda Linho,1,195,195,Rio Mar Recife
1998,2019-01-12,7,Tênis Liso,2,266,532,Rio Mar Recife
2088,2019-01-12,7,Camisa Gola V Liso,2,118,236,Rio Mar Recife
2088,2019-01-12,7,Camiseta Xadrez,4,200,800,Rio Mar Recife
2158,2019-01-13,7,Camiseta Linho,5,223,1115,Rio Mar Recife
2188,2019-01-13,7,Cueca Liso,3,69,207,Rio Mar Recife
2188,2019-01-13,7,Meia Estampa,2,50,100,Rio Mar Recife
2192,2019-01-13,7,Short,1,90,90,Rio Mar Recife
2192,2019-01-13,7,Cinto Linho,1,248,248,Rio Mar Recife
2215,2019-01-13,7,Mochila,2,270,540,Rio Mar Recife
2215,2019-01-13,7,Cinto Estampa,2,209,418,Rio Mar Recife
2215,2019-01-13,7,Short Linho,1,133,133,Rio Mar Recife
2264,2019-01-13,7,Short Xadrez,3,100,300,Rio Mar Recife
2264,2019-01-13,7,Chinelo Linho,5,105,525,Rio Mar Recife
2274,2019-01-13,7,Camisa Gola V,2,100,200,Rio Mar Recife
2274,2019-01-13,7,Camiseta Liso,3,187,561,Rio Mar Recife
2274,2019-01-13,7,Pulseira Liso,3,87,261,Rio Mar Recife
2292,2019-01-14,7,Camisa Estampa,1,113,113,Rio Mar Recife
2327,2019-01-14,7,Calça Xadrez,1,185,185,Rio Mar Recife
2327,2019-01-14,7,Camisa Gola V Listrado,1,116,116,Rio Mar Recife
2337,2019-01-14,7,Chinelo Estampa,1,74,74,Rio Mar Recife
2337,2019-01-14,7,Mochila Linho,1,311,311,Rio Mar Recife
2359,2019-01-14,7,Short Linho,1,133,133,Rio Mar Recife
2438,2019-01-14,7,Calça Liso,1,190,190,Rio Mar Recife
2479,2019-01-14,7,Tênis Linho,3,294,882,Rio Mar Recife
2479,2019-01-14,7,Short Liso,2,108,216,Rio Mar Recife
2557,2019-01-15,7,Camisa Gola V Liso,4,118,472,Rio Mar Recife
2557,2019-01-15,7,Short,2,90,180,Rio Mar Recife
2584,2019-01-15,7,Meia Estampa,1,50,50,Rio Mar Recife
2631,2019-01-15,7,Cinto Liso,2,209,418,Rio Mar Recife
2710,2019-01-16,7,Cueca,1,50,50,Rio Mar Recife
2710,2019-01-16,7,Tênis Liso,1,266,266,Rio Mar Recife
2710,2019-01-16,7,Gorro Xadrez,1,85,85,Rio Mar Recife
2754,2019-01-16,7,Meia Estampa,5,50,250,Rio Mar Recife
2754,2019-01-16,7,Calça Linho,1,211,211,Rio Mar Recife
2778,2019-01-16,7,Mochila Listrado,1,275,275,Rio Mar Recife
2778,2019-01-16,7,Mochila,1,270,270,Rio Mar Recife
2846,2019-01-16,7,Polo Listrado,5,149,745,Rio Mar Recife
2846,2019-01-16,7,Calça Liso,3,190,570,Rio Mar Recife
2846,2019-01-16,7,Polo Estampa,1,138,138,Rio Mar Recife
2846,2019-01-16,7,Gorro Estampa,5,93,465,Rio Mar Recife
2879,2019-01-16,7,Polo,5,130,650,Rio Mar Recife
2879,2019-01-16,7,Relógio Estampa,1,219,219,Rio Mar Recife
2925,2019-01-17,7,Polo,1,130,130,Rio Mar Recife
2925,2019-01-17,7,Chinelo,1,60,60,Rio Mar Recife
2964,2019-01-17,7,Polo Liso,1,137,137,Rio Mar Recife
2964,2019-01-17,7,Short Xadrez,3,100,300,Rio Mar Recife
2976,2019-01-17,7,Meia Estampa,1,50,50,Rio Mar Recife
2976,2019-01-17,7,Casaco Estampa,1,256,256,Rio Mar Recife
3029,2019-01-17,7,Sapato Liso,3,368,1104,Rio Mar Recife
3029,2019-01-17,7,Meia Liso,2,38,76,Rio Mar Recife
3029,2019-01-17,7,Cueca Xadrez,2,60,120,Rio Mar Recife
3029,2019-01-17,7,Mochila,2,270,540,Rio Mar Recife
3093,2019-01-18,7,Tênis,2,250,500,Rio Mar Recife
3093,2019-01-18,7,Camiseta Xadrez,3,200,600,Rio Mar Recife
3120,2019-01-18,7,Gorro Estampa,5,93,465,Rio Mar Recife
3120,2019-01-18,7,Sunga Estampa,2,120,240,Rio Mar Recife
3120,2019-01-18,7,Pulseira Liso,1,87,87,Rio Mar Recife
3123,2019-01-18,7,Relógio,3,200,600,Rio Mar Recife
3123,2019-01-18,7,Mochila Liso,2,276,552,Rio Mar Recife
3123,2019-01-18,7,Gorro Liso,3,92,276,Rio Mar Recife
3123,2019-01-18,7,Polo Estampa,1,138,138,Rio Mar Recife
3223,2019-01-18,7,Short Listrado,2,102,204,Rio Mar Recife
3276,2019-01-19,7,Cinto Linho,4,248,992,Rio Mar Recife
3305,2019-01-19,7,Mochila Listrado,1,275,275,Rio Mar Recife
3305,2019-01-19,7,Short Liso,1,108,108,Rio Mar Recife
3330,2019-01-19,7,Mochila Xadrez,1,283,283,Rio Mar Recife
3392,2019-01-19,7,Cinto Estampa,1,209,209,Rio Mar Recife
3392,2019-01-19,7,Camiseta Listrado,1,197,197,Rio Mar Recife
3392,2019-01-19,7,Short Xadrez,3,100,300,Rio Mar Recife
3437,2019-01-19,7,Terno Linho,2,750,1500,Rio Mar Recife
3457,2019-01-19,7,Chinelo,2,60,120,Rio Mar Recife
3537,2019-01-20,7,Cueca Linho,4,93,372,Rio Mar Recife
3537,2019-01-20,7,Camiseta Liso,2,187,374,Rio Mar Recife
3537,2019-01-20,7,Cueca Listrado,2,67,134,Rio Mar Recife
3537,2019-01-20,7,Relógio Liso,2,216,432,Rio Mar Recife
3537,2019-01-20,7,Camisa Gola V Estampa,1,118,118,Rio Mar Recife
3557,2019-01-20,7,Pulseira,4,70,280,Rio Mar Recife
3642,2019-01-20,7,Cinto,3,200,600,Rio Mar Recife
3642,2019-01-20,7,Chinelo Listrado,2,73,146,Rio Mar Recife
3642,2019-01-20,7,Relógio Estampa,5,219,1095,Rio Mar Recife
3647,2019-01-21,7,Calça Liso,2,190,380,Rio Mar Recife
3647,2019-01-21,7,Cueca Listrado,2,67,134,Rio Mar Recife
3671,2019-01-21,7,Cinto Estampa,5,209,1045,Rio Mar Recife
3671,2019-01-21,7,Short Liso,1,108,108,Rio Mar Recife
3688,2019-01-21,7,Terno Linho,1,750,750,Rio Mar Recife
3696,2019-01-21,7,Tênis Linho,1,294,294,Rio Mar Recife
3714,2019-01-21,7,Camisa Gola V Listrado,1,116,116,Rio Mar Recife
3714,2019-01-21,7,Cueca Liso,2,69,138,Rio Mar Recife
3714,2019-01-21,7,Cinto Listrado,1,214,214,Rio Mar Recife
3743,2019-01-21,7,Sapato Xadrez,2,368,736,Rio Mar Recife
3743,2019-01-21,7,Relógio Xadrez,1,214,214,Rio Mar Recife
3756,2019-01-21,7,Sunga Xadrez,3,116,348,Rio Mar Recife
3756,2019-01-21,7,Mochila Liso,1,276,276,Rio Mar Recife
3766,2019-01-21,7,Pulseira,1,70,70,Rio Mar Recife
3835,2019-01-21,7,Calça Linho,1,211,211,Rio Mar Recife
3905,2019-01-22,7,Tênis Linho,1,294,294,Rio Mar Recife
3918,2019-01-22,7,Mochila Liso,2,276,552,Rio Mar Recife
3918,2019-01-22,7,Bermuda Liso,2,157,314,Rio Mar Recife
3954,2019-01-22,7,Meia Estampa,2,50,100,Rio Mar Recife
3954,2019-01-22,7,Cueca Linho,2,93,186,Rio Mar Recife
4027,2019-01-22,7,Tênis Linho,1,294,294,Rio Mar Recife
4027,2019-01-22,7,Pulseira Listrado,3,79,237,Rio Mar Recife
4030,2019-01-22,7,Polo,2,130,260,Rio Mar Recife
4030,2019-01-22,7,Pulseira Xadrez,2,87,174,Rio Mar Recife
4152,2019-01-23,7,Cueca Xadrez,3,60,180,Rio Mar Recife
4167,2019-01-23,7,Sunga Estampa,5,120,600,Rio Mar Recife
4167,2019-01-23,7,Sunga,1,100,100,Rio Mar Recife
4169,2019-01-23,7,Relógio Xadrez,5,214,1070,Rio Mar Recife
4169,2019-01-23,7,Polo Liso,1,137,137,Rio Mar Recife
4169,2019-01-23,7,Casaco Linho,4,299,1196,Rio Mar Recife
