Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
3,2019-01-02,9,Cinto Linho,1,248,248,Rio Mar Shopping Fortaleza
18,2019-01-02,9,Camisa Estampa,1,113,113,Rio Mar Shopping Fortaleza
27,2019-01-02,9,Sunga Linho,1,149,149,Rio Mar Shopping Fortaleza
27,2019-01-02,9,Terno Listrado,2,709,1418,Rio Mar Shopping Fortaleza
36,2019-01-02,9,Meia Listrado,1,37,37,Rio Mar Shopping Fortaleza
83,2019-01-02,9,Sunga Liso,3,114,342,Rio Mar Shopping Fortaleza
97,2019-01-02,9,Terno Xadrez,1,709,709,Rio Mar Shopping Fortaleza
97,2019-01-02,9,Camiseta Xadrez,1,200,200,Rio Mar Shopping Fortaleza
115,2019-01-02,9,Meia Listrado,2,37,74,Rio Mar Shopping Fortaleza
149,2019-01-02,9,Gorro Estampa,1,93,93,Rio Mar Shopping Fortaleza
149,2019-01-02,9,Camisa Gola V,3,100,300,Rio Mar Shopping Fortaleza
150,2019-01-02,9,Chinelo Estampa,5,74,370,Rio Mar Shopping Fortaleza
179,2019-01-02,9,Mochila Listrado,3,275,825,Rio Mar Shopping Fortaleza
181,2019-01-02,9,Cueca Linho,2,93,186,Rio Mar Shopping Fortaleza
181,2019-01-02,9,Mochila,3,270,810,Rio Mar Shopping Fortaleza
214,2019-01-03,9,Terno Linho,2,750,1500,Rio Mar Shopping Fortaleza
214,2019-01-03,9,Camisa,4,100,400,Rio Mar Shopping Fortaleza
226,2019-01-03,9,Relógio Liso,3,216,648,Rio Mar Shopping Fortaleza
226,2019-01-03,9,Sunga,3,100,300,Rio Mar Shopping Fortaleza
259,2019-01-03,9,Calça Linho,3,211,633,Rio Mar Shopping Fortaleza
259,2019-01-03,9,Short Liso,2,108,216,Rio Mar Shopping Fortaleza
259,2019-01-03,9,Tênis Listrado,3,262,786,Rio Mar Shopping Fortaleza
259,2019-01-03,9,Gorro,1,80,80,Rio Mar Shopping Fortaleza
259,2019-01-03,9,Meia Estampa,1,50,50,Rio Mar Shopping Fortaleza
