Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
81,2019-01-02,8,Cueca Xadrez,1,60,60,Salvador Shopping
126,2019-01-02,8,Camisa Estampa,1,113,113,Salvador Shopping
138,2019-01-02,8,Pulseira Linho,5,114,570,Salvador Shopping
177,2019-01-02,8,Camisa Liso,2,105,210,Salvador Shopping
194,2019-01-02,8,Camisa Gola V Linho,4,145,580,Salvador Shopping
194,2019-01-02,8,Polo,1,130,130,Salvador Shopping
194,2019-01-02,8,Terno Linho,1,750,750,Salvador Shopping
345,2019-01-03,8,Meia Listrado,1,37,37,Salvador Shopping
345,2019-01-03,8,Pulseira,5,70,350,Salvador Shopping
428,2019-01-04,8,Polo,2,130,260,Salvador Shopping
428,2019-01-04,8,Sapato Xadrez,2,368,736,Salvador Shopping
443,2019-01-04,8,Cueca,4,50,200,Salvador Shopping
443,2019-01-04,8,Terno Linho,3,750,2250,Salvador Shopping
480,2019-01-04,8,Camisa Liso,3,105,315,Salvador Shopping
480,2019-01-04,8,Meia Xadrez,2,41,82,Salvador Shopping
492,2019-01-04,8,Camiseta Linho,1,223,223,Salvador Shopping
538,2019-01-04,8,Cinto Xadrez,3,215,645,Salvador Shopping
538,2019-01-04,8,Chinelo,1,60,60,Salvador Shopping
538,2019-01-04,8,Polo Liso,3,137,411,Salvador Shopping
588,2019-01-05,8,Polo Estampa,2,138,276,Salvador Shopping
588,2019-01-05,8,Camisa,5,100,500,Salvador Shopping
631,2019-01-05,8,Bermuda Xadrez,4,155,620,Salvador Shopping
631,2019-01-05,8,Cinto Xadrez,1,215,215,Salvador Shopping
631,2019-01-05,8,Relógio Listrado,5,218,1090,Salvador Shopping
661,2019-01-05,8,Cinto Liso,1,209,209,Salvador Shopping
661,2019-01-05,8,Gorro Estampa,2,93,186,Salvador Shopping
698,2019-01-05,8,Cinto Estampa,3,209,627,Salvador Shopping
698,2019-01-05,8,Short Xadrez,3,100,300,Salvador Shopping
711,2019-01-05,8,Relógio,3,200,600,Salvador Shopping
711,2019-01-05,8,Bermuda Liso,3,157,471,Salvador Shopping
711,2019-01-05,8,Pulseira,1,70,70,Salvador Shopping
711,2019-01-05,8,Gorro,2,80,160,Salvador Shopping
740,2019-01-05,8,Short Estampa,1,96,96,Salvador Shopping
740,2019-01-05,8,Cueca Liso,1,69,69,Salvador Shopping
742,2019-01-05,8,Chinelo Listrado,3,73,219,Salvador Shopping
798,2019-01-06,8,Cueca Estampa,1,66,66,Salvador Shopping
798,2019-01-06,8,Camiseta Estampa,1,196,196,Salvador Shopping
798,2019-01-06,8,Cinto Listrado,2,214,428,Salvador Shopping
851,2019-01-06,8,Meia Estampa,2,50,100,Salvador Shopping
851,2019-01-06,8,Short Listrado,2,102,204,Salvador Shopping
851,2019-01-06,8,Cinto Liso,2,209,418,Salvador Shopping
870,2019-01-06,8,Casaco Liso,1,255,255,Salvador Shopping
870,2019-01-06,8,Camisa Gola V Linho,1,145,145,Salvador Shopping
871,2019-01-06,8,Chinelo Xadrez,2,66,132,Salvador Shopping
871,2019-01-06,8,Cueca Listrado,1,67,67,Salvador Shopping
875,2019-01-06,8,Bermuda Xadrez,1,155,155,Salvador Shopping
877,2019-01-06,8,Sunga Liso,1,114,114,Salvador Shopping
879,2019-01-06,8,Terno Liso,3,720,2160,Salvador Shopping
880,2019-01-06,8,Short,3,90,270,Salvador Shopping
880,2019-01-06,8,Bermuda Xadrez,1,155,155,Salvador Shopping
880,2019-01-06,8,Bermuda,3,150,450,Salvador Shopping
880,2019-01-06,8,Relógio Listrado,5,218,1090,Salvador Shopping
906,2019-01-06,8,Meia Listrado,4,37,148,Salvador Shopping
921,2019-01-06,8,Relógio Xadrez,1,214,214,Salvador Shopping
921,2019-01-06,8,Bermuda,1,150,150,Salvador Shopping
931,2019-01-06,8,Camiseta Xadrez,1,200,200,Salvador Shopping
931,2019-01-06,8,Mochila,4,270,1080,Salvador Shopping
935,2019-01-06,8,Short Liso,1,108,108,Salvador Shopping
935,2019-01-06,8,Meia Listrado,1,37,37,Salvador Shopping
935,2019-01-06,8,Relógio Liso,5,216,1080,Salvador Shopping
946,2019-01-07,8,Cinto Estampa,2,209,418,Salvador Shopping
946,2019-01-07,8,Cinto Linho,1,248,248,Salvador Shopping
950,2019-01-07,8,Tênis Linho,2,294,588,Salvador Shopping
950,2019-01-07,8,Camiseta Estampa,1,196,196,Salvador Shopping
950,2019-01-07,8,Terno Xadrez,1,709,709,Salvador Shopping
950,2019-01-07,8,Relógio Liso,5,216,1080,Salvador Shopping
960,2019-01-07,8,Gorro Xadrez,3,85,255,Salvador Shopping
972,2019-01-07,8,Camisa,5,100,500,Salvador Shopping
1015,2019-01-07,8,Chinelo,1,60,60,Salvador Shopping
1015,2019-01-07,8,Sunga Estampa,1,120,120,Salvador Shopping
1040,2019-01-07,8,Pulseira,1,70,70,Salvador Shopping
1066,2019-01-07,8,Casaco Liso,3,255,765,Salvador Shopping
1147,2019-01-08,8,Cueca,2,50,100,Salvador Shopping
1147,2019-01-08,8,Cinto Liso,2,209,418,Salvador Shopping
1198,2019-01-08,8,Casaco Listrado,2,269,538,Salvador Shopping
1198,2019-01-08,8,Tênis Estampa,1,256,256,Salvador Shopping
1218,2019-01-08,8,Sunga Xadrez,2,116,232,Salvador Shopping
1319,2019-01-08,8,Calça Estampa,2,177,354,Salvador Shopping
1319,2019-01-08,8,Gorro Estampa,3,93,279,Salvador Shopping
1319,2019-01-08,8,Meia Liso,1,38,38,Salvador Shopping
1402,2019-01-09,8,Short Linho,3,133,399,Salvador Shopping
1405,2019-01-09,8,Cinto Xadrez,1,215,215,Salvador Shopping
1405,2019-01-09,8,Gorro Linho,2,124,248,Salvador Shopping
1409,2019-01-09,8,Gorro Listrado,2,97,194,Salvador Shopping
1409,2019-01-09,8,Meia Xadrez,4,41,164,Salvador Shopping
1417,2019-01-09,8,Camisa Gola V Estampa,1,118,118,Salvador Shopping
1418,2019-01-09,8,Cueca,5,50,250,Salvador Shopping
1418,2019-01-09,8,Relógio Listrado,2,218,436,Salvador Shopping
1418,2019-01-09,8,Sapato Estampa,3,358,1074,Salvador Shopping
1418,2019-01-09,8,Chinelo Listrado,1,73,73,Salvador Shopping
1445,2019-01-09,8,Calça Xadrez,1,185,185,Salvador Shopping
1447,2019-01-09,8,Polo Liso,1,137,137,Salvador Shopping
1461,2019-01-09,8,Calça,3,170,510,Salvador Shopping
1461,2019-01-09,8,Pulseira Listrado,5,79,395,Salvador Shopping
1461,2019-01-09,8,Cueca,2,50,100,Salvador Shopping
1472,2019-01-09,8,Polo,5,130,650,Salvador Shopping
1472,2019-01-09,8,Terno Liso,1,720,720,Salvador Shopping
1474,2019-01-09,8,Camisa Gola V Xadrez,1,107,107,Salvador Shopping
1508,2019-01-10,8,Terno Listrado,2,709,1418,Salvador Shopping
1508,2019-01-10,8,Terno Listrado,1,709,709,Salvador Shopping
1531,2019-01-10,8,Sunga Liso,3,114,342,Salvador Shopping
1531,2019-01-10,8,Casaco Estampa,2,256,512,Salvador Shopping
1601,2019-01-10,8,Camisa,1,100,100,Salvador Shopping
1618,2019-01-10,8,Calça Xadrez,2,185,370,Salvador Shopping
1618,2019-01-10,8,Sunga Liso,3,114,342,Salvador Shopping
1618,2019-01-10,8,Pulseira Estampa,1,87,87,Salvador Shopping
1622,2019-01-10,8,Short Liso,4,108,432,Salvador Shopping
1622,2019-01-10,8,Tênis Linho,1,294,294,Salvador Shopping
1622,2019-01-10,8,Chinelo Liso,2,71,142,Salvador Shopping
1622,2019-01-10,8,Casaco Liso,3,255,765,Salvador Shopping
1622,2019-01-10,8,Meia Linho,1,78,78,Salvador Shopping
1654,2019-01-10,8,Short Liso,2,108,216,Salvador Shopping
1698,2019-01-11,8,Casaco,5,250,1250,Salvador Shopping
1698,2019-01-11,8,Cueca,3,50,150,Salvador Shopping
1704,2019-01-11,8,Cueca Xadrez,2,60,120,Salvador Shopping
1718,2019-01-11,8,Chinelo Linho,2,105,210,Salvador Shopping
1757,2019-01-11,8,Gorro Listrado,1,97,97,Salvador Shopping
1757,2019-01-11,8,Tênis Xadrez,1,259,259,Salvador Shopping
1829,2019-01-11,8,Tênis,1,250,250,Salvador Shopping
1829,2019-01-11,8,Camisa Liso,2,105,210,Salvador Shopping
1864,2019-01-11,8,Pulseira,2,70,140,Salvador Shopping
1922,2019-01-12,8,Casaco,1,250,250,Salvador Shopping
1922,2019-01-12,8,Mochila Linho,1,311,311,Salvador Shopping
1922,2019-01-12,8,Meia,1,30,30,Salvador Shopping
1923,2019-01-12,8,Short Xadrez,2,100,200,Salvador Shopping
1965,2019-01-12,8,Polo,3,130,390,Salvador Shopping
2126,2019-01-13,8,Polo Liso,3,137,411,Salvador Shopping
2126,2019-01-13,8,Terno Estampa,1,706,706,Salvador Shopping
2126,2019-01-13,8,Sunga Linho,2,149,298,Salvador Shopping
2126,2019-01-13,8,Sunga Listrado,2,114,228,Salvador Shopping
2208,2019-01-13,8,Chinelo Estampa,1,74,74,Salvador Shopping
2208,2019-01-13,8,Gorro Liso,5,92,460,Salvador Shopping
2235,2019-01-13,8,Camisa Gola V Estampa,5,118,590,Salvador Shopping
2238,2019-01-13,8,Cinto Liso,2,209,418,Salvador Shopping
2238,2019-01-13,8,Sapato Listrado,1,363,363,Salvador Shopping
2246,2019-01-13,8,Polo Listrado,2,149,298,Salvador Shopping
2246,2019-01-13,8,Meia,2,30,60,Salvador Shopping
2246,2019-01-13,8,Meia Listrado,1,37,37,Salvador Shopping
2246,2019-01-13,8,Pulseira Liso,2,87,174,Salvador Shopping
2253,2019-01-13,8,Relógio,2,200,400,Salvador Shopping
2269,2019-01-13,8,Terno,3,700,2100,Salvador Shopping
2269,2019-01-13,8,Meia Xadrez,1,41,41,Salvador Shopping
2308,2019-01-14,8,Relógio,1,200,200,Salvador Shopping
2308,2019-01-14,8,Sunga Xadrez,1,116,116,Salvador Shopping
2308,2019-01-14,8,Terno Listrado,3,709,2127,Salvador Shopping
2426,2019-01-14,8,Polo Xadrez,3,142,426,Salvador Shopping
2426,2019-01-14,8,Chinelo,1,60,60,Salvador Shopping
2426,2019-01-14,8,Tênis Listrado,5,262,1310,Salvador Shopping
2426,2019-01-14,8,Cueca,2,50,100,Salvador Shopping
2483,2019-01-14,8,Bermuda Liso,2,157,314,Salvador Shopping
2483,2019-01-14,8,Polo Liso,2,137,274,Salvador Shopping
2513,2019-01-15,8,Casaco,4,250,1000,Salvador Shopping
2513,2019-01-15,8,Camisa Listrado,4,108,432,Salvador Shopping
2583,2019-01-15,8,Calça Linho,1,211,211,Salvador Shopping
2635,2019-01-15,8,Bermuda,3,150,450,Salvador Shopping
2693,2019-01-15,8,Cueca Linho,1,93,93,Salvador Shopping
2693,2019-01-15,8,Meia,1,30,30,Salvador Shopping
2697,2019-01-16,8,Sunga Xadrez,3,116,348,Salvador Shopping
2740,2019-01-16,8,Gorro Xadrez,1,85,85,Salvador Shopping
2740,2019-01-16,8,Terno Liso,2,720,1440,Salvador Shopping
2772,2019-01-16,8,Tênis Estampa,1,256,256,Salvador Shopping
2772,2019-01-16,8,Mochila,2,270,540,Salvador Shopping
2772,2019-01-16,8,Short Estampa,1,96,96,Salvador Shopping
2772,2019-01-16,8,Short Liso,1,108,108,Salvador Shopping
2777,2019-01-16,8,Camisa Linho,1,141,141,Salvador Shopping
2780,2019-01-16,8,Short,3,90,270,Salvador Shopping
2780,2019-01-16,8,Camisa Gola V Listrado,4,116,464,Salvador Shopping
2783,2019-01-16,8,Mochila Linho,4,311,1244,Salvador Shopping
2792,2019-01-16,8,Terno Xadrez,1,709,709,Salvador Shopping
2855,2019-01-16,8,Pulseira,5,70,350,Salvador Shopping
