Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
5,2019-01-02,25,Calça,1,170,170,Shopping Barra
52,2019-01-02,25,Gorro Listrado,4,97,388,Shopping Barra
100,2019-01-02,25,Camisa Gola V Liso,3,118,354,Shopping Barra
100,2019-01-02,25,Cinto Xadrez,4,215,860,Shopping Barra
132,2019-01-02,25,Terno Linho,2,750,1500,Shopping Barra
132,2019-01-02,25,Mochila Linho,2,311,622,Shopping Barra
140,2019-01-02,25,Meia Listrado,2,37,74,Shopping Barra
140,2019-01-02,25,Sunga Linho,1,149,149,Shopping Barra
197,2019-01-02,25,Camiseta Linho,1,223,223,Shopping Barra
242,2019-01-03,25,Polo Listrado,2,149,298,Shopping Barra
352,2019-01-03,25,Chinelo Xadrez,5,66,330,Shopping Barra
392,2019-01-04,25,Short Xadrez,1,100,100,Shopping Barra
392,2019-01-04,25,Polo Listrado,1,149,149,Shopping Barra
415,2019-01-04,25,Camisa Linho,2,141,282,Shopping Barra
434,2019-01-04,25,Cinto,3,200,600,Shopping Barra
434,2019-01-04,25,Meia Linho,1,78,78,Shopping Barra
434,2019-01-04,25,Polo Liso,2,137,274,Shopping Barra
434,2019-01-04,25,Chinelo Liso,2,71,142,Shopping Barra
441,2019-01-04,25,Camisa Gola V Listrado,3,116,348,Shopping Barra
441,2019-01-04,25,Casaco Liso,4,255,1020,Shopping Barra
484,2019-01-04,25,Mochila Linho,1,311,311,Shopping Barra
484,2019-01-04,25,Relógio,1,200,200,Shopping Barra
484,2019-01-04,25,Camiseta Xadrez,2,200,400,Shopping Barra
486,2019-01-04,25,Tênis Xadrez,1,259,259,Shopping Barra
519,2019-01-04,25,Calça,1,170,170,Shopping Barra
527,2019-01-04,25,Calça Xadrez,2,185,370,Shopping Barra
527,2019-01-04,25,Sunga Xadrez,2,116,232,Shopping Barra
571,2019-01-05,25,Gorro Xadrez,2,85,170,Shopping Barra
571,2019-01-05,25,Cinto Linho,2,248,496,Shopping Barra
571,2019-01-05,25,Gorro Linho,2,124,248,Shopping Barra
574,2019-01-05,25,Polo Xadrez,2,142,284,Shopping Barra
574,2019-01-05,25,Chinelo,5,60,300,Shopping Barra
574,2019-01-05,25,Calça,1,170,170,Shopping Barra
580,2019-01-05,25,Terno Linho,2,750,1500,Shopping Barra
580,2019-01-05,25,Polo Liso,2,137,274,Shopping Barra
580,2019-01-05,25,Calça Estampa,2,177,354,Shopping Barra
609,2019-01-05,25,Pulseira Listrado,5,79,395,Shopping Barra
662,2019-01-05,25,Relógio Xadrez,1,214,214,Shopping Barra
665,2019-01-05,25,Gorro,1,80,80,Shopping Barra
665,2019-01-05,25,Cinto,1,200,200,Shopping Barra
730,2019-01-05,25,Short Linho,3,133,399,Shopping Barra
730,2019-01-05,25,Sapato Listrado,5,363,1815,Shopping Barra
746,2019-01-05,25,Sapato Linho,2,391,782,Shopping Barra
746,2019-01-05,25,Polo Linho,1,176,176,Shopping Barra
836,2019-01-06,25,Gorro,2,80,160,Shopping Barra
852,2019-01-06,25,Sapato Xadrez,1,368,368,Shopping Barra
852,2019-01-06,25,Sapato Xadrez,2,368,736,Shopping Barra
899,2019-01-06,25,Gorro,1,80,80,Shopping Barra
899,2019-01-06,25,Short,1,90,90,Shopping Barra
899,2019-01-06,25,Relógio Estampa,3,219,657,Shopping Barra
938,2019-01-07,25,Camisa Gola V Xadrez,3,107,321,Shopping Barra
938,2019-01-07,25,Mochila Estampa,1,277,277,Shopping Barra
959,2019-01-07,25,Camisa Estampa,1,113,113,Shopping Barra
981,2019-01-07,25,Meia Xadrez,1,41,41,Shopping Barra
981,2019-01-07,25,Camisa Gola V Listrado,4,116,464,Shopping Barra
992,2019-01-07,25,Camisa Listrado,1,108,108,Shopping Barra
992,2019-01-07,25,Calça Listrado,3,181,543,Shopping Barra
992,2019-01-07,25,Cinto,1,200,200,Shopping Barra
1039,2019-01-07,25,Mochila Listrado,1,275,275,Shopping Barra
1048,2019-01-07,25,Pulseira Liso,1,87,87,Shopping Barra
1069,2019-01-07,25,Gorro Linho,2,124,248,Shopping Barra
1069,2019-01-07,25,Meia Linho,2,78,156,Shopping Barra
1069,2019-01-07,25,Relógio Linho,2,240,480,Shopping Barra
1069,2019-01-07,25,Camiseta Liso,3,187,561,Shopping Barra
1116,2019-01-07,25,Tênis Linho,2,294,588,Shopping Barra
1121,2019-01-07,25,Meia,3,30,90,Shopping Barra
1152,2019-01-08,25,Polo Listrado,4,149,596,Shopping Barra
1173,2019-01-08,25,Terno Xadrez,1,709,709,Shopping Barra
1173,2019-01-08,25,Sunga Linho,2,149,298,Shopping Barra
1226,2019-01-08,25,Polo Estampa,3,138,414,Shopping Barra
1276,2019-01-08,25,Cueca Linho,3,93,279,Shopping Barra
1276,2019-01-08,25,Cinto Listrado,1,214,214,Shopping Barra
1276,2019-01-08,25,Cueca Estampa,1,66,66,Shopping Barra
1305,2019-01-08,25,Calça Estampa,1,177,177,Shopping Barra
1306,2019-01-08,25,Camiseta Linho,1,223,223,Shopping Barra
1310,2019-01-08,25,Casaco Linho,1,299,299,Shopping Barra
1335,2019-01-09,25,Relógio Listrado,1,218,218,Shopping Barra
1335,2019-01-09,25,Calça,2,170,340,Shopping Barra
1349,2019-01-09,25,Calça,1,170,170,Shopping Barra
1349,2019-01-09,25,Relógio Linho,1,240,240,Shopping Barra
1373,2019-01-09,25,Gorro Liso,2,92,184,Shopping Barra
1373,2019-01-09,25,Meia Estampa,3,50,150,Shopping Barra
1373,2019-01-09,25,Relógio Listrado,2,218,436,Shopping Barra
1468,2019-01-09,25,Meia,5,30,150,Shopping Barra
1468,2019-01-09,25,Tênis Listrado,5,262,1310,Shopping Barra
1471,2019-01-09,25,Sapato Linho,2,391,782,Shopping Barra
1506,2019-01-10,25,Camiseta Estampa,1,196,196,Shopping Barra
1506,2019-01-10,25,Cueca Estampa,2,66,132,Shopping Barra
1522,2019-01-10,25,Bermuda Linho,3,195,585,Shopping Barra
1522,2019-01-10,25,Pulseira Liso,2,87,174,Shopping Barra
1522,2019-01-10,25,Chinelo Liso,1,71,71,Shopping Barra
1527,2019-01-10,25,Camisa Gola V Listrado,1,116,116,Shopping Barra
1527,2019-01-10,25,Cinto Listrado,5,214,1070,Shopping Barra
1608,2019-01-10,25,Sapato Liso,2,368,736,Shopping Barra
1608,2019-01-10,25,Sunga Listrado,2,114,228,Shopping Barra
1637,2019-01-10,25,Camisa Gola V Estampa,1,118,118,Shopping Barra
1637,2019-01-10,25,Bermuda Listrado,2,163,326,Shopping Barra
1638,2019-01-10,25,Short Xadrez,2,100,200,Shopping Barra
1638,2019-01-10,25,Short Xadrez,4,100,400,Shopping Barra
1638,2019-01-10,25,Meia Linho,1,78,78,Shopping Barra
1642,2019-01-10,25,Cinto Liso,3,209,627,Shopping Barra
1642,2019-01-10,25,Relógio Listrado,2,218,436,Shopping Barra
1664,2019-01-10,25,Mochila,2,270,540,Shopping Barra
1664,2019-01-10,25,Short Linho,1,133,133,Shopping Barra
1673,2019-01-10,25,Calça Xadrez,4,185,740,Shopping Barra
1673,2019-01-10,25,Sapato Liso,1,368,368,Shopping Barra
1686,2019-01-11,25,Camiseta Estampa,2,196,392,Shopping Barra
1694,2019-01-11,25,Bermuda,4,150,600,Shopping Barra
1694,2019-01-11,25,Camisa Gola V Linho,2,145,290,Shopping Barra
1694,2019-01-11,25,Camiseta Listrado,2,197,394,Shopping Barra
1715,2019-01-11,25,Bermuda Listrado,2,163,326,Shopping Barra
1715,2019-01-11,25,Chinelo Liso,4,71,284,Shopping Barra
1753,2019-01-11,25,Short Estampa,1,96,96,Shopping Barra
1755,2019-01-11,25,Casaco Estampa,2,256,512,Shopping Barra
1755,2019-01-11,25,Cinto Linho,1,248,248,Shopping Barra
1755,2019-01-11,25,Cinto Liso,5,209,1045,Shopping Barra
1774,2019-01-11,25,Cueca Linho,1,93,93,Shopping Barra
1774,2019-01-11,25,Sunga Xadrez,2,116,232,Shopping Barra
1777,2019-01-11,25,Camiseta Liso,1,187,187,Shopping Barra
1777,2019-01-11,25,Short Estampa,1,96,96,Shopping Barra
1813,2019-01-11,25,Meia,3,30,90,Shopping Barra
1826,2019-01-11,25,Mochila Linho,1,311,311,Shopping Barra
1826,2019-01-11,25,Tênis Xadrez,3,259,777,Shopping Barra
1838,2019-01-11,25,Camisa Xadrez,1,105,105,Shopping Barra
1838,2019-01-11,25,Sapato Xadrez,2,368,736,Shopping Barra
1926,2019-01-12,25,Cueca Estampa,3,66,198,Shopping Barra
1962,2019-01-12,25,Gorro Estampa,1,93,93,Shopping Barra
