Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
20,2019-01-02,6,Mochila Liso,1,276,276,Shopping Center Interlagos
112,2019-01-02,6,Calça Listrado,2,181,362,Shopping Center Interlagos
112,2019-01-02,6,Camisa Gola V Linho,2,145,290,Shopping Center Interlagos
135,2019-01-02,6,Mochila Xadrez,3,283,849,Shopping Center Interlagos
135,2019-01-02,6,Camisa Estampa,1,113,113,Shopping Center Interlagos
135,2019-01-02,6,Relógio Linho,2,240,480,Shopping Center Interlagos
148,2019-01-02,6,Cinto Xadrez,1,215,215,Shopping Center Interlagos
148,2019-01-02,6,Calça Liso,1,190,190,Shopping Center Interlagos
148,2019-01-02,6,Camiseta,2,180,360,Shopping Center Interlagos
160,2019-01-02,6,Pulseira Estampa,2,87,174,Shopping Center Interlagos
160,2019-01-02,6,Sapato Listrado,1,363,363,Shopping Center Interlagos
164,2019-01-02,6,Polo Liso,2,137,274,Shopping Center Interlagos
189,2019-01-02,6,Camisa Gola V Estampa,3,118,354,Shopping Center Interlagos
189,2019-01-02,6,Bermuda Xadrez,2,155,310,Shopping Center Interlagos
189,2019-01-02,6,Bermuda Linho,4,195,780,Shopping Center Interlagos
315,2019-01-03,6,Sapato Estampa,1,358,358,Shopping Center Interlagos
315,2019-01-03,6,Camiseta Liso,1,187,187,Shopping Center Interlagos
315,2019-01-03,6,Mochila,1,270,270,Shopping Center Interlagos
315,2019-01-03,6,Meia Estampa,1,50,50,Shopping Center Interlagos
335,2019-01-03,6,Tênis,1,250,250,Shopping Center Interlagos
335,2019-01-03,6,Bermuda Estampa,1,169,169,Shopping Center Interlagos
343,2019-01-03,6,Cinto Listrado,2,214,428,Shopping Center Interlagos
400,2019-01-04,6,Tênis Estampa,3,256,768,Shopping Center Interlagos
400,2019-01-04,6,Casaco Liso,1,255,255,Shopping Center Interlagos
420,2019-01-04,6,Relógio Listrado,2,218,436,Shopping Center Interlagos
420,2019-01-04,6,Terno Estampa,2,706,1412,Shopping Center Interlagos
420,2019-01-04,6,Chinelo Liso,5,71,355,Shopping Center Interlagos
420,2019-01-04,6,Camisa Gola V Linho,1,145,145,Shopping Center Interlagos
455,2019-01-04,6,Terno Liso,4,720,2880,Shopping Center Interlagos
471,2019-01-04,6,Cueca Listrado,2,67,134,Shopping Center Interlagos
583,2019-01-05,6,Camisa Linho,2,141,282,Shopping Center Interlagos
607,2019-01-05,6,Meia Linho,5,78,390,Shopping Center Interlagos
