Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
31,2019-01-02,21,Casaco Estampa,3,256,768,Shopping Eldorado
31,2019-01-02,21,Pulseira,3,70,210,Shopping Eldorado
31,2019-01-02,21,Gorro Linho,1,124,124,Shopping Eldorado
31,2019-01-02,21,Cinto Linho,3,248,744,Shopping Eldorado
40,2019-01-02,21,Bermuda Linho,1,195,195,Shopping Eldorado
40,2019-01-02,21,Chinelo Estampa,1,74,74,Shopping Eldorado
43,2019-01-02,21,Sunga Linho,1,149,149,Shopping Eldorado
43,2019-01-02,21,Calça,1,170,170,Shopping Eldorado
58,2019-01-02,21,Cinto Liso,2,209,418,Shopping Eldorado
89,2019-01-02,21,Gorro Liso,1,92,92,Shopping Eldorado
114,2019-01-02,21,Camiseta Linho,2,223,446,Shopping Eldorado
146,2019-01-02,21,Pulseira Estampa,2,87,174,Shopping Eldorado
146,2019-01-02,21,Casaco Xadrez,2,259,518,Shopping Eldorado
146,2019-01-02,21,Cinto,1,200,200,Shopping Eldorado
146,2019-01-02,21,Sapato Xadrez,4,368,1472,Shopping Eldorado
154,2019-01-02,21,Terno Liso,1,720,720,Shopping Eldorado
154,2019-01-02,21,Tênis Liso,1,266,266,Shopping Eldorado
171,2019-01-02,21,Mochila Linho,2,311,622,Shopping Eldorado
202,2019-01-02,21,Tênis Listrado,3,262,786,Shopping Eldorado
202,2019-01-02,21,Camisa Gola V,2,100,200,Shopping Eldorado
202,2019-01-02,21,Cinto Linho,1,248,248,Shopping Eldorado
235,2019-01-03,21,Mochila Xadrez,2,283,566,Shopping Eldorado
294,2019-01-03,21,Casaco Estampa,2,256,512,Shopping Eldorado
294,2019-01-03,21,Gorro Estampa,1,93,93,Shopping Eldorado
322,2019-01-03,21,Mochila,1,270,270,Shopping Eldorado
330,2019-01-03,21,Bermuda Xadrez,3,155,465,Shopping Eldorado
330,2019-01-03,21,Short Linho,1,133,133,Shopping Eldorado
436,2019-01-04,21,Relógio Linho,3,240,720,Shopping Eldorado
436,2019-01-04,21,Camiseta Estampa,2,196,392,Shopping Eldorado
520,2019-01-04,21,Camisa Gola V Listrado,4,116,464,Shopping Eldorado
520,2019-01-04,21,Polo Estampa,2,138,276,Shopping Eldorado
520,2019-01-04,21,Tênis Xadrez,2,259,518,Shopping Eldorado
550,2019-01-04,21,Pulseira Liso,1,87,87,Shopping Eldorado
550,2019-01-04,21,Camisa Linho,2,141,282,Shopping Eldorado
560,2019-01-04,21,Mochila Xadrez,1,283,283,Shopping Eldorado
560,2019-01-04,21,Pulseira Listrado,3,79,237,Shopping Eldorado
570,2019-01-05,21,Chinelo Xadrez,1,66,66,Shopping Eldorado
579,2019-01-05,21,Polo Estampa,2,138,276,Shopping Eldorado
579,2019-01-05,21,Gorro,3,80,240,Shopping Eldorado
587,2019-01-05,21,Camisa Estampa,5,113,565,Shopping Eldorado
587,2019-01-05,21,Relógio,2,200,400,Shopping Eldorado
587,2019-01-05,21,Calça,1,170,170,Shopping Eldorado
590,2019-01-05,21,Casaco Linho,5,299,1495,Shopping Eldorado
590,2019-01-05,21,Sapato Liso,1,368,368,Shopping Eldorado
602,2019-01-05,21,Mochila Estampa,3,277,831,Shopping Eldorado
602,2019-01-05,21,Terno Listrado,1,709,709,Shopping Eldorado
625,2019-01-05,21,Casaco Linho,5,299,1495,Shopping Eldorado
625,2019-01-05,21,Sunga Listrado,2,114,228,Shopping Eldorado
629,2019-01-05,21,Camiseta Xadrez,1,200,200,Shopping Eldorado
629,2019-01-05,21,Tênis,1,250,250,Shopping Eldorado
639,2019-01-05,21,Mochila Estampa,1,277,277,Shopping Eldorado
786,2019-01-06,21,Tênis Linho,1,294,294,Shopping Eldorado
792,2019-01-06,21,Calça,3,170,510,Shopping Eldorado
815,2019-01-06,21,Chinelo Estampa,1,74,74,Shopping Eldorado
819,2019-01-06,21,Bermuda Xadrez,2,155,310,Shopping Eldorado
819,2019-01-06,21,Mochila Xadrez,1,283,283,Shopping Eldorado
866,2019-01-06,21,Cueca Linho,5,93,465,Shopping Eldorado
901,2019-01-06,21,Meia Linho,1,78,78,Shopping Eldorado
909,2019-01-06,21,Cueca Xadrez,1,60,60,Shopping Eldorado
916,2019-01-06,21,Mochila,2,270,540,Shopping Eldorado
934,2019-01-06,21,Calça Listrado,1,181,181,Shopping Eldorado
934,2019-01-06,21,Camiseta Xadrez,2,200,400,Shopping Eldorado
934,2019-01-06,21,Short,1,90,90,Shopping Eldorado
1086,2019-01-07,21,Calça,2,170,340,Shopping Eldorado
1087,2019-01-07,21,Cinto Estampa,3,209,627,Shopping Eldorado
1128,2019-01-08,21,Cinto Estampa,3,209,627,Shopping Eldorado
1128,2019-01-08,21,Camiseta Liso,1,187,187,Shopping Eldorado
1128,2019-01-08,21,Casaco Listrado,1,269,269,Shopping Eldorado
1128,2019-01-08,21,Casaco Estampa,1,256,256,Shopping Eldorado
1168,2019-01-08,21,Sunga,1,100,100,Shopping Eldorado
1224,2019-01-08,21,Camiseta Linho,3,223,669,Shopping Eldorado
1224,2019-01-08,21,Polo,1,130,130,Shopping Eldorado
1264,2019-01-08,21,Cinto Listrado,2,214,428,Shopping Eldorado
1280,2019-01-08,21,Meia Listrado,5,37,185,Shopping Eldorado
1280,2019-01-08,21,Sapato Linho,2,391,782,Shopping Eldorado
1293,2019-01-08,21,Bermuda,3,150,450,Shopping Eldorado
1293,2019-01-08,21,Sunga Listrado,3,114,342,Shopping Eldorado
1338,2019-01-09,21,Meia Linho,2,78,156,Shopping Eldorado
1338,2019-01-09,21,Meia Estampa,1,50,50,Shopping Eldorado
1338,2019-01-09,21,Pulseira Liso,5,87,435,Shopping Eldorado
1338,2019-01-09,21,Mochila Estampa,5,277,1385,Shopping Eldorado
1344,2019-01-09,21,Mochila Listrado,5,275,1375,Shopping Eldorado
1344,2019-01-09,21,Gorro Listrado,1,97,97,Shopping Eldorado
1364,2019-01-09,21,Camisa Gola V Liso,2,118,236,Shopping Eldorado
1364,2019-01-09,21,Sapato Linho,5,391,1955,Shopping Eldorado
1385,2019-01-09,21,Gorro Linho,2,124,248,Shopping Eldorado
1385,2019-01-09,21,Mochila Estampa,1,277,277,Shopping Eldorado
1385,2019-01-09,21,Sapato,1,350,350,Shopping Eldorado
1438,2019-01-09,21,Relógio Xadrez,5,214,1070,Shopping Eldorado
1438,2019-01-09,21,Cueca,1,50,50,Shopping Eldorado
1479,2019-01-09,21,Short Linho,1,133,133,Shopping Eldorado
1479,2019-01-09,21,Sapato Listrado,3,363,1089,Shopping Eldorado
1502,2019-01-10,21,Terno Listrado,1,709,709,Shopping Eldorado
1502,2019-01-10,21,Terno Xadrez,1,709,709,Shopping Eldorado
1502,2019-01-10,21,Sapato,1,350,350,Shopping Eldorado
1518,2019-01-10,21,Mochila,1,270,270,Shopping Eldorado
1518,2019-01-10,21,Relógio Xadrez,1,214,214,Shopping Eldorado
1518,2019-01-10,21,Camisa Estampa,2,113,226,Shopping Eldorado
1521,2019-01-10,21,Meia Estampa,2,50,100,Shopping Eldorado
1549,2019-01-10,21,Pulseira Liso,3,87,261,Shopping Eldorado
1549,2019-01-10,21,Cinto Xadrez,1,215,215,Shopping Eldorado
1567,2019-01-10,21,Pulseira Listrado,2,79,158,Shopping Eldorado
1567,2019-01-10,21,Camisa Gola V Liso,1,118,118,Shopping Eldorado
1582,2019-01-10,21,Polo Listrado,4,149,596,Shopping Eldorado
1585,2019-01-10,21,Camisa Gola V Xadrez,1,107,107,Shopping Eldorado
1585,2019-01-10,21,Meia Liso,1,38,38,Shopping Eldorado
1624,2019-01-10,21,Sapato Estampa,1,358,358,Shopping Eldorado
1624,2019-01-10,21,Sunga Xadrez,1,116,116,Shopping Eldorado
1624,2019-01-10,21,Cinto Linho,4,248,992,Shopping Eldorado
1624,2019-01-10,21,Terno Liso,4,720,2880,Shopping Eldorado
1624,2019-01-10,21,Chinelo,1,60,60,Shopping Eldorado
1624,2019-01-10,21,Relógio Listrado,2,218,436,Shopping Eldorado
1639,2019-01-10,21,Mochila Estampa,1,277,277,Shopping Eldorado
1690,2019-01-11,21,Pulseira Liso,4,87,348,Shopping Eldorado
1690,2019-01-11,21,Short Listrado,3,102,306,Shopping Eldorado
1690,2019-01-11,21,Sapato,1,350,350,Shopping Eldorado
1706,2019-01-11,21,Camiseta Linho,3,223,669,Shopping Eldorado
1706,2019-01-11,21,Calça Liso,4,190,760,Shopping Eldorado
1706,2019-01-11,21,Camiseta Linho,4,223,892,Shopping Eldorado
1706,2019-01-11,21,Bermuda Linho,3,195,585,Shopping Eldorado
1706,2019-01-11,21,Pulseira Linho,2,114,228,Shopping Eldorado
1752,2019-01-11,21,Short Linho,2,133,266,Shopping Eldorado
1759,2019-01-11,21,Meia,2,30,60,Shopping Eldorado
1790,2019-01-11,21,Tênis,1,250,250,Shopping Eldorado
1790,2019-01-11,21,Sunga Liso,4,114,456,Shopping Eldorado
1817,2019-01-11,21,Short Linho,1,133,133,Shopping Eldorado
1817,2019-01-11,21,Bermuda Liso,3,157,471,Shopping Eldorado
1844,2019-01-11,21,Meia Listrado,2,37,74,Shopping Eldorado
1851,2019-01-11,21,Gorro Xadrez,3,85,255,Shopping Eldorado
1898,2019-01-12,21,Sapato Linho,2,391,782,Shopping Eldorado
1898,2019-01-12,21,Pulseira Liso,1,87,87,Shopping Eldorado
2007,2019-01-12,21,Calça Xadrez,2,185,370,Shopping Eldorado
2016,2019-01-12,21,Meia,3,30,90,Shopping Eldorado
2063,2019-01-12,21,Polo,4,130,520,Shopping Eldorado
2063,2019-01-12,21,Polo Xadrez,1,142,142,Shopping Eldorado
2063,2019-01-12,21,Casaco Estampa,1,256,256,Shopping Eldorado
2074,2019-01-12,21,Relógio Linho,1,240,240,Shopping Eldorado
2074,2019-01-12,21,Camisa Gola V Listrado,1,116,116,Shopping Eldorado
2125,2019-01-13,21,Sunga Xadrez,5,116,580,Shopping Eldorado
2125,2019-01-13,21,Mochila Listrado,1,275,275,Shopping Eldorado
2136,2019-01-13,21,Terno Linho,2,750,1500,Shopping Eldorado
2146,2019-01-13,21,Casaco,2,250,500,Shopping Eldorado
2146,2019-01-13,21,Short Linho,1,133,133,Shopping Eldorado
2157,2019-01-13,21,Casaco Xadrez,1,259,259,Shopping Eldorado
2174,2019-01-13,21,Mochila Estampa,5,277,1385,Shopping Eldorado
2174,2019-01-13,21,Chinelo Estampa,4,74,296,Shopping Eldorado
2225,2019-01-13,21,Tênis Estampa,1,256,256,Shopping Eldorado
2290,2019-01-14,21,Cueca,2,50,100,Shopping Eldorado
2290,2019-01-14,21,Chinelo Estampa,2,74,148,Shopping Eldorado
2389,2019-01-14,21,Bermuda Liso,1,157,157,Shopping Eldorado
2423,2019-01-14,21,Cueca Xadrez,2,60,120,Shopping Eldorado
2423,2019-01-14,21,Mochila Xadrez,2,283,566,Shopping Eldorado
2452,2019-01-14,21,Short Estampa,1,96,96,Shopping Eldorado
2452,2019-01-14,21,Relógio Linho,2,240,480,Shopping Eldorado
2460,2019-01-14,21,Bermuda Listrado,2,163,326,Shopping Eldorado
2460,2019-01-14,21,Calça Estampa,4,177,708,Shopping Eldorado
2460,2019-01-14,21,Gorro,4,80,320,Shopping Eldorado
2493,2019-01-15,21,Cueca Linho,5,93,465,Shopping Eldorado
2510,2019-01-15,21,Calça Liso,2,190,380,Shopping Eldorado
2547,2019-01-15,21,Mochila Listrado,2,275,550,Shopping Eldorado
2560,2019-01-15,21,Gorro Listrado,2,97,194,Shopping Eldorado
2598,2019-01-15,21,Sunga Estampa,3,120,360,Shopping Eldorado
2640,2019-01-15,21,Cueca Liso,1,69,69,Shopping Eldorado
2640,2019-01-15,21,Terno Liso,2,720,1440,Shopping Eldorado
2640,2019-01-15,21,Bermuda Linho,2,195,390,Shopping Eldorado
2645,2019-01-15,21,Pulseira,3,70,210,Shopping Eldorado
2692,2019-01-15,21,Cinto Estampa,4,209,836,Shopping Eldorado
2692,2019-01-15,21,Gorro,1,80,80,Shopping Eldorado
2692,2019-01-15,21,Casaco,4,250,1000,Shopping Eldorado
2758,2019-01-16,21,Calça Listrado,1,181,181,Shopping Eldorado
2758,2019-01-16,21,Camisa Gola V Estampa,1,118,118,Shopping Eldorado
2803,2019-01-16,21,Polo Listrado,2,149,298,Shopping Eldorado
2803,2019-01-16,21,Meia Linho,4,78,312,Shopping Eldorado
2828,2019-01-16,21,Camisa Gola V Linho,5,145,725,Shopping Eldorado
2828,2019-01-16,21,Pulseira Liso,1,87,87,Shopping Eldorado
2841,2019-01-16,21,Casaco Linho,1,299,299,Shopping Eldorado
2862,2019-01-16,21,Mochila Linho,2,311,622,Shopping Eldorado
2875,2019-01-16,21,Mochila,4,270,1080,Shopping Eldorado
2875,2019-01-16,21,Meia Estampa,3,50,150,Shopping Eldorado
2875,2019-01-16,21,Tênis Linho,3,294,882,Shopping Eldorado
2884,2019-01-16,21,Cueca,3,50,150,Shopping Eldorado
2884,2019-01-16,21,Meia Linho,4,78,312,Shopping Eldorado
3112,2019-01-18,21,Mochila Estampa,3,277,831,Shopping Eldorado
3166,2019-01-18,21,Cinto,3,200,600,Shopping Eldorado
3166,2019-01-18,21,Bermuda Estampa,1,169,169,Shopping Eldorado
3179,2019-01-18,21,Camiseta Listrado,1,197,197,Shopping Eldorado
3179,2019-01-18,21,Pulseira Linho,2,114,228,Shopping Eldorado
3189,2019-01-18,21,Polo,1,130,130,Shopping Eldorado
3195,2019-01-18,21,Terno,1,700,700,Shopping Eldorado
3195,2019-01-18,21,Relógio Listrado,4,218,872,Shopping Eldorado
3201,2019-01-18,21,Polo Linho,1,176,176,Shopping Eldorado
3201,2019-01-18,21,Cinto Xadrez,2,215,430,Shopping Eldorado
3288,2019-01-19,21,Casaco Xadrez,3,259,777,Shopping Eldorado
3348,2019-01-19,21,Meia Xadrez,1,41,41,Shopping Eldorado
3363,2019-01-19,21,Sunga Linho,4,149,596,Shopping Eldorado
3363,2019-01-19,21,Polo Xadrez,2,142,284,Shopping Eldorado
3403,2019-01-19,21,Chinelo Listrado,2,73,146,Shopping Eldorado
3426,2019-01-19,21,Relógio,2,200,400,Shopping Eldorado
3426,2019-01-19,21,Chinelo Estampa,1,74,74,Shopping Eldorado
3434,2019-01-19,21,Pulseira,2,70,140,Shopping Eldorado
3460,2019-01-19,21,Meia Listrado,3,37,111,Shopping Eldorado
3460,2019-01-19,21,Camisa Listrado,3,108,324,Shopping Eldorado
3470,2019-01-20,21,Cueca Estampa,4,66,264,Shopping Eldorado
3580,2019-01-20,21,Cinto,1,200,200,Shopping Eldorado
3588,2019-01-20,21,Cinto Linho,2,248,496,Shopping Eldorado
3652,2019-01-21,21,Cinto,1,200,200,Shopping Eldorado
3691,2019-01-21,21,Relógio Estampa,1,219,219,Shopping Eldorado
3691,2019-01-21,21,Pulseira Xadrez,2,87,174,Shopping Eldorado
3721,2019-01-21,21,Meia,2,30,60,Shopping Eldorado
3721,2019-01-21,21,Polo Listrado,1,149,149,Shopping Eldorado
3721,2019-01-21,21,Sapato Estampa,1,358,358,Shopping Eldorado
3753,2019-01-21,21,Casaco Linho,1,299,299,Shopping Eldorado
3758,2019-01-21,21,Tênis Liso,1,266,266,Shopping Eldorado
3758,2019-01-21,21,Sapato Linho,1,391,391,Shopping Eldorado
3773,2019-01-21,21,Terno Estampa,1,706,706,Shopping Eldorado
3795,2019-01-21,21,Camiseta,1,180,180,Shopping Eldorado
3795,2019-01-21,21,Mochila Linho,1,311,311,Shopping Eldorado
3795,2019-01-21,21,Bermuda Xadrez,5,155,775,Shopping Eldorado
3828,2019-01-21,21,Polo Xadrez,1,142,142,Shopping Eldorado
3828,2019-01-21,21,Calça Estampa,5,177,885,Shopping Eldorado
3838,2019-01-21,21,Sapato Liso,2,368,736,Shopping Eldorado
3838,2019-01-21,21,Terno Linho,3,750,2250,Shopping Eldorado
3838,2019-01-21,21,Polo Liso,1,137,137,Shopping Eldorado
3842,2019-01-21,21,Tênis Estampa,1,256,256,Shopping Eldorado
3963,2019-01-22,21,Camisa Gola V Estampa,1,118,118,Shopping Eldorado
3963,2019-01-22,21,Short,1,90,90,Shopping Eldorado
3963,2019-01-22,21,Mochila Linho,3,311,933,Shopping Eldorado
4064,2019-01-23,21,Cinto Xadrez,2,215,430,Shopping Eldorado
4064,2019-01-23,21,Pulseira Linho,3,114,342,Shopping Eldorado
4099,2019-01-23,21,Mochila Liso,3,276,828,Shopping Eldorado
4099,2019-01-23,21,Camisa Listrado,3,108,324,Shopping Eldorado
4099,2019-01-23,21,Bermuda Xadrez,2,155,310,Shopping Eldorado
4099,2019-01-23,21,Mochila Estampa,1,277,277,Shopping Eldorado
4099,2019-01-23,21,Bermuda Listrado,1,163,163,Shopping Eldorado
4119,2019-01-23,21,Calça Estampa,3,177,531,Shopping Eldorado
4171,2019-01-23,21,Bermuda Linho,3,195,585,Shopping Eldorado
4178,2019-01-23,21,Camiseta Xadrez,2,200,400,Shopping Eldorado
4178,2019-01-23,21,Cueca Xadrez,1,60,60,Shopping Eldorado
4189,2019-01-23,21,Mochila Linho,1,311,311,Shopping Eldorado
4251,2019-01-24,21,Camisa Xadrez,1,105,105,Shopping Eldorado
4273,2019-01-24,21,Short Estampa,1,96,96,Shopping Eldorado
4311,2019-01-24,21,Tênis Estampa,1,256,256,Shopping Eldorado
4311,2019-01-24,21,Camiseta Estampa,1,196,196,Shopping Eldorado
4329,2019-01-24,21,Sapato Listrado,1,363,363,Shopping Eldorado
4329,2019-01-24,21,Tênis Liso,3,266,798,Shopping Eldorado
4345,2019-01-24,21,Sunga Listrado,4,114,456,Shopping Eldorado
4345,2019-01-24,21,Cinto Liso,1,209,209,Shopping Eldorado
4356,2019-01-24,21,Mochila Estampa,1,277,277,Shopping Eldorado
4356,2019-01-24,21,Polo Listrado,4,149,596,Shopping Eldorado
4356,2019-01-24,21,Short Linho,1,133,133,Shopping Eldorado
4356,2019-01-24,21,Cueca Xadrez,1,60,60,Shopping Eldorado
4364,2019-01-24,21,Pulseira Listrado,1,79,79,Shopping Eldorado
4364,2019-01-24,21,Short Listrado,2,102,204,Shopping Eldorado
4364,2019-01-24,21,Relógio Xadrez,1,214,214,Shopping Eldorado
4436,2019-01-25,21,Camisa Linho,2,141,282,Shopping Eldorado
4438,2019-01-25,21,Gorro Listrado,2,97,194,Shopping Eldorado
4438,2019-01-25,21,Sapato Liso,1,368,368,Shopping Eldorado
4438,2019-01-25,21,Mochila,1,270,270,Shopping Eldorado
4439,2019-01-25,21,Camiseta Liso,1,187,187,Shopping Eldorado
4439,2019-01-25,21,Relógio,1,200,200,Shopping Eldorado
4466,2019-01-25,21,Sapato Listrado,2,363,726,Shopping Eldorado
4485,2019-01-25,21,Pulseira Estampa,1,87,87,Shopping Eldorado
4485,2019-01-25,21,Calça Liso,1,190,190,Shopping Eldorado
4572,2019-01-25,21,Bermuda Liso,1,157,157,Shopping Eldorado
4572,2019-01-25,21,Terno,4,700,2800,Shopping Eldorado
4604,2019-01-26,21,Sunga Linho,3,149,447,Shopping Eldorado
4610,2019-01-26,21,Sapato Xadrez,2,368,736,Shopping Eldorado
4610,2019-01-26,21,Casaco Xadrez,2,259,518,Shopping Eldorado
4622,2019-01-26,21,Pulseira Linho,1,114,114,Shopping Eldorado
4622,2019-01-26,21,Tênis Linho,5,294,1470,Shopping Eldorado
4622,2019-01-26,21,Pulseira Xadrez,2,87,174,Shopping Eldorado
4622,2019-01-26,21,Sapato Estampa,1,358,358,Shopping Eldorado
4622,2019-01-26,21,Relógio Liso,5,216,1080,Shopping Eldorado
4716,2019-01-26,21,Camisa Gola V Liso,3,118,354,Shopping Eldorado
4716,2019-01-26,21,Bermuda Xadrez,2,155,310,Shopping Eldorado
4745,2019-01-26,21,Camisa Gola V Xadrez,1,107,107,Shopping Eldorado
4745,2019-01-26,21,Meia Xadrez,1,41,41,Shopping Eldorado
4745,2019-01-26,21,Tênis,1,250,250,Shopping Eldorado
4775,2019-01-26,21,Camisa Liso,1,105,105,Shopping Eldorado
4783,2019-01-26,21,Calça,1,170,170,Shopping Eldorado
4785,2019-01-26,21,Bermuda Liso,2,157,314,Shopping Eldorado
4803,2019-01-26,21,Polo Xadrez,2,142,284,Shopping Eldorado
4803,2019-01-26,21,Short Liso,3,108,324,Shopping Eldorado
4830,2019-01-27,21,Gorro Estampa,1,93,93,Shopping Eldorado
4830,2019-01-27,21,Mochila Estampa,2,277,554,Shopping Eldorado
4849,2019-01-27,21,Chinelo Xadrez,2,66,132,Shopping Eldorado
4849,2019-01-27,21,Terno Estampa,1,706,706,Shopping Eldorado
4849,2019-01-27,21,Cueca Estampa,2,66,132,Shopping Eldorado
