Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
6,2019-01-02,22,Polo Listrado,4,149,596,Shopping Ibirapuera
44,2019-01-02,22,Calça,2,170,340,Shopping Ibirapuera
44,2019-01-02,22,Camisa Listrado,1,108,108,Shopping Ibirapuera
44,2019-01-02,22,Camisa Liso,2,105,210,Shopping Ibirapuera
69,2019-01-02,22,Meia Xadrez,1,41,41,Shopping Ibirapuera
69,2019-01-02,22,Gorro Listrado,3,97,291,Shopping Ibirapuera
158,2019-01-02,22,Cueca Listrado,2,67,134,Shopping Ibirapuera
158,2019-01-02,22,Calça Linho,1,211,211,Shopping Ibirapuera
169,2019-01-02,22,Short Listrado,2,102,204,Shopping Ibirapuera
169,2019-01-02,22,Sapato Estampa,5,358,1790,Shopping Ibirapuera
169,2019-01-02,22,Meia Liso,1,38,38,Shopping Ibirapuera
239,2019-01-03,22,Chinelo,1,60,60,Shopping Ibirapuera
239,2019-01-03,22,Polo Estampa,3,138,414,Shopping Ibirapuera
278,2019-01-03,22,Gorro Xadrez,3,85,255,Shopping Ibirapuera
278,2019-01-03,22,Camisa Gola V Listrado,2,116,232,Shopping Ibirapuera
320,2019-01-03,22,Casaco Liso,1,255,255,Shopping Ibirapuera
320,2019-01-03,22,Cinto Liso,2,209,418,Shopping Ibirapuera
320,2019-01-03,22,Bermuda Xadrez,1,155,155,Shopping Ibirapuera
326,2019-01-03,22,Terno,2,700,1400,Shopping Ibirapuera
326,2019-01-03,22,Gorro,2,80,160,Shopping Ibirapuera
334,2019-01-03,22,Camiseta Listrado,3,197,591,Shopping Ibirapuera
334,2019-01-03,22,Gorro Liso,4,92,368,Shopping Ibirapuera
344,2019-01-03,22,Bermuda,1,150,150,Shopping Ibirapuera
351,2019-01-03,22,Meia Estampa,4,50,200,Shopping Ibirapuera
391,2019-01-03,22,Terno Linho,2,750,1500,Shopping Ibirapuera
391,2019-01-03,22,Camisa Estampa,1,113,113,Shopping Ibirapuera
391,2019-01-03,22,Calça Estampa,2,177,354,Shopping Ibirapuera
391,2019-01-03,22,Mochila Listrado,2,275,550,Shopping Ibirapuera
391,2019-01-03,22,Sunga Linho,1,149,149,Shopping Ibirapuera
