Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
12,2019-01-02,2,Short Xadrez,4,100,400,Shopping Midway Mall
12,2019-01-02,2,Sunga Liso,2,114,228,Shopping Midway Mall
33,2019-01-02,2,Camisa,1,100,100,Shopping Midway Mall
33,2019-01-02,2,Meia Xadrez,3,41,123,Shopping Midway Mall
48,2019-01-02,2,Cueca Linho,2,93,186,Shopping Midway Mall
104,2019-01-02,2,Camisa,1,100,100,Shopping Midway Mall
118,2019-01-02,2,Sunga Listrado,2,114,228,Shopping Midway Mall
118,2019-01-02,2,Polo Estampa,1,138,138,Shopping Midway Mall
118,2019-01-02,2,Tênis Linho,2,294,588,Shopping Midway Mall
121,2019-01-02,2,Polo Xadrez,1,142,142,Shopping Midway Mall
121,2019-01-02,2,Tênis Xadrez,1,259,259,Shopping Midway Mall
125,2019-01-02,2,Polo Listrado,1,149,149,Shopping Midway Mall
162,2019-01-02,2,Cinto Liso,3,209,627,Shopping Midway Mall
172,2019-01-02,2,Short,3,90,270,Shopping Midway Mall
172,2019-01-02,2,Terno Linho,4,750,3000,Shopping Midway Mall
207,2019-01-03,2,Tênis Xadrez,2,259,518,Shopping Midway Mall
217,2019-01-03,2,Calça Listrado,1,181,181,Shopping Midway Mall
308,2019-01-03,2,Camisa Gola V Xadrez,3,107,321,Shopping Midway Mall
308,2019-01-03,2,Camiseta Listrado,1,197,197,Shopping Midway Mall
308,2019-01-03,2,Polo Estampa,3,138,414,Shopping Midway Mall
388,2019-01-03,2,Tênis Listrado,5,262,1310,Shopping Midway Mall
388,2019-01-03,2,Short Xadrez,2,100,200,Shopping Midway Mall
432,2019-01-04,2,Terno Estampa,1,706,706,Shopping Midway Mall
432,2019-01-04,2,Polo Xadrez,1,142,142,Shopping Midway Mall
446,2019-01-04,2,Sapato Xadrez,4,368,1472,Shopping Midway Mall
515,2019-01-04,2,Terno Estampa,5,706,3530,Shopping Midway Mall
515,2019-01-04,2,Tênis Linho,1,294,294,Shopping Midway Mall
529,2019-01-04,2,Sapato Liso,2,368,736,Shopping Midway Mall
529,2019-01-04,2,Terno Xadrez,2,709,1418,Shopping Midway Mall
529,2019-01-04,2,Mochila Listrado,1,275,275,Shopping Midway Mall
541,2019-01-04,2,Camisa,1,100,100,Shopping Midway Mall
541,2019-01-04,2,Meia,5,30,150,Shopping Midway Mall
541,2019-01-04,2,Polo Linho,5,176,880,Shopping Midway Mall
541,2019-01-04,2,Polo Listrado,2,149,298,Shopping Midway Mall
541,2019-01-04,2,Chinelo Estampa,1,74,74,Shopping Midway Mall
541,2019-01-04,2,Sunga Listrado,1,114,114,Shopping Midway Mall
642,2019-01-05,2,Gorro Liso,5,92,460,Shopping Midway Mall
642,2019-01-05,2,Terno Estampa,2,706,1412,Shopping Midway Mall
733,2019-01-05,2,Relógio,4,200,800,Shopping Midway Mall
872,2019-01-06,2,Camisa,2,100,200,Shopping Midway Mall
872,2019-01-06,2,Polo Xadrez,2,142,284,Shopping Midway Mall
872,2019-01-06,2,Relógio Liso,1,216,216,Shopping Midway Mall
977,2019-01-07,2,Polo Liso,2,137,274,Shopping Midway Mall
977,2019-01-07,2,Camiseta Listrado,4,197,788,Shopping Midway Mall
982,2019-01-07,2,Cueca Liso,2,69,138,Shopping Midway Mall
1001,2019-01-07,2,Sapato Linho,2,391,782,Shopping Midway Mall
1027,2019-01-07,2,Gorro Xadrez,4,85,340,Shopping Midway Mall
1027,2019-01-07,2,Chinelo Estampa,2,74,148,Shopping Midway Mall
1028,2019-01-07,2,Cueca,2,50,100,Shopping Midway Mall
1028,2019-01-07,2,Cinto,2,200,400,Shopping Midway Mall
1032,2019-01-07,2,Pulseira Estampa,2,87,174,Shopping Midway Mall
1036,2019-01-07,2,Cueca Estampa,2,66,132,Shopping Midway Mall
1036,2019-01-07,2,Casaco Linho,1,299,299,Shopping Midway Mall
1051,2019-01-07,2,Sapato Listrado,1,363,363,Shopping Midway Mall
1051,2019-01-07,2,Gorro Listrado,1,97,97,Shopping Midway Mall
1088,2019-01-07,2,Relógio Listrado,3,218,654,Shopping Midway Mall
1163,2019-01-08,2,Chinelo Estampa,4,74,296,Shopping Midway Mall
1163,2019-01-08,2,Cinto Listrado,5,214,1070,Shopping Midway Mall
1193,2019-01-08,2,Cueca Linho,1,93,93,Shopping Midway Mall
1204,2019-01-08,2,Pulseira,1,70,70,Shopping Midway Mall
1204,2019-01-08,2,Camisa Gola V Xadrez,1,107,107,Shopping Midway Mall
1208,2019-01-08,2,Relógio Xadrez,1,214,214,Shopping Midway Mall
1208,2019-01-08,2,Calça,1,170,170,Shopping Midway Mall
1208,2019-01-08,2,Sapato Linho,2,391,782,Shopping Midway Mall
1208,2019-01-08,2,Sunga Estampa,2,120,240,Shopping Midway Mall
1328,2019-01-09,2,Cueca Liso,1,69,69,Shopping Midway Mall
1328,2019-01-09,2,Terno Estampa,2,706,1412,Shopping Midway Mall
1376,2019-01-09,2,Meia Xadrez,1,41,41,Shopping Midway Mall
1381,2019-01-09,2,Sapato Listrado,4,363,1452,Shopping Midway Mall
1381,2019-01-09,2,Terno Estampa,1,706,706,Shopping Midway Mall
1384,2019-01-09,2,Calça Xadrez,2,185,370,Shopping Midway Mall
1384,2019-01-09,2,Tênis Liso,2,266,532,Shopping Midway Mall
1384,2019-01-09,2,Sapato Xadrez,3,368,1104,Shopping Midway Mall
1470,2019-01-09,2,Calça,2,170,340,Shopping Midway Mall
1470,2019-01-09,2,Mochila Liso,1,276,276,Shopping Midway Mall
1548,2019-01-10,2,Chinelo Estampa,2,74,148,Shopping Midway Mall
1553,2019-01-10,2,Casaco Liso,2,255,510,Shopping Midway Mall
1553,2019-01-10,2,Terno Estampa,2,706,1412,Shopping Midway Mall
1553,2019-01-10,2,Gorro Liso,3,92,276,Shopping Midway Mall
1553,2019-01-10,2,Camisa Gola V,3,100,300,Shopping Midway Mall
1557,2019-01-10,2,Casaco Xadrez,3,259,777,Shopping Midway Mall
1557,2019-01-10,2,Tênis Linho,1,294,294,Shopping Midway Mall
1557,2019-01-10,2,Sunga Listrado,1,114,114,Shopping Midway Mall
1557,2019-01-10,2,Terno Xadrez,1,709,709,Shopping Midway Mall
1573,2019-01-10,2,Sunga Linho,3,149,447,Shopping Midway Mall
1573,2019-01-10,2,Calça Estampa,4,177,708,Shopping Midway Mall
1573,2019-01-10,2,Cueca Xadrez,1,60,60,Shopping Midway Mall
1573,2019-01-10,2,Gorro Listrado,2,97,194,Shopping Midway Mall
1692,2019-01-11,2,Short Listrado,1,102,102,Shopping Midway Mall
1717,2019-01-11,2,Sapato Listrado,3,363,1089,Shopping Midway Mall
1744,2019-01-11,2,Pulseira Linho,2,114,228,Shopping Midway Mall
1744,2019-01-11,2,Sunga Liso,3,114,342,Shopping Midway Mall
1744,2019-01-11,2,Mochila Listrado,1,275,275,Shopping Midway Mall
1744,2019-01-11,2,Gorro Liso,1,92,92,Shopping Midway Mall
1800,2019-01-11,2,Sunga Liso,3,114,342,Shopping Midway Mall
1804,2019-01-11,2,Camisa Gola V Listrado,3,116,348,Shopping Midway Mall
1843,2019-01-11,2,Pulseira Listrado,2,79,158,Shopping Midway Mall
1867,2019-01-11,2,Chinelo Linho,1,105,105,Shopping Midway Mall
1867,2019-01-11,2,Sunga Linho,3,149,447,Shopping Midway Mall
1889,2019-01-12,2,Bermuda,5,150,750,Shopping Midway Mall
1889,2019-01-12,2,Cinto Listrado,1,214,214,Shopping Midway Mall
1984,2019-01-12,2,Chinelo Estampa,1,74,74,Shopping Midway Mall
2036,2019-01-12,2,Sunga Estampa,1,120,120,Shopping Midway Mall
2036,2019-01-12,2,Mochila Estampa,3,277,831,Shopping Midway Mall
2038,2019-01-12,2,Chinelo Listrado,4,73,292,Shopping Midway Mall
2102,2019-01-13,2,Camisa Gola V Linho,2,145,290,Shopping Midway Mall
2117,2019-01-13,2,Short,4,90,360,Shopping Midway Mall
2117,2019-01-13,2,Camisa Listrado,2,108,216,Shopping Midway Mall
2143,2019-01-13,2,Bermuda Listrado,2,163,326,Shopping Midway Mall
2143,2019-01-13,2,Relógio Estampa,2,219,438,Shopping Midway Mall
2191,2019-01-13,2,Camisa Linho,3,141,423,Shopping Midway Mall
2191,2019-01-13,2,Terno Linho,1,750,750,Shopping Midway Mall
2244,2019-01-13,2,Short Listrado,2,102,204,Shopping Midway Mall
2244,2019-01-13,2,Relógio Xadrez,3,214,642,Shopping Midway Mall
2260,2019-01-13,2,Relógio Linho,1,240,240,Shopping Midway Mall
2260,2019-01-13,2,Camisa Linho,3,141,423,Shopping Midway Mall
2260,2019-01-13,2,Terno Linho,1,750,750,Shopping Midway Mall
2298,2019-01-14,2,Pulseira Linho,3,114,342,Shopping Midway Mall
2363,2019-01-14,2,Camiseta Xadrez,1,200,200,Shopping Midway Mall
2363,2019-01-14,2,Relógio,4,200,800,Shopping Midway Mall
2363,2019-01-14,2,Terno Listrado,2,709,1418,Shopping Midway Mall
2363,2019-01-14,2,Cinto Xadrez,1,215,215,Shopping Midway Mall
2393,2019-01-14,2,Camiseta Liso,1,187,187,Shopping Midway Mall
2393,2019-01-14,2,Gorro,2,80,160,Shopping Midway Mall
2464,2019-01-14,2,Terno Xadrez,1,709,709,Shopping Midway Mall
2464,2019-01-14,2,Camisa Gola V Linho,3,145,435,Shopping Midway Mall
2470,2019-01-14,2,Tênis,1,250,250,Shopping Midway Mall
2470,2019-01-14,2,Sapato Liso,2,368,736,Shopping Midway Mall
2530,2019-01-15,2,Tênis Listrado,1,262,262,Shopping Midway Mall
2549,2019-01-15,2,Casaco Estampa,1,256,256,Shopping Midway Mall
2549,2019-01-15,2,Calça Xadrez,1,185,185,Shopping Midway Mall
2619,2019-01-15,2,Polo Liso,2,137,274,Shopping Midway Mall
2632,2019-01-15,2,Terno Liso,5,720,3600,Shopping Midway Mall
2632,2019-01-15,2,Sapato Xadrez,1,368,368,Shopping Midway Mall
2632,2019-01-15,2,Pulseira Listrado,1,79,79,Shopping Midway Mall
2657,2019-01-15,2,Sapato Xadrez,1,368,368,Shopping Midway Mall
