Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
72,2019-01-02,12,Gorro Estampa,2,93,186,Shopping Morumbi
72,2019-01-02,12,Sapato Xadrez,4,368,1472,Shopping Morumbi
75,2019-01-02,12,Sapato Xadrez,2,368,736,Shopping Morumbi
75,2019-01-02,12,Cueca,2,50,100,Shopping Morumbi
88,2019-01-02,12,Gorro Listrado,1,97,97,Shopping Morumbi
88,2019-01-02,12,Meia Liso,3,38,114,Shopping Morumbi
95,2019-01-02,12,Sunga Listrado,2,114,228,Shopping Morumbi
153,2019-01-02,12,Tênis Estampa,1,256,256,Shopping Morumbi
153,2019-01-02,12,Chinelo Linho,2,105,210,Shopping Morumbi
153,2019-01-02,12,Mochila Liso,1,276,276,Shopping Morumbi
178,2019-01-02,12,Chinelo Estampa,5,74,370,Shopping Morumbi
178,2019-01-02,12,Terno Liso,2,720,1440,Shopping Morumbi
178,2019-01-02,12,Camisa Liso,2,105,210,Shopping Morumbi
178,2019-01-02,12,Meia Xadrez,3,41,123,Shopping Morumbi
178,2019-01-02,12,Sunga,1,100,100,Shopping Morumbi
209,2019-01-03,12,Pulseira,2,70,140,Shopping Morumbi
209,2019-01-03,12,Camisa Gola V Estampa,1,118,118,Shopping Morumbi
211,2019-01-03,12,Polo Liso,1,137,137,Shopping Morumbi
211,2019-01-03,12,Tênis,2,250,500,Shopping Morumbi
211,2019-01-03,12,Cinto Liso,2,209,418,Shopping Morumbi
213,2019-01-03,12,Mochila Linho,2,311,622,Shopping Morumbi
232,2019-01-03,12,Cinto Liso,3,209,627,Shopping Morumbi
232,2019-01-03,12,Camisa Gola V,4,100,400,Shopping Morumbi
232,2019-01-03,12,Calça Listrado,1,181,181,Shopping Morumbi
236,2019-01-03,12,Pulseira Xadrez,3,87,261,Shopping Morumbi
362,2019-01-03,12,Mochila Listrado,2,275,550,Shopping Morumbi
371,2019-01-03,12,Sunga,2,100,200,Shopping Morumbi
371,2019-01-03,12,Tênis,2,250,500,Shopping Morumbi
381,2019-01-03,12,Camiseta Linho,2,223,446,Shopping Morumbi
381,2019-01-03,12,Sunga Linho,1,149,149,Shopping Morumbi
381,2019-01-03,12,Meia Listrado,2,37,74,Shopping Morumbi
383,2019-01-03,12,Short,2,90,180,Shopping Morumbi
412,2019-01-04,12,Terno Liso,1,720,720,Shopping Morumbi
523,2019-01-04,12,Casaco Liso,4,255,1020,Shopping Morumbi
523,2019-01-04,12,Sunga Liso,1,114,114,Shopping Morumbi
575,2019-01-05,12,Chinelo Liso,1,71,71,Shopping Morumbi
575,2019-01-05,12,Short,1,90,90,Shopping Morumbi
575,2019-01-05,12,Terno Linho,2,750,1500,Shopping Morumbi
575,2019-01-05,12,Camisa Gola V Estampa,4,118,472,Shopping Morumbi
594,2019-01-05,12,Polo Estampa,3,138,414,Shopping Morumbi
594,2019-01-05,12,Meia Xadrez,3,41,123,Shopping Morumbi
599,2019-01-05,12,Calça Estampa,1,177,177,Shopping Morumbi
606,2019-01-05,12,Meia Xadrez,2,41,82,Shopping Morumbi
606,2019-01-05,12,Gorro Linho,5,124,620,Shopping Morumbi
606,2019-01-05,12,Short Xadrez,1,100,100,Shopping Morumbi
615,2019-01-05,12,Tênis Linho,2,294,588,Shopping Morumbi
615,2019-01-05,12,Mochila Listrado,1,275,275,Shopping Morumbi
652,2019-01-05,12,Calça Liso,1,190,190,Shopping Morumbi
654,2019-01-05,12,Calça Linho,5,211,1055,Shopping Morumbi
654,2019-01-05,12,Camiseta Linho,1,223,223,Shopping Morumbi
727,2019-01-05,12,Cinto Estampa,5,209,1045,Shopping Morumbi
727,2019-01-05,12,Sunga,2,100,200,Shopping Morumbi
727,2019-01-05,12,Chinelo Linho,2,105,210,Shopping Morumbi
727,2019-01-05,12,Pulseira Estampa,1,87,87,Shopping Morumbi
804,2019-01-06,12,Terno Estampa,1,706,706,Shopping Morumbi
811,2019-01-06,12,Polo Linho,5,176,880,Shopping Morumbi
811,2019-01-06,12,Terno Liso,1,720,720,Shopping Morumbi
813,2019-01-06,12,Sapato Liso,5,368,1840,Shopping Morumbi
848,2019-01-06,12,Cueca Estampa,1,66,66,Shopping Morumbi
848,2019-01-06,12,Cueca Listrado,3,67,201,Shopping Morumbi
904,2019-01-06,12,Bermuda Xadrez,1,155,155,Shopping Morumbi
904,2019-01-06,12,Sunga,1,100,100,Shopping Morumbi
940,2019-01-07,12,Short,1,90,90,Shopping Morumbi
964,2019-01-07,12,Sapato Liso,1,368,368,Shopping Morumbi
1029,2019-01-07,12,Gorro Linho,1,124,124,Shopping Morumbi
1029,2019-01-07,12,Pulseira Xadrez,1,87,87,Shopping Morumbi
1029,2019-01-07,12,Relógio Listrado,2,218,436,Shopping Morumbi
1035,2019-01-07,12,Cinto Estampa,1,209,209,Shopping Morumbi
1035,2019-01-07,12,Bermuda Estampa,1,169,169,Shopping Morumbi
1035,2019-01-07,12,Chinelo Xadrez,3,66,198,Shopping Morumbi
1067,2019-01-07,12,Relógio Liso,1,216,216,Shopping Morumbi
1136,2019-01-08,12,Short Liso,4,108,432,Shopping Morumbi
1136,2019-01-08,12,Chinelo,1,60,60,Shopping Morumbi
1161,2019-01-08,12,Gorro Estampa,1,93,93,Shopping Morumbi
1161,2019-01-08,12,Terno Listrado,1,709,709,Shopping Morumbi
1161,2019-01-08,12,Terno,4,700,2800,Shopping Morumbi
1183,2019-01-08,12,Sunga Xadrez,2,116,232,Shopping Morumbi
1244,2019-01-08,12,Polo Xadrez,5,142,710,Shopping Morumbi
1282,2019-01-08,12,Casaco Listrado,2,269,538,Shopping Morumbi
1282,2019-01-08,12,Camisa Gola V Liso,1,118,118,Shopping Morumbi
1300,2019-01-08,12,Camisa Linho,1,141,141,Shopping Morumbi
1300,2019-01-08,12,Meia Xadrez,2,41,82,Shopping Morumbi
1300,2019-01-08,12,Short Linho,1,133,133,Shopping Morumbi
1300,2019-01-08,12,Short Listrado,1,102,102,Shopping Morumbi
