Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
11,2019-01-02,18,Camiseta,1,180,180,Shopping Recife
11,2019-01-02,18,Calça Listrado,2,181,362,Shopping Recife
11,2019-01-02,18,Camisa Estampa,1,113,113,Shopping Recife
45,2019-01-02,18,Camisa Linho,1,141,141,Shopping Recife
96,2019-01-02,18,Meia Xadrez,1,41,41,Shopping Recife
105,2019-01-02,18,Calça Liso,2,190,380,Shopping Recife
105,2019-01-02,18,Pulseira Listrado,1,79,79,Shopping Recife
105,2019-01-02,18,Pulseira Listrado,3,79,237,Shopping Recife
142,2019-01-02,18,Short Linho,2,133,266,Shopping Recife
142,2019-01-02,18,Sunga Liso,4,114,456,Shopping Recife
142,2019-01-02,18,Terno Xadrez,2,709,1418,Shopping Recife
142,2019-01-02,18,Gorro Xadrez,1,85,85,Shopping Recife
182,2019-01-02,18,Camisa Liso,2,105,210,Shopping Recife
198,2019-01-02,18,Gorro Linho,1,124,124,Shopping Recife
198,2019-01-02,18,Chinelo Linho,4,105,420,Shopping Recife
265,2019-01-03,18,Bermuda Linho,1,195,195,Shopping Recife
269,2019-01-03,18,Meia Xadrez,2,41,82,Shopping Recife
269,2019-01-03,18,Cinto Liso,4,209,836,Shopping Recife
275,2019-01-03,18,Bermuda,2,150,300,Shopping Recife
275,2019-01-03,18,Cueca,2,50,100,Shopping Recife
306,2019-01-03,18,Chinelo Xadrez,3,66,198,Shopping Recife
306,2019-01-03,18,Pulseira,1,70,70,Shopping Recife
333,2019-01-03,18,Calça Xadrez,1,185,185,Shopping Recife
333,2019-01-03,18,Polo Estampa,2,138,276,Shopping Recife
333,2019-01-03,18,Chinelo,1,60,60,Shopping Recife
341,2019-01-03,18,Camiseta Estampa,1,196,196,Shopping Recife
341,2019-01-03,18,Gorro Liso,2,92,184,Shopping Recife
390,2019-01-03,18,Pulseira Xadrez,1,87,87,Shopping Recife
423,2019-01-04,18,Cueca Xadrez,1,60,60,Shopping Recife
423,2019-01-04,18,Camiseta Liso,1,187,187,Shopping Recife
482,2019-01-04,18,Cinto,1,200,200,Shopping Recife
559,2019-01-04,18,Mochila Xadrez,2,283,566,Shopping Recife
601,2019-01-05,18,Terno,4,700,2800,Shopping Recife
601,2019-01-05,18,Sunga Linho,1,149,149,Shopping Recife
601,2019-01-05,18,Cueca Listrado,3,67,201,Shopping Recife
601,2019-01-05,18,Bermuda Linho,3,195,585,Shopping Recife
608,2019-01-05,18,Terno Liso,1,720,720,Shopping Recife
640,2019-01-05,18,Camisa Estampa,1,113,113,Shopping Recife
721,2019-01-05,18,Sunga,1,100,100,Shopping Recife
721,2019-01-05,18,Camisa Gola V Listrado,3,116,348,Shopping Recife
747,2019-01-05,18,Cinto Liso,5,209,1045,Shopping Recife
747,2019-01-05,18,Chinelo,5,60,300,Shopping Recife
747,2019-01-05,18,Chinelo Linho,1,105,105,Shopping Recife
770,2019-01-06,18,Meia Linho,4,78,312,Shopping Recife
832,2019-01-06,18,Relógio Estampa,2,219,438,Shopping Recife
832,2019-01-06,18,Calça Liso,2,190,380,Shopping Recife
895,2019-01-06,18,Short,2,90,180,Shopping Recife
895,2019-01-06,18,Mochila Liso,2,276,552,Shopping Recife
896,2019-01-06,18,Sapato Xadrez,3,368,1104,Shopping Recife
914,2019-01-06,18,Short Linho,1,133,133,Shopping Recife
914,2019-01-06,18,Meia Liso,1,38,38,Shopping Recife
914,2019-01-06,18,Camisa Gola V Xadrez,2,107,214,Shopping Recife
928,2019-01-06,18,Relógio Estampa,1,219,219,Shopping Recife
928,2019-01-06,18,Sapato Linho,1,391,391,Shopping Recife
933,2019-01-06,18,Meia Xadrez,1,41,41,Shopping Recife
933,2019-01-06,18,Relógio Estampa,1,219,219,Shopping Recife
991,2019-01-07,18,Relógio Xadrez,4,214,856,Shopping Recife
1005,2019-01-07,18,Gorro Xadrez,1,85,85,Shopping Recife
1005,2019-01-07,18,Camisa Gola V Xadrez,3,107,321,Shopping Recife
1122,2019-01-07,18,Camisa Gola V Liso,1,118,118,Shopping Recife
1124,2019-01-07,18,Camiseta Liso,2,187,374,Shopping Recife
1124,2019-01-07,18,Terno Linho,3,750,2250,Shopping Recife
1124,2019-01-07,18,Camisa Liso,1,105,105,Shopping Recife
1124,2019-01-08,18,Relógio Xadrez,3,214,642,Shopping Recife
1150,2019-01-08,18,Cueca Liso,2,69,138,Shopping Recife
1220,2019-01-08,18,Cinto,2,200,400,Shopping Recife
1220,2019-01-08,18,Calça Estampa,1,177,177,Shopping Recife
1223,2019-01-08,18,Bermuda,2,150,300,Shopping Recife
1223,2019-01-08,18,Sapato Liso,5,368,1840,Shopping Recife
1234,2019-01-08,18,Calça Listrado,1,181,181,Shopping Recife
1321,2019-01-08,18,Sapato Linho,1,391,391,Shopping Recife
1321,2019-01-08,18,Cinto Linho,1,248,248,Shopping Recife
1416,2019-01-09,18,Bermuda Estampa,1,169,169,Shopping Recife
1497,2019-01-10,18,Calça,2,170,340,Shopping Recife
1534,2019-01-10,18,Cinto Estampa,2,209,418,Shopping Recife
1534,2019-01-10,18,Camiseta Xadrez,1,200,200,Shopping Recife
1534,2019-01-10,18,Pulseira Estampa,3,87,261,Shopping Recife
1559,2019-01-10,18,Relógio Xadrez,3,214,642,Shopping Recife
1565,2019-01-10,18,Terno,1,700,700,Shopping Recife
1565,2019-01-10,18,Bermuda Liso,1,157,157,Shopping Recife
1598,2019-01-10,18,Relógio Listrado,2,218,436,Shopping Recife
