Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
56,2019-01-02,20,Gorro Linho,3,124,372,Shopping SP Market
60,2019-01-02,20,Casaco Linho,3,299,897,Shopping SP Market
60,2019-01-02,20,Polo Liso,5,137,685,Shopping SP Market
67,2019-01-02,20,Polo Linho,3,176,528,Shopping SP Market
101,2019-01-02,20,Cinto Listrado,2,214,428,Shopping SP Market
101,2019-01-02,20,Camisa Listrado,2,108,216,Shopping SP Market
219,2019-01-03,20,Calça Estampa,3,177,531,Shopping SP Market
219,2019-01-03,20,Camiseta Xadrez,2,200,400,Shopping SP Market
219,2019-01-03,20,Casaco Estampa,3,256,768,Shopping SP Market
219,2019-01-03,20,Sapato Xadrez,2,368,736,Shopping SP Market
223,2019-01-03,20,Camisa Gola V,1,100,100,Shopping SP Market
261,2019-01-03,20,Short Listrado,2,102,204,Shopping SP Market
261,2019-01-03,20,Terno Listrado,2,709,1418,Shopping SP Market
299,2019-01-03,20,Terno Estampa,3,706,2118,Shopping SP Market
303,2019-01-03,20,Terno Estampa,4,706,2824,Shopping SP Market
356,2019-01-03,20,Sapato Xadrez,2,368,736,Shopping SP Market
356,2019-01-03,20,Cueca Liso,1,69,69,Shopping SP Market
378,2019-01-03,20,Chinelo Linho,5,105,525,Shopping SP Market
384,2019-01-03,20,Cinto,3,200,600,Shopping SP Market
384,2019-01-03,20,Sapato Estampa,2,358,716,Shopping SP Market
405,2019-01-04,20,Cinto Estampa,2,209,418,Shopping SP Market
502,2019-01-04,20,Camiseta,3,180,540,Shopping SP Market
502,2019-01-04,20,Calça Linho,4,211,844,Shopping SP Market
502,2019-01-04,20,Terno Liso,4,720,2880,Shopping SP Market
502,2019-01-04,20,Terno Listrado,4,709,2836,Shopping SP Market
557,2019-01-04,20,Sapato Xadrez,1,368,368,Shopping SP Market
557,2019-01-04,20,Camisa Gola V Estampa,1,118,118,Shopping SP Market
557,2019-01-04,20,Polo,1,130,130,Shopping SP Market
578,2019-01-05,20,Casaco Xadrez,1,259,259,Shopping SP Market
598,2019-01-05,20,Sunga,1,100,100,Shopping SP Market
598,2019-01-05,20,Cinto Listrado,3,214,642,Shopping SP Market
598,2019-01-05,20,Polo Listrado,3,149,447,Shopping SP Market
628,2019-01-05,20,Camisa Estampa,1,113,113,Shopping SP Market
628,2019-01-05,20,Meia Linho,1,78,78,Shopping SP Market
628,2019-01-05,20,Mochila,2,270,540,Shopping SP Market
637,2019-01-05,20,Camisa Linho,2,141,282,Shopping SP Market
637,2019-01-05,20,Meia Listrado,2,37,74,Shopping SP Market
657,2019-01-05,20,Sunga Linho,3,149,447,Shopping SP Market
657,2019-01-05,20,Gorro,5,80,400,Shopping SP Market
657,2019-01-05,20,Camisa Gola V Listrado,3,116,348,Shopping SP Market
681,2019-01-05,20,Mochila Liso,1,276,276,Shopping SP Market
691,2019-01-05,20,Cinto,1,200,200,Shopping SP Market
724,2019-01-05,20,Calça,2,170,340,Shopping SP Market
724,2019-01-05,20,Camisa,1,100,100,Shopping SP Market
751,2019-01-06,20,Terno Listrado,2,709,1418,Shopping SP Market
751,2019-01-06,20,Relógio Estampa,1,219,219,Shopping SP Market
751,2019-01-06,20,Sapato Xadrez,4,368,1472,Shopping SP Market
751,2019-01-06,20,Cinto Linho,2,248,496,Shopping SP Market
751,2019-01-06,20,Relógio Xadrez,2,214,428,Shopping SP Market
805,2019-01-06,20,Relógio Liso,2,216,432,Shopping SP Market
821,2019-01-06,20,Short,5,90,450,Shopping SP Market
821,2019-01-06,20,Pulseira,1,70,70,Shopping SP Market
834,2019-01-06,20,Gorro Estampa,1,93,93,Shopping SP Market
834,2019-01-06,20,Cinto Liso,2,209,418,Shopping SP Market
834,2019-01-06,20,Polo Estampa,5,138,690,Shopping SP Market
834,2019-01-06,20,Sunga Listrado,2,114,228,Shopping SP Market
834,2019-01-06,20,Pulseira Listrado,1,79,79,Shopping SP Market
850,2019-01-06,20,Camisa Gola V Xadrez,3,107,321,Shopping SP Market
850,2019-01-06,20,Casaco Liso,1,255,255,Shopping SP Market
915,2019-01-06,20,Short Linho,5,133,665,Shopping SP Market
917,2019-01-06,20,Sapato Estampa,1,358,358,Shopping SP Market
917,2019-01-06,20,Chinelo,1,60,60,Shopping SP Market
920,2019-01-06,20,Chinelo Xadrez,2,66,132,Shopping SP Market
923,2019-01-06,20,Sunga,1,100,100,Shopping SP Market
923,2019-01-06,20,Tênis Linho,2,294,588,Shopping SP Market
949,2019-01-07,20,Mochila Xadrez,2,283,566,Shopping SP Market
969,2019-01-07,20,Polo Xadrez,3,142,426,Shopping SP Market
969,2019-01-07,20,Gorro Liso,5,92,460,Shopping SP Market
1030,2019-01-07,20,Tênis Listrado,1,262,262,Shopping SP Market
1030,2019-01-07,20,Camisa Gola V Xadrez,3,107,321,Shopping SP Market
1052,2019-01-07,20,Relógio Estampa,2,219,438,Shopping SP Market
1052,2019-01-07,20,Sunga,1,100,100,Shopping SP Market
1169,2019-01-08,20,Sapato Linho,2,391,782,Shopping SP Market
1169,2019-01-08,20,Meia Liso,3,38,114,Shopping SP Market
1187,2019-01-08,20,Cinto Liso,1,209,209,Shopping SP Market
1194,2019-01-08,20,Bermuda Estampa,4,169,676,Shopping SP Market
1273,2019-01-08,20,Sapato Estampa,2,358,716,Shopping SP Market
1277,2019-01-08,20,Cinto,4,200,800,Shopping SP Market
1277,2019-01-08,20,Sapato Listrado,1,363,363,Shopping SP Market
1277,2019-01-08,20,Relógio Listrado,2,218,436,Shopping SP Market
1283,2019-01-08,20,Calça Linho,3,211,633,Shopping SP Market
1283,2019-01-08,20,Camisa,2,100,200,Shopping SP Market
1283,2019-01-08,20,Chinelo Estampa,1,74,74,Shopping SP Market
1354,2019-01-09,20,Tênis Xadrez,1,259,259,Shopping SP Market
1368,2019-01-09,20,Tênis Liso,1,266,266,Shopping SP Market
1368,2019-01-09,20,Cueca Listrado,1,67,67,Shopping SP Market
1375,2019-01-09,20,Relógio Linho,4,240,960,Shopping SP Market
1375,2019-01-09,20,Cueca Listrado,4,67,268,Shopping SP Market
1415,2019-01-09,20,Camisa Gola V Liso,2,118,236,Shopping SP Market
1431,2019-01-09,20,Camiseta Liso,2,187,374,Shopping SP Market
1436,2019-01-09,20,Bermuda Xadrez,2,155,310,Shopping SP Market
1436,2019-01-09,20,Cueca Liso,1,69,69,Shopping SP Market
1436,2019-01-09,20,Mochila Linho,1,311,311,Shopping SP Market
1490,2019-01-09,20,Casaco,2,250,500,Shopping SP Market
1491,2019-01-09,20,Camiseta Estampa,2,196,392,Shopping SP Market
1491,2019-01-09,20,Gorro Liso,2,92,184,Shopping SP Market
1513,2019-01-10,20,Pulseira Xadrez,4,87,348,Shopping SP Market
1513,2019-01-10,20,Casaco Liso,3,255,765,Shopping SP Market
1515,2019-01-10,20,Gorro Liso,1,92,92,Shopping SP Market
1515,2019-01-10,20,Terno Linho,1,750,750,Shopping SP Market
1515,2019-01-10,20,Camisa Gola V Xadrez,1,107,107,Shopping SP Market
1528,2019-01-10,20,Chinelo Linho,2,105,210,Shopping SP Market
1528,2019-01-10,20,Cueca Estampa,2,66,132,Shopping SP Market
1563,2019-01-10,20,Camisa Linho,2,141,282,Shopping SP Market
1563,2019-01-10,20,Cueca Linho,3,93,279,Shopping SP Market
1579,2019-01-10,20,Relógio Linho,2,240,480,Shopping SP Market
1588,2019-01-10,20,Meia Listrado,4,37,148,Shopping SP Market
1588,2019-01-10,20,Camisa Gola V Listrado,3,116,348,Shopping SP Market
1588,2019-01-10,20,Relógio,2,200,400,Shopping SP Market
1632,2019-01-10,20,Camisa Linho,2,141,282,Shopping SP Market
1684,2019-01-11,20,Calça,1,170,170,Shopping SP Market
1707,2019-01-11,20,Tênis Liso,3,266,798,Shopping SP Market
1707,2019-01-11,20,Mochila Linho,4,311,1244,Shopping SP Market
1761,2019-01-11,20,Sapato Liso,4,368,1472,Shopping SP Market
1764,2019-01-11,20,Polo Estampa,2,138,276,Shopping SP Market
1768,2019-01-11,20,Camisa Gola V Xadrez,1,107,107,Shopping SP Market
1799,2019-01-11,20,Camisa Gola V Listrado,1,116,116,Shopping SP Market
1862,2019-01-11,20,Tênis Linho,1,294,294,Shopping SP Market
1929,2019-01-12,20,Cinto Xadrez,1,215,215,Shopping SP Market
1929,2019-01-12,20,Short Estampa,5,96,480,Shopping SP Market
1934,2019-01-12,20,Meia Listrado,4,37,148,Shopping SP Market
1934,2019-01-12,20,Casaco Estampa,3,256,768,Shopping SP Market
1934,2019-01-12,20,Short Xadrez,3,100,300,Shopping SP Market
1954,2019-01-12,20,Pulseira Linho,3,114,342,Shopping SP Market
2110,2019-01-13,20,Bermuda Xadrez,5,155,775,Shopping SP Market
2118,2019-01-13,20,Terno Xadrez,2,709,1418,Shopping SP Market
2118,2019-01-13,20,Bermuda Xadrez,1,155,155,Shopping SP Market
2171,2019-01-13,20,Sapato Xadrez,5,368,1840,Shopping SP Market
2171,2019-01-13,20,Cinto Liso,4,209,836,Shopping SP Market
2179,2019-01-13,20,Calça,3,170,510,Shopping SP Market
2205,2019-01-13,20,Gorro Liso,2,92,184,Shopping SP Market
2205,2019-01-13,20,Camiseta Xadrez,2,200,400,Shopping SP Market
2230,2019-01-13,20,Casaco Listrado,3,269,807,Shopping SP Market
2230,2019-01-13,20,Terno Estampa,1,706,706,Shopping SP Market
2234,2019-01-13,20,Polo,2,130,260,Shopping SP Market
2247,2019-01-13,20,Pulseira Liso,1,87,87,Shopping SP Market
2271,2019-01-13,20,Tênis Linho,1,294,294,Shopping SP Market
2271,2019-01-13,20,Chinelo,1,60,60,Shopping SP Market
2293,2019-01-14,20,Gorro Liso,3,92,276,Shopping SP Market
2395,2019-01-14,20,Short Liso,1,108,108,Shopping SP Market
2395,2019-01-14,20,Meia Listrado,3,37,111,Shopping SP Market
2476,2019-01-14,20,Cueca,1,50,50,Shopping SP Market
2476,2019-01-14,20,Short Liso,3,108,324,Shopping SP Market
2515,2019-01-15,20,Meia Liso,4,38,152,Shopping SP Market
2515,2019-01-15,20,Cinto Listrado,1,214,214,Shopping SP Market
2522,2019-01-15,20,Relógio Linho,1,240,240,Shopping SP Market
2567,2019-01-15,20,Calça Linho,5,211,1055,Shopping SP Market
2618,2019-01-15,20,Bermuda Linho,1,195,195,Shopping SP Market
2618,2019-01-15,20,Sapato Xadrez,3,368,1104,Shopping SP Market
2618,2019-01-15,20,Cueca Xadrez,3,60,180,Shopping SP Market
2653,2019-01-15,20,Sunga Linho,5,149,745,Shopping SP Market
2669,2019-01-15,20,Gorro Linho,3,124,372,Shopping SP Market
2686,2019-01-15,20,Cinto Liso,2,209,418,Shopping SP Market
2686,2019-01-15,20,Cinto Listrado,2,214,428,Shopping SP Market
2686,2019-01-15,20,Relógio Xadrez,1,214,214,Shopping SP Market
2695,2019-01-15,20,Pulseira Liso,1,87,87,Shopping SP Market
2695,2019-01-15,20,Relógio Xadrez,1,214,214,Shopping SP Market
2717,2019-01-16,20,Mochila,2,270,540,Shopping SP Market
2728,2019-01-16,20,Bermuda Estampa,1,169,169,Shopping SP Market
2767,2019-01-16,20,Meia Linho,1,78,78,Shopping SP Market
2767,2019-01-16,20,Gorro Estampa,1,93,93,Shopping SP Market
2784,2019-01-16,20,Camisa Gola V Listrado,1,116,116,Shopping SP Market
2784,2019-01-16,20,Polo Xadrez,5,142,710,Shopping SP Market
2809,2019-01-16,20,Terno Estampa,1,706,706,Shopping SP Market
2813,2019-01-16,20,Pulseira Listrado,1,79,79,Shopping SP Market
2813,2019-01-16,20,Gorro Estampa,3,93,279,Shopping SP Market
2857,2019-01-16,20,Camisa Liso,2,105,210,Shopping SP Market
2868,2019-01-16,20,Camisa Liso,2,105,210,Shopping SP Market
2868,2019-01-16,20,Bermuda Estampa,5,169,845,Shopping SP Market
2900,2019-01-16,20,Sunga Liso,1,114,114,Shopping SP Market
2900,2019-01-16,20,Polo Liso,2,137,274,Shopping SP Market
2900,2019-01-16,20,Bermuda Liso,2,157,314,Shopping SP Market
2900,2019-01-16,20,Gorro Linho,1,124,124,Shopping SP Market
2940,2019-01-17,20,Mochila Estampa,1,277,277,Shopping SP Market
2940,2019-01-17,20,Camisa Linho,4,141,564,Shopping SP Market
2967,2019-01-17,20,Short Liso,1,108,108,Shopping SP Market
3021,2019-01-17,20,Mochila Xadrez,1,283,283,Shopping SP Market
3044,2019-01-17,20,Meia Estampa,2,50,100,Shopping SP Market
3044,2019-01-17,20,Cinto Linho,2,248,496,Shopping SP Market
3056,2019-01-17,20,Tênis Xadrez,1,259,259,Shopping SP Market
3056,2019-01-17,20,Polo,2,130,260,Shopping SP Market
3061,2019-01-17,20,Mochila,4,270,1080,Shopping SP Market
3061,2019-01-17,20,Meia Listrado,3,37,111,Shopping SP Market
3061,2019-01-17,20,Sunga Estampa,1,120,120,Shopping SP Market
3061,2019-01-17,20,Meia Estampa,1,50,50,Shopping SP Market
3061,2019-01-17,20,Tênis Estampa,1,256,256,Shopping SP Market
3126,2019-01-18,20,Camiseta Xadrez,1,200,200,Shopping SP Market
3126,2019-01-18,20,Chinelo Liso,1,71,71,Shopping SP Market
3126,2019-01-18,20,Tênis Xadrez,3,259,777,Shopping SP Market
3137,2019-01-18,20,Chinelo Liso,1,71,71,Shopping SP Market
3178,2019-01-18,20,Chinelo Liso,2,71,142,Shopping SP Market
3178,2019-01-18,20,Cinto Estampa,1,209,209,Shopping SP Market
3178,2019-01-18,20,Mochila,2,270,540,Shopping SP Market
3178,2019-01-18,20,Polo Estampa,1,138,138,Shopping SP Market
3217,2019-01-18,20,Casaco,3,250,750,Shopping SP Market
3230,2019-01-18,20,Sapato Listrado,1,363,363,Shopping SP Market
3230,2019-01-18,20,Relógio Linho,4,240,960,Shopping SP Market
3308,2019-01-19,20,Cueca,2,50,100,Shopping SP Market
3308,2019-01-19,20,Terno Listrado,5,709,3545,Shopping SP Market
3390,2019-01-19,20,Calça Estampa,2,177,354,Shopping SP Market
3390,2019-01-19,20,Chinelo Linho,3,105,315,Shopping SP Market
3419,2019-01-19,20,Casaco,5,250,1250,Shopping SP Market
3419,2019-01-19,20,Camiseta Xadrez,1,200,200,Shopping SP Market
3425,2019-01-19,20,Polo Xadrez,3,142,426,Shopping SP Market
3454,2019-01-19,20,Camiseta Linho,2,223,446,Shopping SP Market
3472,2019-01-20,20,Bermuda Xadrez,1,155,155,Shopping SP Market
3472,2019-01-20,20,Relógio Liso,3,216,648,Shopping SP Market
3521,2019-01-20,20,Gorro Liso,4,92,368,Shopping SP Market
3521,2019-01-20,20,Meia,2,30,60,Shopping SP Market
3536,2019-01-20,20,Calça Liso,1,190,190,Shopping SP Market
3539,2019-01-20,20,Sapato Estampa,1,358,358,Shopping SP Market
3539,2019-01-20,20,Cinto Xadrez,2,215,430,Shopping SP Market
3574,2019-01-20,20,Relógio Liso,1,216,216,Shopping SP Market
3574,2019-01-20,20,Calça Xadrez,1,185,185,Shopping SP Market
3574,2019-01-20,20,Pulseira Estampa,1,87,87,Shopping SP Market
3614,2019-01-20,20,Bermuda Linho,2,195,390,Shopping SP Market
3614,2019-01-20,20,Bermuda Liso,4,157,628,Shopping SP Market
3680,2019-01-21,20,Relógio,2,200,400,Shopping SP Market
3680,2019-01-21,20,Short,1,90,90,Shopping SP Market
3717,2019-01-21,20,Calça Listrado,5,181,905,Shopping SP Market
3717,2019-01-21,20,Polo Estampa,1,138,138,Shopping SP Market
3717,2019-01-21,20,Bermuda Estampa,2,169,338,Shopping SP Market
3767,2019-01-21,20,Polo Estampa,3,138,414,Shopping SP Market
3767,2019-01-21,20,Chinelo Estampa,2,74,148,Shopping SP Market
3774,2019-01-21,20,Pulseira Listrado,4,79,316,Shopping SP Market
3774,2019-01-21,20,Calça Xadrez,4,185,740,Shopping SP Market
3809,2019-01-21,20,Bermuda Xadrez,1,155,155,Shopping SP Market
3849,2019-01-22,20,Mochila Estampa,2,277,554,Shopping SP Market
3849,2019-01-22,20,Casaco Listrado,2,269,538,Shopping SP Market
3849,2019-01-22,20,Calça Xadrez,2,185,370,Shopping SP Market
3849,2019-01-22,20,Tênis Estampa,1,256,256,Shopping SP Market
3849,2019-01-22,20,Bermuda,5,150,750,Shopping SP Market
3872,2019-01-22,20,Sunga Linho,1,149,149,Shopping SP Market
3872,2019-01-22,20,Short Linho,1,133,133,Shopping SP Market
3872,2019-01-22,20,Camisa Gola V,1,100,100,Shopping SP Market
3952,2019-01-22,20,Relógio Estampa,1,219,219,Shopping SP Market
3952,2019-01-22,20,Bermuda Xadrez,2,155,310,Shopping SP Market
3966,2019-01-22,20,Casaco Listrado,2,269,538,Shopping SP Market
3966,2019-01-22,20,Calça Linho,5,211,1055,Shopping SP Market
4021,2019-01-22,20,Mochila Estampa,2,277,554,Shopping SP Market
4044,2019-01-23,20,Camisa Xadrez,1,105,105,Shopping SP Market
4073,2019-01-23,20,Tênis,1,250,250,Shopping SP Market
4081,2019-01-23,20,Relógio Listrado,5,218,1090,Shopping SP Market
4081,2019-01-23,20,Bermuda Linho,2,195,390,Shopping SP Market
4081,2019-01-23,20,Pulseira Liso,1,87,87,Shopping SP Market
