Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Loja
26,2019-01-02,5,Chinelo,2,60,120,Shopping União de Osasco
42,2019-01-02,5,Chinelo,2,60,120,Shopping União de Osasco
54,2019-01-02,5,Cueca Xadrez,1,60,60,Shopping União de Osasco
54,2019-01-02,5,Cueca Linho,2,93,186,Shopping União de Osasco
54,2019-01-02,5,Meia Liso,5,38,190,Shopping União de Osasco
107,2019-01-02,5,Sunga Estampa,2,120,240,Shopping União de Osasco
107,2019-01-02,5,Mochila Linho,2,311,622,Shopping União de Osasco
107,2019-01-02,5,Casaco Xadrez,2,259,518,Shopping União de Osasco
128,2019-01-02,5,Pulseira Liso,3,87,261,Shopping União de Osasco
155,2019-01-02,5,Short Listrado,1,102,102,Shopping União de Osasco
155,2019-01-02,5,Camisa Linho,1,141,141,Shopping União de Osasco
212,2019-01-03,5,Gorro Liso,4,92,368,Shopping União de Osasco
212,2019-01-03,5,Mochila Xadrez,3,283,849,Shopping União de Osasco
212,2019-01-03,5,Cueca Xadrez,3,60,180,Shopping União de Osasco
212,2019-01-03,5,Polo Liso,1,137,137,Shopping União de Osasco
227,2019-01-03,5,Bermuda Listrado,2,163,326,Shopping União de Osasco
255,2019-01-03,5,Camisa Gola V Listrado,3,116,348,Shopping União de Osasco
271,2019-01-03,5,Polo Liso,2,137,274,Shopping União de Osasco
271,2019-01-03,5,Short Listrado,3,102,306,Shopping União de Osasco
287,2019-01-03,5,Pulseira Estampa,2,87,174,Shopping União de Osasco
300,2019-01-03,5,Mochila Xadrez,2,283,566,Shopping União de Osasco
300,2019-01-03,5,Relógio Xadrez,1,214,214,Shopping União de Osasco
300,2019-01-03,5,Camiseta Xadrez,1,200,200,Shopping União de Osasco
328,2019-01-03,5,Gorro Xadrez,5,85,425,Shopping União de Osasco
328,2019-01-03,5,Short Xadrez,2,100,200,Shopping União de Osasco
328,2019-01-03,5,Relógio,2,200,400,Shopping União de Osasco
359,2019-01-03,5,Casaco Listrado,1,269,269,Shopping União de Osasco
359,2019-01-03,5,Meia Listrado,1,37,37,Shopping União de Osasco
359,2019-01-03,5,Cinto,3,200,600,Shopping União de Osasco
387,2019-01-03,5,Sapato Xadrez,3,368,1104,Shopping União de Osasco
399,2019-01-04,5,Sunga,2,100,200,Shopping União de Osasco
399,2019-01-04,5,Pulseira,1,70,70,Shopping União de Osasco
399,2019-01-04,5,Tênis Liso,3,266,798,Shopping União de Osasco
447,2019-01-04,5,Gorro,1,80,80,Shopping União de Osasco
447,2019-01-04,5,Chinelo,3,60,180,Shopping União de Osasco
496,2019-01-04,5,Bermuda Linho,4,195,780,Shopping União de Osasco
496,2019-01-04,5,Mochila Estampa,1,277,277,Shopping União de Osasco
496,2019-01-04,5,Meia Linho,5,78,390,Shopping União de Osasco
496,2019-01-04,5,Meia Linho,1,78,78,Shopping União de Osasco
530,2019-01-04,5,Pulseira Estampa,2,87,174,Shopping União de Osasco
530,2019-01-04,5,Sapato Liso,3,368,1104,Shopping União de Osasco
530,2019-01-04,5,Calça Estampa,2,177,354,Shopping União de Osasco
534,2019-01-04,5,Meia Xadrez,1,41,41,Shopping União de Osasco
584,2019-01-05,5,Camisa Liso,2,105,210,Shopping União de Osasco
